Occupation,Total Employed (thou) 2013,% Men 2013,% Women 2013,% White 2013,% Black 2013,% Asian 2013,% Latinx 2013
Civil engineers,360,87.9,12.1,,6.4,10.4,4.9
Computer hardware engineers,90,90.8,9.2,,6.3,25.6,10.4
Electrical and electronics engineers,300,91.7,8.3,,4.2,18.5,7.6
Environmental engineers,33,#VALUE!,-,,-,-,-
"Industrial engineers, including health and safety",190,82.8,17.2,,5.9,10.5,8.8
Marine engineers and naval architects,11,#VALUE!,-,,-,-,-
Materials engineers,46,#VALUE!,-,,-,-,-
Mechanical engineers,327,92.8,7.2,,3.3,12.6,6.8
"Mining and geological engineers, including mining safety engineers",18,#VALUE!,-,,-,-,-
Nuclear engineers,4,#VALUE!,-,,-,-,-
Petroleum engineers,33,#VALUE!,-,,-,-,-
"Engineers, all other",398,85.6,14.4,,5.8,12.6,6.7
Drafters,125,78.8,21.2,,2.1,8.7,7.1
"Engineering technicians, except drafters",365,82.4,17.6,,8.3,6.7,13
Surveying and mapping technicians,54,89.2,10.8,,4.1,4.3,3.4
"Life, physical, and social science occupations","1,307",53.9,46.1,,5.6,11.8,7.9
Agricultural and food scientists,44,#VALUE!,-,,-,-,-
Biological scientists,112,47.3,52.7,,2.6,17,4.8
Conservation scientists and foresters,32,#VALUE!,-,,-,-,-
Medical scientists,144,47.6,52.4,,6.5,26.3,6.9
"Life scientists, all other",0,#VALUE!,-,,-,-,-
Astronomers and physicists,14,#VALUE!,-,,-,-,-
Atmospheric and space scientists,14,#VALUE!,-,,-,-,-
Chemists and materials scientists,121,61.0,39,,7.3,10.4,12.3
Environmental scientists and geoscientists,94,72.1,27.9,,4,6.3,3.8
"Physical scientists, all other",158,65.5,34.5,,6.8,22.5,3.9
Economists,34,#VALUE!,-,,-,-,-
Survey researchers,3,#VALUE!,-,,-,-,-
Psychologists,186,26.2,73.8,,3.6,2.5,8.6
Sociologists,5,#VALUE!,-,,-,-,-
Urban and regional planners,20,#VALUE!,-,,-,-,-
Miscellaneous social scientists and related workers,57,47.3,52.7,,11.3,3.8,7
Agricultural and food science technicians,28,#VALUE!,-,,-,-,-
Biological technicians,21,#VALUE!,-,,-,-,-
Chemical technicians,61,58.7,41.3,,16.3,6.3,9.7
Geological and petroleum technicians,22,#VALUE!,-,,-,-,-
Nuclear technicians,1,#VALUE!,-,,-,-,-
Social science research assistants,2,#VALUE!,-,,-,-,-
"Miscellaneous life, physical, and social science technicians",133,50.7,49.3,,4,11.1,10
Community and social service occupations,"2,332",37.7,62.3,,18.6,2.9,10
Counselors,727,30.7,69.3,,20.4,1.9,9.1
Social workers,727,19.7,80.3,,21.9,3.1,13.3
Probation officers and correctional treatment specialists,105,54.3,45.7,,21.8,1.3,12.3
Social and human service assistants,127,26.8,73.2,,27.7,0.8,14.2
"Miscellaneous community and social service specialists, including",106,26.5,73.5,,19.8,1.1,6.8
health educators and community health workers,,100.0,,,,,
Clergy,410,84.5,15.5,,9.1,6.5,6.4
"Directors, religious activities and education",57,35.2,64.8,,3.7,1,1.1
"Religious workers, all other",74,36.9,63.1,,9.3,1.4,6.7
Legal occupations,"1,809",49.2,50.8,,6.2,4.9,8.2
Lawyers,"1,092",66.9,33.1,,4.2,5.1,5.1
Judicial law clerks,13,#VALUE!,-,,-,-,-
"Judges, magistrates, and other judicial workers",55,64.4,35.6,,7.8,0.1,6.3
Paralegals and legal assistants,404,13.9,86.1,,9.5,4.5,15.2
Miscellaneous legal support workers,244,25.4,74.6,,9.5,5.6,11.4
"Education, training, and library occupations","8,623",26.2,73.8,,9.4,4.5,9.6
Postsecondary teachers,"1,313",49.8,50.2,,6.8,13,5.9
Preschool and kindergarten teachers,695,2.2,97.8,,12.1,4.5,12.9
Elementary and middle school teachers,"3,038",19.0,81,,9.4,2,9.8
Secondary school teachers,"1,063",43.3,56.7,,6.6,2.8,7.1
Special education teachers,377,19.6,80.4,,9.9,2.8,8.9
Other teachers and instructors,753,36.2,63.8,,8.6,5.5,9.1
"Archivists, curators, and museum technicians",41,#VALUE!,-,,-,-,-
Librarians,194,15.9,84.1,,7.7,2.1,5.1
Library technicians,39,#VALUE!,-,,-,-,-
Teacher assistants,918,10.8,89.2,,14.5,3.7,16.6
"Other education, training, and library workers",192,27.6,72.4,,14.3,2.8,8.3
"Arts, design, entertainment, sports, and media occupations","2,879",52.8,47.2,,6.5,5,8.4
Artists and related workers,194,43.6,56.4,,1.8,5.6,5.1
Designers,784,46.5,53.5,,5.4,6.9,9.9
Actors,46,#VALUE!,-,,-,-,-
Producers and directors,150,62.7,37.3,,6.3,1.9,7.3
"Athletes, coaches, umpires, and related workers",288,65.2,34.8,,7.4,2.1,5.5
Dancers and choreographers,19,#VALUE!,-,,-,-,-
"Musicians, singers, and related workers",202,70.4,29.6,,12.2,3.3,5.9
"Entertainers and performers, sports and related workers, all other",35,#VALUE!,-,,-,-,-
Announcers,48,#VALUE!,-,,-,-,-
"News analysts, reporters and correspondents",88,61.5,38.5,,7.8,1,6.3
Public relations specialists,149,36.7,63.3,,7.1,4.2,5.7
Editors,150,45.4,54.6,,2.8,4.3,4.9
Technical writers,70,44.5,55.5,,9.6,3.7,3.4
Writers and authors,209,42.2,57.8,,4.8,3.9,4.9
Miscellaneous media and communication workers,90,23.4,76.6,,6.4,12,31.5
Broadcast and sound engineering technicians and radio operators,99,90.6,9.4,,8.2,5.1,15.3
Photographers,180,50.0,50,,6.4,4.6,8.3
"Television, video, and motion picture camera operators and editors",76,84.1,15.9,,8.7,6.5,10.7
"Media and communication equipment workers, all other",1,#VALUE!,-,,-,-,-
Healthcare practitioners and technical occupations,"8,182",25.6,74.4,,10.5,9.3,7.4
Chiropractors,58,81.4,18.6,,0,2.3,2.3
Dentists,183,69.2,30.8,,4.7,13.1,7.2
Dietitians and nutritionists,110,10.3,89.7,,14.6,5.3,8.1
Optometrists,41,#VALUE!,-,,-,-,-
Pharmacists,277,44.0,56,,5.4,22,4.4
Physicians and surgeons,934,64.5,35.5,,6.4,21.6,3.8
Physician assistants,129,35.4,64.6,,4.9,4.3,10.4
Podiatrists,12,#VALUE!,-,,-,-,-
Audiologists,16,#VALUE!,-,,-,-,-
Occupational therapists,112,11.6,88.4,,2.5,5.4,4.8
Physical therapists,224,39.4,60.6,,6.5,8.7,6.5
Radiation therapists,13,#VALUE!,-,,-,-,-
Recreational therapists,9,#VALUE!,-,,-,-,-
Respiratory therapists,110,40.0,60,,11.6,8.2,6.3
Speech-language pathologists,137,6.6,93.4,,3.2,3.5,6.7
Exercise physiologists,6,#VALUE!,-,,-,-,-
"Therapists, all other",147,21.0,79,,10.5,3.4,12.7
Veterinarians,87,45.3,54.7,,1.5,0.6,7.7
Registered nurses,"2,892",9.9,90.1,,10.5,8,6.5
Nurse anesthetists,24,#VALUE!,-,,-,-,-
Nurse midwives,2,#VALUE!,-,,-,-,-
Nurse practitioners,126,8.2,91.8,,5.8,5.9,7.1
"Health diagnosing and treating practitioners, all other",25,#VALUE!,-,,-,-,-
Clinical laboratory technologists and technicians,340,27.1,72.9,,17.6,12.3,11.3
Dental hygienists,184,1.7,98.3,,4.8,5.3,5.9
Diagnostic related technologists and technicians,362,28.0,72,,8.3,3.7,8.5
Emergency medical technicians and paramedics,176,60.8,39.2,,5.5,2.2,9.2
Health practitioner support technologists and technicians,554,19.5,80.5,,14.6,6.6,12.7
Licensed practical and licensed vocational nurses,558,8.5,91.5,,25.2,5.1,10.6
Medical records and health information technicians,88,7.6,92.4,,22.4,4.4,14.6
"Opticians, dispensing",47,#VALUE!,-,,-,-,-
Miscellaneous health technologists and technicians,122,29.9,70.1,,21.2,12.1,11.2
Other healthcare practitioners and technical occupations,76,47.4,52.6,,6.9,3.5,9.3
,,,,,,,
Service occupations,"25,929",,56.6,,15.9,5.4,23.1
Healthcare support occupations,"3,537",,88.9,,26.4,4.7,16
"Nursing, psychiatric, and home health aides","2,134",,89,,36.4,4.7,14.9
Occupational therapy assistants and aides,19,,-,,-,-,-
Physical therapist assistants and aides,68,,70.1,,6.2,5.7,9.1
Massage therapists,172,,82,,4.3,9.3,9.2
Dental assistants,279,,95.7,,5.7,5.4,22.9
Medical assistants,458,,94.1,,13.1,4,24.8
Medical transcriptionists,52,,97.8,,4.6,0,8
Pharmacy aides,36,,-,,-,-,-
Veterinary assistants and laboratory animal caretakers,40,,-,,-,-,-
Phlebotomists,119,,81.8,,29.1,3.7,14.3
"Miscellaneous healthcare support occupations, including medical equipment preparers",160,,77.8,,17.6,4.8,7.6
Protective service occupations,"3,130",,21.1,,18.6,2.4,15.1
First-line supervisors of correctional officers,36,,-,,-,-,-
First-line supervisors of police and detectives,115,,15.3,,8.6,1.5,10.5
First-line supervisors of fire fighting and prevention workers,58,,0.1,,4.5,0.2,3.5
"First-line supervisors of protective service workers, all other",100,,21.7,,29.4,1.5,11.6
Firefighters,306,,3.5,,11.4,0.7,8.5
Fire inspectors,19,,-,,-,-,-
"Bailiffs, correctional officers, and jailers",413,,27.2,,23.6,1.1,20.9
Detectives and criminal investigators,158,,20.1,,13.8,1,14.9
Fish and game wardens,2,,-,,-,-,-
Parking enforcement workers,9,,-,,-,-,-
Police and sheriff's patrol officers,697,,13.4,,14.2,2.4,15.3
Transit and railroad police,1,,-,,-,-,-
Animal control workers,11,,-,,-,-,-
Private detectives and investigators,86,,38.5,,6.6,4.4,15.9
Security guards and gaming surveillance officers,858,,20.4,,26.5,4,17.1
Crossing guards,61,,69.1,,28.3,3.3,9.1
Transportation security screeners,28,,-,,-,-,-
"Lifeguards and other recreational, and all other protective service workers",175,,56.4,,10.4,2.2,9.2
Food preparation and serving related occupations,"8,209",,54.7,,12.2,5.7,24.4
Chefs and head cooks,425,,20,,13.7,13.6,19.1
First-line supervisors of food preparation and serving workers,581,,58,,13.1,4.6,18.5
Cooks,"1,988",,39.7,,15.3,5.5,34
Food preparation workers,885,,55.8,,12.7,5.9,29.3
Bartenders,417,,58,,5.5,2.4,13.5
"Combined food preparation and serving workers, including fast food",377,,65.3,,16.4,3.2,16.1
"Counter attendants, cafeteria, food concession, and coffee shop",221,,70.1,,12.2,3,15.4
Waiters and waitresses,"2,124",,70.4,,8.1,6.5,19.4
"Food servers, nonrestaurant",229,,67.2,,18.5,6.3,17.4
Dining room and cafeteria attendants and bartender helpers,358,,45.6,,11,4.3,31.4
Dishwashers,301,,20.6,,15.6,5.8,37.9
"Hosts and hostesses, restaurant, lounge, and coffee shop",299,,88.5,,12.5,3,16
"Food preparation and serving related workers, all other",4,,-,,-,-,-
Building and grounds cleaning and maintenance occupations,"5,661",,38.7,,14.6,3.4,35.9
First-line supervisors of housekeeping and janitorial workers,322,,41.4,,14.6,2.8,20
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",259,,7.4,,7.2,2,19.3
Janitors and building cleaners,"2,275",,32.6,,18.4,3.9,30.3
Maids and housekeeping cleaners,"1,401",,87.7,,16.8,5.2,44.3
Pest control workers,77,,3.5,,11.8,1.5,19.3
Grounds maintenance workers,"1,327",,4.7,,7.4,1.3,44.8
Personal care and service occupations,"5,392",,77.7,,14.6,9,16.9
First-line supervisors of gaming workers,157,,47.7,,3.6,11,6.9
First-line supervisors of personal service workers,228,,70.3,,11.7,17.6,13.2
Animal trainers,36,,-,,-,-,-
Nonfarm animal caretakers,175,,73.6,,4.1,1.3,12
Gaming services workers,102,,47.7,,10.3,26.1,15.1
Motion picture projectionists,5,,-,,-,-,-
"Ushers, lobby attendants, and ticket takers",39,,-,,-,-,-
Miscellaneous entertainment attendants and related workers,174,,44,,9.9,4.3,18.3
Embalmers and funeral attendants,16,,-,,-,-,-
"Morticians, undertakers, and funeral directors",39,,-,,-,-,-
Barbers,127,,19.2,,34.5,3.4,30
"Hairdressers, hairstylists, and cosmetologists",786,,94.8,,12.8,5.2,14.6
Miscellaneous personal appearance workers,316,,85.1,,6.1,56.7,7.8
"Baggage porters, bellhops, and concierges",87,,15.9,,22.7,7.6,25.7
Tour and travel guides,45,,-,,-,-,-
Childcare workers,"1,230",,94.8,,13.2,3.4,22.4
Personal care aides,"1,242",,84.2,,22.1,6.5,19.7
Recreation and fitness workers,444,,63.2,,14.2,5.5,10.1
Residential advisors,40,,-,,-,-,-
"Personal care and service workers, all other",105,,48.6,,5.6,6.3,11.9
,,,,,,,
Sales and office occupations,"33,246",,61.9,,11.8,4.9,14.4
Sales and related occupations,"15,444",,48.6,,10.4,5.6,14.5
First-line supervisors of retail sales workers,"3,223",,43.2,,8.5,6.9,11.9
First-line supervisors of non-retail sales workers,"1,188",,24.8,,6.5,6,11.6
Cashiers,"3,254",,71.7,,18,6.8,21.3
Counter and rental clerks,101,,51.4,,11.2,5.2,11.2
Parts salespersons,98,,10.4,,4.6,3.2,18.7
Retail salespersons,"3,230",,49.7,,11.7,4.8,15.7
Advertising sales agents,238,,47.2,,8.2,5,13.4
Insurance sales agents,602,,45.2,,7.3,5.8,11.3
"Securities, commodities, and financial services sales agents",278,,32.9,,5.3,5.7,8.1
Travel agents,77,,73.1,,7.5,8.8,8
"Sales representatives, services, all other",432,,34.1,,6.4,3.4,11.5
"Sales representatives, wholesale and manufacturing","1,319",,26.3,,4.2,3.1,10.5
"Models, demonstrators, and product promoters",82,,72.5,,13.4,5,8.2
Real estate brokers and sales agents,769,,57.6,,4.2,4.6,11.2
Sales engineers,36,,-,,-,-,-
Telemarketers,93,,70,,26.1,1.4,15.4
"Door-to-door sales workers, news and street vendors, and related workers",191,,59.6,,6.6,3.9,18.8
"Sales and related workers, all other",234,,47.7,,8.9,3.5,9.4
Office and administrative support occupations,"17,802",,73.3,,13.1,4.3,14.4
First-line supervisors of office and administrative support workers,"1,363",,69.5,,10.4,3.7,12.6
"Switchboard operators, including answering service",32,,-,,-,-,-
Telephone operators,29,,-,,-,-,-
"Communications equipment operators, all other",3,,-,,-,-,-
Bill and account collectors,177,,66.1,,20.3,2,12
Billing and posting clerks,497,,91.7,,13.2,4,11.2
"Bookkeeping, accounting, and auditing clerks","1,241",,88.7,,6.4,5.7,8.5
Gaming cage workers,14,,-,,-,-,-
Payroll and timekeeping clerks,156,,92.4,,14.4,3.9,12.2
Procurement clerks,27,,-,,-,-,-
Tellers,369,,84.3,,11.3,4.9,21.1
"Financial clerks, all other",55,,66.4,,19.7,7.9,10
Brokerage clerks,2,,-,,-,-,-
Correspondence clerks,11,,-,,-,-,-
"Court, municipal, and license clerks",81,,69.4,,19.7,3,13.9
"Credit authorizers, checkers, and clerks",40,,-,,-,-,-
Customer service representatives,"2,069",,65.8,,17,4.7,16.6
"Eligibility interviewers, government programs",75,,80.5,,20.2,4.3,21.6
File clerks,257,,80.1,,10.6,5.5,18.3
"Hotel, motel, and resort desk clerks",112,,72.8,,17.1,6.1,20.7
"Interviewers, except eligibility and loan",146,,80.9,,24.9,6.4,15.3
"Library assistants, clerical",87,,79.2,,9.6,5,13.2
Loan interviewers and clerks,168,,78,,10.2,2.7,16.6
New accounts clerks,25,,-,,-,-,-
Order clerks,94,,61.2,,11.9,6.9,23.9
"Human resources assistants, except payroll and timekeeping",133,,82,,15.6,4.2,11.2
Receptionists and information clerks,"1,326",,92.2,,11,4.7,18.4
Reservation and transportation ticket agents and travel clerks,119,,58.9,,17.6,9.1,15.8
"Information and record clerks, all other",103,,74.9,,14.1,3.3,11.4
Cargo and freight agents,28,,-,,-,-,-
Couriers and messengers,198,,15.3,,14.2,3.2,18.5
Dispatchers,272,,57,,15,1.3,12.7
"Meter readers, utilities",29,,-,,-,-,-
Postal service clerks,100,,54.8,,21.6,7.2,13.6
Postal service mail carriers,316,,39.1,,14.6,6.7,12.9
"Postal service mail sorters, processors, and processing machine operators",74,,54.6,,31,12.6,6.4
"Production, planning, and expediting clerks",282,,54.8,,11.9,4.4,10.8
"Shipping, receiving, and traffic clerks",563,,30.2,,16.6,3,24.5
Stock clerks and order fillers,"1,508",,36.7,,17.9,3.7,18.9
"Weighers, measurers, checkers, and samplers, recordkeeping",84,,50.3,,10.8,0.5,18.3
Secretaries and administrative assistants,"2,922",,94.4,,9.3,3.3,10.5
Computer operators,95,,52.4,,11,6.3,13.1
Data entry keyers,307,,80.3,,15.1,5.7,11.6
Word processors and typists,101,,94.1,,16.3,2.1,10.8
Desktop publishers,1,,-,,-,-,-
Insurance claims and policy processing clerks,287,,81,,17.3,2.7,10.2
"Mail clerks and mail machine operators, except postal service",75,,53.5,,17.9,7.1,16.7
"Office clerks, general","1,184",,84.4,,13.5,5.1,17.1
"Office machine operators, except computer",41,,-,,-,-,-
Proofreaders and copy markers,7,,-,,-,-,-
Statistical assistants,24,,-,,-,-,-
"Office and administrative support workers, all other",494,,77.4,,10.8,3.5,10.2
,,,,,,,
"Natural resources, construction, and maintenance occupations","13,058",,4.6,,7,2.2,26.6
"Farming, fishing, and forestry occupations",964,,21.7,,5.6,1.8,42.8
"First-line supervisors of farming, fishing, and forestry workers",48,,-,,-,-,-
Agricultural inspectors,12,,-,,-,-,-
Animal breeders,4,,-,,-,-,-
"Graders and sorters, agricultural products",94,,61.5,,15.5,4.4,47
Miscellaneous agricultural workers,679,,19.1,,4,1.3,50
Fishers and related fishing workers,40,,-,,-,-,-
Hunters and trappers,3,,-,,-,-,-
Forest and conservation workers,18,,-,,-,-,-
Logging workers,67,,2.1,,8.6,0,6.9
Construction and extraction occupations,"7,130",,2.6,,6.2,1.6,31
First-line supervisors of construction trades and extraction workers,631,,2.1,,3.5,1.2,15.7
Boilermakers,18,,-,,-,-,-
"Brickmasons, blockmasons, and stonemasons",130,,0.7,,2.5,0.3,41
Carpenters,"1,164",,1.6,,5.4,1.4,27.3
"Carpet, floor, and tile installers and finishers",142,,3.5,,4.3,1.5,46.3
"Cement masons, concrete finishers, and terrazzo workers",52,,0,,5.2,0,52.5
Construction laborers,"1,536",,3.6,,6.8,1.9,44.3
"Paving, surfacing, and tamping equipment operators",22,,-,,-,-,-
Pile-driver operators,1,,-,,-,-,-
Operating engineers and other construction equipment operators,352,,1.4,,5.8,0.6,16.5
"Drywall installers, ceiling tile installers, and tapers",126,,0.6,,2.7,0,55.1
Electricians,730,,1.8,,7.5,2,17.3
Glaziers,37,,-,,-,-,-
Insulation workers,50,,2.5,,15.6,0.1,37.7
"Painters, construction and maintenance",517,,5.7,,7,1.3,47.3
Paperhangers,2,,-,,-,-,-
"Pipelayers, plumbers, pipefitters, and steamfitters",553,,1.1,,7.9,3.2,20.8
Plasterers and stucco masons,27,,-,,-,-,-
Reinforcing iron and rebar workers,9,,-,,-,-,-
Roofers,203,,0.7,,4.2,1.1,51.2
Sheet metal workers,113,,5.5,,2.2,1.8,19.2
Structural iron and steel workers,49,,-,,-,-,-
Solar photovoltaic installers,5,,-,,-,-,-
"Helpers, construction trades",63,,2.9,,14,0.1,43.9
Construction and building inspectors,101,,7.1,,6.2,4.3,5.2
Elevator installers and repairers,24,,-,,-,-,-
Fence erectors,35,,-,,-,-,-
Hazardous materials removal workers,32,,-,,-,-,-
Highway maintenance workers,97,,1.1,,8.6,0.8,9.9
Rail-track laying and maintenance equipment operators,13,,-,,-,-,-
Septic tank servicers and sewer pipe cleaners,10,,-,,-,-,-
Miscellaneous construction and related workers,29,,-,,-,-,-
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",43,,-,,-,-,-
"Earth drillers, except oil and gas",33,,-,,-,-,-
"Explosives workers, ordnance handling experts, and blasters",8,,-,,-,-,-
Mining machine operators,58,,5,,4.4,0.4,21.3
"Roof bolters, mining",3,,-,,-,-,-
"Roustabouts, oil and gas",12,,-,,-,-,-
Helpers--extraction workers,3,,-,,-,-,-
Other extraction workers,95,,2.5,,4.3,1.4,39.6
"Installation, maintenance, and repair occupations","4,964",,4.2,,8.5,3.2,17
"First-line supervisors of mechanics, installers, and repairers",266,,10.2,,7.8,2.5,10.4
"Computer, automated teller, and office machine repairers",285,,13.3,,13,8.6,10.1
Radio and telecommunications equipment installers and repairers,129,,10,,9.5,3.3,12.9
Avionics technicians,10,,-,,-,-,-
"Electric motor, power tool, and related repairers",30,,-,,-,-,-
"Electrical and electronics installers and repairers, transportation equipment",7,,-,,-,-,-
"Electrical and electronics repairers, industrial and utility",13,,-,,-,-,-
"Electronic equipment installers and repairers, motor vehicles",23,,-,,-,-,-
Electronic home entertainment equipment installers and repairers,54,,5.1,,2.5,4.6,19.9
Security and fire alarm systems installers,72,,3.5,,10,1.9,20.3
Aircraft mechanics and service technicians,162,,2.2,,7.9,9,9
Automotive body and related repairers,168,,1.5,,3.3,2.2,32.9
Automotive glass installers and repairers,27,,-,,-,-,-
Automotive service technicians and mechanics,863,,1.8,,11.4,4,21.7
Bus and truck mechanics and diesel engine specialists,316,,0.8,,6.2,0.6,15.9
Heavy vehicle and mobile equipment service technicians and mechanics,218,,0.6,,7.5,1.4,15.7
Small engine mechanics,41,,-,,-,-,-
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",98,,1.8,,11.6,0.9,31.6
Control and valve installers and repairers,23,,-,,-,-,-
"Heating, air conditioning, and refrigeration mechanics and installers",384,,1.2,,7.4,2.5,16.9
Home appliance repairers,52,,0.4,,12.5,2.1,20.1
Industrial and refractory machinery mechanics,437,,4.6,,4.6,3.3,12.8
"Maintenance and repair workers, general",462,,4,,10.4,2.7,19.3
"Maintenance workers, machinery",40,,-,,-,-,-
Millwrights,66,,1.2,,3.6,0.8,8.7
Electrical power-line installers and repairers,117,,1.1,,5.7,1.7,12.6
Telecommunications line installers and repairers,183,,2.8,,13.5,3,15.5
Precision instrument and equipment repairers,76,,11.8,,6.9,8.2,6.1
Wind turbine service technicians,3,,-,,-,-,-
"Coin, vending, and amusement machine servicers and repairers",40,,-,,-,-,-
Commercial divers,2,,-,,-,-,-
Locksmiths and safe repairers,29,,-,,-,-,-
Manufactured building and mobile home installers,8,,-,,-,-,-
Riggers,13,,-,,-,-,-
Signal and track switch repairers,6,,-,,-,-,-
"Helpers--installation, maintenance, and repair workers",22,,-,,-,-,-
"Other installation, maintenance, and repair workers",215,,5.9,,7.3,1,22.2
,,,,,,,
