Occupation,Total Employed (thou) 2013,% Men 2013,% Women 2013,% White 2013,% Black 2013,% Asian 2013,% Latinx 2013
"Total, 16 years and over","143,929",53.0,47.0,,11.2,5.7,15.6
"Management, professional, and related occupations","54,712",48.6,51.4,,8.5,7.4,8.3
"Management, business, and financial operations occupations","22,794",56.6,43.4,,7.4,6.1,8.4
Management occupations,"16,037",61.8,38.2,,6.5,5.4,8.5
Chief executives,"1,520",73.2,26.8,,2.9,4.8,4.3
General and operations managers,"1,075",71.9,28.1,,5.1,5,8.7
Legislators,13,#VALUE!,-,,-,-,-
Advertising and promotions managers,51,32.2,67.8,,0.1,3.5,16.1
Marketing and sales managers,907,56.9,43.1,,5,4.7,6.6
Public relations and fundraising managers,55,38.9,61.1,,3.6,6.5,13.8
Administrative services managers,113,63.2,36.8,,9.4,2.6,8.2
Computer and information systems managers,602,71.4,28.6,,5,14.1,4.3
Financial managers,"1,218",44.7,55.3,,8.8,6.8,10.5
Compensation and benefits managers,12,#VALUE!,-,,-,-,-
Human resources managers,219,28.1,71.9,,12,4.2,11.6
Training and development managers,34,#VALUE!,-,,-,-,-
Industrial production managers,256,83.2,16.8,,4.4,3,10.4
Purchasing managers,184,52.2,47.8,,10.9,7,6.5
"Transportation, storage, and distribution managers",264,77.5,22.5,,9.6,4.7,13.7
"Farmers, ranchers, and other agricultural managers",929,74.7,25.3,,0.7,1.5,3.4
Construction managers,821,92.7,7.3,,3.1,2.5,10.1
Education administrators,804,36.2,63.8,,13.4,2.6,6.8
Architectural and engineering managers,121,89.3,10.7,,3.2,6.2,5.5
Food service managers,"1,077",54.7,45.3,,8.6,11.5,14.6
Funeral service managers,12,#VALUE!,-,,-,-,-
Gaming managers,17,#VALUE!,-,,-,-,-
Lodging managers,143,47.5,52.5,,9.7,16.9,6.8
Medical and health services managers,585,30.3,69.7,,10.6,4.7,9.6
Natural sciences managers,14,#VALUE!,-,,-,-,-
Postmasters and mail superintendents,31,#VALUE!,-,,-,-,-
"Property, real estate, and community association managers",654,52.4,47.6,,8.1,4.5,11
Social and community service managers,332,34.4,65.6,,13.2,3.3,6.9
Emergency management directors,7,#VALUE!,-,,-,-,-
"Managers, all other","3,969",66.3,33.7,,6.2,4.8,9.1
Business and financial operations occupations,"6,757",44.3,55.7,,9.4,7.7,8.3
"Agents and business managers of artists, performers, and athletes",59,48.7,51.3,,2.6,7.8,10.5
"Buyers and purchasing agents, farm products",14,#VALUE!,-,,-,-,-
"Wholesale and retail buyers, except farm products",215,44.9,55.1,,6,6.4,9.8
"Purchasing agents, except wholesale, retail, and farm products",271,42.6,57.4,,9.6,3,11.2
"Claims adjusters, appraisers, examiners, and investigators",329,36.7,63.3,,13.9,4.3,7.7
Compliance officers,195,46.6,53.4,,11.7,7.1,7.8
Cost estimators,123,89.2,10.8,,2.2,3.8,10.1
Human resources workers,584,27.6,72.4,,12.3,4.1,11.7
"Compensation, benefits, and job analysis specialists",83,20.0,80,,11,3.6,12.6
Training and development specialists,119,41.0,59,,12.4,2.9,13.8
Logisticians,88,60.0,40,,12.8,6.5,17.2
Management analysts,811,58.2,41.8,,7.1,8.5,5.7
"Meeting, convention, and event planners",130,25.3,74.7,,10.2,6.1,6.1
Fundraisers,81,28.6,71.4,,3.4,0.4,5.4
Market research analysts and marketing specialists,241,41.9,58.1,,7.1,10.4,5.1
"Business operations specialists, all other",195,37.3,62.7,,11.3,6.2,8.2
Accountants and auditors,"1,814",37.9,62.1,,8.6,11.9,7.3
Appraisers and assessors of real estate,98,57.6,42.4,,5.5,3,5.5
Budget analysts,62,50.7,49.3,,14.2,2.8,11
Credit analysts,30,#VALUE!,-,,-,-,-
Financial analysts,105,67.4,32.6,,8.5,13.7,5.5
Personal financial advisors,383,74.3,25.7,,6.5,8,5.2
Insurance underwriters,94,36.4,63.6,,13.7,2.1,8.7
Financial examiners,14,#VALUE!,-,,-,-,-
Credit counselors and loan officers,365,43.4,56.6,,10.6,6,9.6
"Tax examiners and collectors, and revenue agents",60,29.8,70.2,,20.9,9.1,7.1
Tax preparers,97,37.9,62.1,,21.4,9.6,17.9
"Financial specialists, all other",94,43.5,56.5,,12.5,6.4,10.8
Professional and related occupations,"31,917",42.9,57.1,,9.3,8.3,8.2
Computer and mathematical occupations,"3,980",73.9,26.1,,8.3,18.5,6.3
Computer and information research scientists,18,#VALUE!,-,,-,-,-
Computer systems analysts,534,65.1,34.9,,9.5,20.5,5.9
Information security analysts,48,#VALUE!,-,,-,-,-
Computer programmers,489,77.0,23,,8.1,18.8,5.6
"Software developers, applications and systems software","1,103",80.3,19.7,,4.1,28.8,5.3
Web developers,192,60.5,39.5,,8,8.7,6.5
Computer support specialists,517,71.0,29,,13.2,7.6,7.6
Database administrators,98,62.6,37.4,,14.2,10.8,6.8
Network and computer systems administrators,205,82.7,17.3,,9.3,11.3,7.4
Computer network architects,135,92.5,7.5,,9.4,14.5,5.1
"Computer occupations, all other",410,77.2,22.8,,9.9,16.5,8.1
Actuaries,28,#VALUE!,-,,-,-,-
Mathematicians,1,#VALUE!,-,,-,-,-
Operations research analysts,128,48.0,52,,7.8,8.3,11.2
Statisticians,72,61.7,38.3,,11.4,25.4,3
Miscellaneous mathematical science occupations,3,#VALUE!,-,,-,-,-
Architecture and engineering occupations,"2,806",85.9,14.1,,5.5,11.3,7.5
"Architects, except naval",193,75.0,25,,1.6,5.8,7.9
"Surveyors, cartographers, and photogrammetrists",39,#VALUE!,-,,-,-,-
Aerospace engineers,144,87.8,12.2,,4.9,10.9,4.7
Agricultural engineers,3,#VALUE!,-,,-,-,-
Biomedical engineers,11,#VALUE!,-,,-,-,-
Chemical engineers,61,84.4,15.6,,5.9,7.5,6
