Occupation,Total Employed (thou) 2017,% Men 2017,% Women 2017,% White 2017,% Black 2017,% Asian 2017,% Latinx 2017
"Total, 16 years and over","153,337",53.1,46.9,78.4,12.1,6.2,16.9
"Management, professional, and related occupations","60,901",48.4,51.6,80.0,9.4,8.1,9.6
"Management, business, and financial operations occupations","25,379",56.0,44.0,83.0,8.2,6.4,10.0
Management occupations,"17,804",60.2,39.8,84.0,7.6,5.9,9.9
Chief executives,"1,639",72.0,28.0,90.0,3.8,4.6,4.7
General and operations managers,"1,005",65.9,34.1,85.0,8.3,4.5,11.4
Legislators,18,#VALUE!,–,–,–,–,–
Advertising and promotions managers,61,47.3,52.7,84.5,8.0,7.5,7.4
Marketing and sales managers,"1,078",54.7,45.3,86.4,6.0,6.1,10.2
Public relations and fundraising managers,73,36.5,63.5,87.9,7.8,3.2,3.7
Administrative services managers,151,59.9,40.1,83.5,9.4,3.2,10.3
Computer and information systems managers,630,71.4,28.6,78.0,6.6,13.0,6.6
Financial managers,"1,167",44.3,55.7,83.5,6.7,8.2,11.2
Compensation and benefits managers,16,#VALUE!,–,–,–,–,–
Human resources managers,327,29.2,70.8,81.7,12.3,4.3,7.9
Training and development managers,63,40.2,59.8,89.2,5.6,2.2,9.0
Industrial production managers,280,74.3,25.7,89.5,3.8,5.9,9.3
Purchasing managers,205,47.7,52.3,84.3,10.6,3.3,9.1
"Transportation, storage, and distribution managers",291,80.8,19.2,79.7,10.7,5.3,13.8
"Farmers, ranchers, and other agricultural managers","1,018",74.8,25.2,95.4,0.8,1.4,6.1
Construction managers,"1,081",92.6,7.4,90.2,4.9,2.3,12.4
Education administrators,918,35.8,64.2,81.8,12.9,2.1,10.3
Architectural and engineering managers,129,91.3,8.7,79.7,8.3,11.2,6.2
Food service managers,"1,210",53.7,46.3,74.7,9.5,11.7,16.9
Funeral service managers,15,#VALUE!,–,–,–,–,–
Gaming managers,19,#VALUE!,–,–,–,–,–
Lodging managers,156,51.2,48.8,72.9,11.2,12.5,12.0
Medical and health services managers,671,30.2,69.8,77.9,14.0,5.7,9.1
Natural sciences managers,16,#VALUE!,–,–,–,–,–
Postmasters and mail superintendents,27,#VALUE!,–,–,–,–,–
"Property, real estate, and community association managers",743,51.4,48.6,81.8,11.6,3.5,14.4
Social and community service managers,390,29.8,70.2,78.1,13.7,4.0,8.6
Emergency management directors,11,#VALUE!,–,–,–,–,–
"Managers, all other","4,398",64.2,35.8,83.2,7.4,7.0,9.4
Business and financial operations occupations,"7,574",46.0,54.0,80.7,9.4,7.5,10.2
"Agents and business managers of artists, performers, and athletes",50,55.6,44.4,77.3,15.9,6.1,4.0
"Buyers and purchasing agents, farm products",11,#VALUE!,–,–,–,–,–
"Wholesale and retail buyers, except farm products",194,44.2,55.8,84.2,7.7,6.2,9.0
"Purchasing agents, except wholesale, retail, and farm products",270,55.9,44.1,82.7,9.4,6.1,11.9
"Claims adjusters, appraisers, examiners, and investigators",350,38.3,61.7,77.0,18.2,3.0,11.4
Compliance officers,260,42.4,57.6,80.1,11.9,5.9,9.0
Cost estimators,118,87.1,12.9,94.4,3.1,2.2,8.5
Human resources workers,736,27.9,72.1,80.2,11.8,5.7,13.8
"Compensation, benefits, and job analysis specialists",59,27.7,72.3,72.2,21.5,2.3,15.7
Training and development specialists,133,52.9,47.1,81.6,12.4,1.1,18.2
Logisticians,112,65.2,34.8,70.9,17.1,7.4,11.7
Management analysts,937,57.7,42.3,77.2,9.1,11.2,7.4
"Meeting, convention, and event planners",137,14.9,85.1,91.6,4.7,1.4,9.0
Fundraisers,84,22.7,77.3,88.4,8.8,0.2,2.6
Market research analysts and marketing specialists,344,39.2,60.8,84.2,5.4,7.7,9.0
"Business operations specialists, all other",273,47.5,52.5,79.2,9.1,9.3,13.6
Accountants and auditors,"1,804",39.7,60.3,79.5,8.2,9.7,9.6
Appraisers and assessors of real estate,97,62.6,37.4,88.8,9.0,1.8,11.0
Budget analysts,53,53.2,46.8,71.1,12.5,9.7,11.1
Credit analysts,29,#VALUE!,–,–,–,–,–
Financial analysts,309,63.5,36.5,75.6,8.8,12.5,6.9
Personal financial advisors,525,68.0,32.0,87.0,4.8,6.6,8.3
Insurance underwriters,104,36.2,63.8,85.5,8.8,5.4,8.1
Financial examiners,15,#VALUE!,–,–,–,–,–
Credit counselors and loan officers,353,43.5,56.5,83.8,8.5,4.2,14.2
"Tax examiners and collectors, and revenue agents",65,41.6,58.4,77.2,11.1,9.8,14.8
Tax preparers,107,36.9,63.1,78.3,17.2,4.0,14.9
"Financial specialists, all other",45,#VALUE!,–,–,–,–,–
Professional and related occupations,"35,522",43.0,57.0,77.9,10.3,9.3,9.3
Computer and mathematical occupations,"4,804",74.5,25.5,67.8,8.7,20.8,7.3
Computer and information research scientists,24,#VALUE!,–,–,–,–,–
Computer systems analysts,554,61.1,38.9,70.9,9.7,16.6,7.2
Information security analysts,105,79.8,20.2,68.5,15.6,12.6,4.6
Computer programmers,473,78.8,21.2,65.9,7.1,25.4,5.3
"Software developers, applications and systems software","1,536",81.3,18.7,59.3,5.6,32.4,6.2
Web developers,204,67.7,32.3,82.0,4.5,9.8,5.8
Computer support specialists,532,72.9,27.1,70.7,14.6,11.3,10.3
Database administrators,96,59.4,40.6,70.6,10.1,18.1,6.2
Network and computer systems administrators,210,76.5,23.5,79.5,6.3,11.8,10.9
Computer network architects,106,95.8,4.2,73.1,10.6,15.2,3.1
"Computer occupations, all other",693,77.4,22.6,73.5,11.4,11.9,9.7
Actuaries,29,#VALUE!,–,–,–,–,–
Mathematicians,3,#VALUE!,–,–,–,–,–
Operations research analysts,147,48.5,51.5,70.9,12.4,15.3,7.3
Statisticians,87,51.2,48.8,63.1,9.0,22.4,6.4
Miscellaneous mathematical science occupations,3,#VALUE!,–,–,–,–,–
Architecture and engineering occupations,"3,224",83.8,16.2,79.3,5.6,12.7,8.7
"Architects, except naval",253,71.4,28.6,82.5,2.1,14.0,7.7
"Surveyors, cartographers, and photogrammetrists",43,#VALUE!,–,–,–,–,–
Aerospace engineers,148,91.1,8.9,79.1,8.1,11.4,5.5
Agricultural engineers,2,#VALUE!,–,–,–,–,–
Biomedical engineers,17,#VALUE!,–,–,–,–,–
Chemical engineers,77,83.1,16.9,91.0,1.7,7.0,4.1
Civil engineers,461,85.6,14.4,82.5,6.4,7.1,10.7
Computer hardware engineers,80,82.8,17.2,55.4,5.8,38.3,7.8
Electrical and electronics engineers,284,87.7,12.3,74.6,3.5,19.5,9.0
Environmental engineers,38,#VALUE!,–,–,–,–,–
