Occupation,Total Employed (thou) 2017,% Men 2017,% Women 2017,% White 2017,% Black 2017,% Asian 2017,% Latinx 2017
"Industrial engineers, including health and safety",221,77.4,22.6,80.8,5.3,11.6,6.2
Marine engineers and naval architects,12,#VALUE!,–,–,–,–,–
Materials engineers,32,#VALUE!,–,–,–,–,–
Mechanical engineers,344,90.8,9.2,84.2,3.6,11.1,6.0
"Mining and geological engineers, including mining safety engineers",11,#VALUE!,–,–,–,–,–
Nuclear engineers,8,#VALUE!,–,–,–,–,–
Petroleum engineers,24,#VALUE!,–,–,–,–,–
"Engineers, all other",582,85.9,14.1,73.1,6.9,17.8,9.4
Drafters,137,79.2,20.8,89.9,6.2,2.4,16.5
"Engineering technicians, except drafters",375,80.0,20.0,76.9,8.9,10.7,10.3
Surveying and mapping technicians,73,95.4,4.6,90.3,2.1,1.7,10.1
"Life, physical, and social science occupations","1,431",52.6,47.4,76.4,5.7,15.8,9.0
Agricultural and food scientists,32,#VALUE!,–,–,–,–,–
Biological scientists,98,45.6,54.4,81.2,3.1,13.1,7.9
Conservation scientists and foresters,29,#VALUE!,–,–,–,–,–
Medical scientists,161,47.9,52.1,66.4,6.6,26.2,6.7
"Life scientists, all other",3,#VALUE!,–,–,–,–,–
Astronomers and physicists,18,#VALUE!,–,–,–,–,–
Atmospheric and space scientists,7,#VALUE!,–,–,–,–,–
Chemists and materials scientists,105,61.7,38.3,66.7,11.3,20.8,5.9
Environmental scientists and geoscientists,84,64.2,35.8,90.8,5.0,0.7,4.8
"Physical scientists, all other",301,52.7,47.3,61.2,4.0,32.1,7.9
Economists,28,#VALUE!,–,–,–,–,–
Survey researchers,3,#VALUE!,–,–,–,–,–
Psychologists,187,31.1,68.9,89.5,6.5,3.6,8.5
Sociologists,2,#VALUE!,–,–,–,–,–
Urban and regional planners,32,#VALUE!,–,–,–,–,–
Miscellaneous social scientists and related workers,41,#VALUE!,–,–,–,–,–
Agricultural and food science technicians,32,#VALUE!,–,–,–,–,–
Biological technicians,23,#VALUE!,–,–,–,–,–
Chemical technicians,57,72.6,27.4,79.8,7.3,7.8,14.3
Geological and petroleum technicians,13,#VALUE!,–,–,–,–,–
Nuclear technicians,7,#VALUE!,–,–,–,–,–
Social science research assistants,4,#VALUE!,–,–,–,–,–
"Miscellaneous life, physical, and social science technicians",164,52.3,47.7,80.2,5.7,11.8,13.4
Community and social service occupations,"2,635",33.9,66.1,73.1,19.9,3.8,12.4
Counselors,853,27.7,72.3,72.3,21.4,2.9,13.0
Social workers,802,17.5,82.5,69.5,23.5,4.0,14.0
Probation officers and correctional treatment specialists,99,36.5,63.5,63.8,26.7,5.3,11.1
Social and human service assistants,232,24.7,75.3,68.4,22.8,3.1,19.0
"Miscellaneous community and social service specialists, including health educators and community health workers",76,25.2,74.8,68.9,19.6,7.0,17.3
Clergy,406,83.0,17.0,81.3,12.1,4.6,6.1
"Directors, religious activities and education",81,45.9,54.1,88.9,7.1,3.6,6.0
"Religious workers, all other",85,34.7,65.3,86.7,5.0,5.2,5.0
Legal occupations,"1,827",47.2,52.8,86.6,6.9,4.3,8.6
Lawyers,"1,137",62.6,37.4,88.6,5.6,4.4,4.8
Judicial law clerks,14,#VALUE!,–,–,–,–,–
"Judges, magistrates, and other judicial workers",66,71.9,28.1,87.3,12.7,0.0,7.0
Paralegals and legal assistants,424,13.7,86.3,82.9,7.7,4.8,17.5
Miscellaneous legal support workers,186,19.8,80.2,83.7,10.8,3.0,12.9
"Education, training, and library occupations","9,215",27.0,73.0,82.0,10.7,4.9,10.5
Postsecondary teachers,"1,423",53.0,47.0,77.7,8.4,11.7,6.4
Preschool and kindergarten teachers,712,2.3,97.7,77.1,16.2,3.4,14.1
Elementary and middle school teachers,"3,268",20.7,79.3,85.2,10.1,2.9,10.1
Secondary school teachers,"1,039",41.5,58.5,86.2,8.6,2.8,9.4
Special education teachers,422,14.4,85.6,86.2,10.0,2.4,7.9
Other teachers and instructors,907,34.6,65.4,78.8,11.1,6.3,11.9
"Archivists, curators, and museum technicians",59,38.6,61.4,80.2,6.4,7.8,1.7
Librarians,194,20.5,79.5,86.3,6.4,5.2,10.4
Library technicians,40,#VALUE!,–,–,–,–,–
Teacher assistants,989,11.5,88.5,78.0,14.6,4.2,17.3
"Other education, training, and library workers",161,32.3,67.7,78.5,12.6,5.3,6.0
"Arts, design, entertainment, sports, and media occupations","3,246",53.1,46.9,83.9,7.3,5.3,10.2
Artists and related workers,236,48.1,51.9,89.6,3.5,4.5,10.8
Designers,908,47.2,52.8,84.2,5.1,7.6,12.0
Actors,40,#VALUE!,–,–,–,–,–
Producers and directors,180,70.2,29.8,87.8,5.2,4.6,8.9
"Athletes, coaches, umpires, and related workers",345,63.6,36.4,88.2,5.0,3.0,8.5
Dancers and choreographers,21,#VALUE!,–,–,–,–,–
"Musicians, singers, and related workers",188,62.3,37.7,75.6,17.3,4.3,6.7
"Entertainers and performers, sports and related workers, all other",67,51.9,48.1,74.1,9.2,9.9,7.5
Announcers,50,76.9,23.1,77.5,12.0,7.1,8.5
"News analysts, reporters and correspondents",84,44.7,55.3,73.0,13.4,7.9,16.4
Public relations specialists,118,39.1,60.9,87.9,8.3,2.6,5.7
Editors,174,45.9,54.1,90.9,3.8,2.9,4.1
Technical writers,76,39.8,60.2,84.6,6.7,5.6,1.2
Writers and authors,226,39.1,60.9,86.3,6.3,3.2,4.6
Miscellaneous media and communication workers,112,35.8,64.2,70.6,9.5,14.3,32.9
Broadcast and sound engineering technicians and radio operators,119,85.6,14.4,78.2,14.0,3.7,16.8
Photographers,214,54.0,46.0,84.4,9.1,3.0,8.7
"Television, video, and motion picture camera operators and editors",82,87.8,12.2,86.1,7.2,1.9,7.6
"Media and communication equipment workers, all other",5,#VALUE!,–,–,–,–,–
Healthcare practitioners and technical occupations,"9,141",25.0,75.0,76.5,11.9,9.4,8.2
Chiropractors,51,78.9,21.1,97.4,0.1,1.7,5.1
Dentists,159,64.2,35.8,81.6,3.7,13.5,4.7
Dietitians and nutritionists,114,5.9,94.1,79.7,12.8,5.6,9.0
Optometrists,51,49.8,50.2,91.9,0.0,7.9,3.2
Pharmacists,342,42.5,57.5,68.5,8.2,21.7,4.5
Physicians and surgeons,"1,079",60.0,40.0,72.0,8.2,18.1,6.8
Physician assistants,116,29.1,70.9,86.0,4.7,7.9,5.1
Podiatrists,12,#VALUE!,–,–,–,–,–
Audiologists,15,#VALUE!,–,–,–,–,–
Occupational therapists,122,12.4,87.6,82.9,8.7,6.4,6.2
Physical therapists,258,31.8,68.2,78.2,5.3,14.7,5.0
Radiation therapists,10,#VALUE!,–,–,–,–,–
Recreational therapists,7,#VALUE!,–,–,–,–,–
Respiratory therapists,100,27.6,72.4,73.3,16.6,10.0,8.8
Speech-language pathologists,141,2.0,98.0,93.0,2.8,2.7,10.5
Exercise physiologists,5,#VALUE!,–,–,–,–,–
"Therapists, all other",221,16.7,83.3,81.8,12.5,3.3,10.2
Veterinarians,89,37.5,62.5,91.2,2.1,3.7,3.6
Registered nurses,"3,159",10.1,89.9,76.7,12.3,8.7,6.9
Nurse anesthetists,35,#VALUE!,–,–,–,–,–
Nurse midwives,7,#VALUE!,–,–,–,–,–
Nurse practitioners,175,7.8,92.2,84.7,10.6,4.0,3.4
"Health diagnosing and treating practitioners, all other",39,#VALUE!,–,–,–,–,–
Clinical laboratory technologists and technicians,376,30.7,69.3,71.2,17.1,9.4,11.0
Dental hygienists,168,5.1,94.9,88.6,7.0,2.4,11.9
Diagnostic related technologists and technicians,319,29.2,70.8,84.3,8.2,6.4,12.5
Emergency medical technicians and paramedics,223,69.4,30.6,83.9,9.7,3.1,8.4
Health practitioner support technologists and technicians,632,20.6,79.4,75.6,13.5,7.3,14.3
Licensed practical and licensed vocational nurses,630,10.5,89.5,64.0,28.4,5.4,12.4
Medical records and health information technicians,167,8.3,91.7,74.6,13.2,6.9,9.8
"Opticians, dispensing",48,#VALUE!,–,–,–,–,–
Miscellaneous health technologists and technicians,160,34.0,66.0,66.8,18.5,10.4,10.0
Other healthcare practitioners and technical occupations,110,53.5,46.5,84.0,9.0,6.5,9.4
,,,,,,,
Service occupations,"26,751",,56.6,72.6,16.8,5.9,24.0
Healthcare support occupations,"3,506",,87.1,65.6,25.1,5.2,18.8
"Nursing, psychiatric, and home health aides","1,936",,88.6,56.4,33.9,5.6,16.7
Occupational therapy assistants and aides,27,,–,–,–,–,–
Physical therapist assistants and aides,83,,67.2,88.0,5.2,5.6,11.0
Massage therapists,172,,82.7,83.7,4.6,6.7,12.4
Dental assistants,299,,95.9,82.9,7.9,5.0,29.1
Medical assistants,539,,91.6,76.2,15.0,4.0,27.9
Medical transcriptionists,36,,–,–,–,–,–
Pharmacy aides,39,,–,–,–,–,–
Veterinary assistants and laboratory animal caretakers,61,,84.2,86.4,2.3,6.0,8.4
Phlebotomists,112,,83.8,64.7,27.6,5.9,17.2
"Miscellaneous healthcare support occupations, including medical equipment preparers",200,,70.5,60.3,31.4,4.1,16.1
Protective service occupations,"3,113",,22.3,72.6,20.5,2.9,12.8
First-line supervisors of correctional officers,52,,29.9,77.7,13.1,3.8,10.1
First-line supervisors of police and detectives,95,,12.5,81.1,14.1,0.9,7.1
First-line supervisors of fire fighting and prevention workers,44,,–,–,–,–,–
"First-line supervisors of protective service workers, all other",72,,22.0,74.7,15.0,5.4,10.0
Firefighters,283,,3.5,88.5,7.5,1.0,7.7
Fire inspectors,27,,–,–,–,–,–
"Bailiffs, correctional officers, and jailers",408,,28.5,67.4,29.0,1.8,13.5
Detectives and criminal investigators,136,,23.2,87.1,11.6,0.9,14.1
Fish and game wardens,4,,–,–,–,–,–
Parking enforcement workers,6,,–,–,–,–,–
Police and sheriff's patrol officers,704,,13.6,79.8,13.9,2.4,10.9
Transit and railroad police,7,,–,–,–,–,–
Animal control workers,15,,–,–,–,–,–
Private detectives and investigators,94,,48.8,79.0,13.8,4.6,11.3
Security guards and gaming surveillance officers,920,,24.3,57.5,32.3,4.4,17.0
Crossing guards,63,,52.2,69.4,21.5,4.7,20.9
Transportation security screeners,46,,–,–,–,–,–
"Lifeguards and other recreational, and all other protective service workers",136,,49.6,88.5,4.1,2.5,9.4
Food preparation and serving related occupations,"8,305",,53.8,74.4,13.9,6.2,25.5
Chefs and head cooks,465,,19.7,65.0,16.4,13.9,21.0
First-line supervisors of food preparation and serving workers,519,,54.8,74.8,17.0,3.7,18.9
Cooks,"2,079",,39.3,73.2,16.8,5.1,35.4
Food preparation workers,"1,068",,58.9,72.2,14.5,6.5,27.4
Bartenders,417,,57.3,85.5,7.2,2.8,14.1
"Combined food preparation and serving workers, including fast food",372,,60.0,70.0,17.3,4.4,22.8
"Counter attendants, cafeteria, food concession, and coffee shop",225,,62.1,72.0,16.9,5.0,21.3
Waiters and waitresses,"2,016",,69.9,78.2,9.2,7.6,20.9
"Food servers, nonrestaurant",207,,69.9,69.9,18.5,7.0,21.8
Dining room and cafeteria attendants and bartender helpers,334,,45.9,76.4,9.9,7.8,27.9
Dishwashers,274,,19.5,70.9,19.9,2.9,31.2
"Hosts and hostesses, restaurant, lounge, and coffee shop",324,,85.9,74.8,12.9,3.3,17.1
"Food preparation and serving related workers, all other",4,,–,–,–,–,–
Building and grounds cleaning and maintenance occupations,"5,888",,40.7,77.4,14.9,3.3,38.0
First-line supervisors of housekeeping and janitorial workers,326,,41.1,79.9,12.0,4.6,28.5
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",255,,8.0,91.6,5.4,1.2,21.5
Janitors and building cleaners,"2,307",,35.2,72.5,18.6,3.8,31.7
Maids and housekeeping cleaners,"1,527",,88.0,74.3,17.9,3.9,49.4
Pest control workers,108,,6.5,82.0,11.4,1.4,13.3
Grounds maintenance workers,"1,365",,5.9,85.6,7.9,2.0,43.1
Personal care and service occupations,"5,939",,76.1,69.5,16.1,10.2,17.1
First-line supervisors of gaming workers,208,,44.3,82.4,7.7,4.7,6.8
First-line supervisors of personal service workers,232,,66.2,63.8,15.4,18.8,11.1
Animal trainers,49,,–,–,–,–,–
Nonfarm animal caretakers,263,,78.4,90.8,2.8,1.6,13.6
Gaming services workers,90,,46.7,45.1,8.9,34.0,10.2
Motion picture projectionists,1,,–,–,–,–,–
"Ushers, lobby attendants, and ticket takers",37,,–,–,–,–,–
Miscellaneous entertainment attendants and related workers,224,,42.9,75.9,16.1,1.8,18.6
Embalmers and funeral attendants,17,,–,–,–,–,–
"Morticians, undertakers, and funeral directors",42,,–,–,–,–,–
Barbers,135,,15.6,50.7,38.1,5.1,24.1
"Hairdressers, hairstylists, and cosmetologists",806,,92.6,76.7,13.5,5.6,16.3
Miscellaneous personal appearance workers,397,,81.8,27.2,8.3,62.3,9.1
"Baggage porters, bellhops, and concierges",89,,31.1,60.1,24.9,8.3,27.5
Tour and travel guides,68,,46.4,81.2,4.5,5.3,8.8
Childcare workers,"1,225",,93.7,77.3,15.4,4.3,22.3
Personal care aides,"1,365",,83.7,62.0,24.8,9.1,20.7
Recreation and fitness workers,480,,62.3,80.1,11.4,3.5,9.6
Residential advisors,44,,–,–,–,–,–
"Personal care and service workers, all other",167,,60.1,74.6,14.6,4.9,17.8
,,,,,,,
Sales and office occupations,"33,566",,61.3,78.5,13.0,5.0,15.9
Sales and related occupations,"15,815",,49.1,79.9,11.1,5.6,15.9
First-line supervisors of retail sales workers,"3,272",,43.4,81.6,9.4,6.2,15.0
First-line supervisors of non-retail sales workers,"1,220",,30.0,84.6,6.8,5.4,13.3
Cashiers,"3,253",,72.7,70.2,17.9,6.4,22.3
Counter and rental clerks,109,,48.9,78.4,12.7,7.0,18.6
Parts salespersons,130,,7.2,88.8,4.5,2.5,21.9
Retail salespersons,"3,235",,48.2,77.6,12.8,5.7,17.2
Advertising sales agents,241,,50.4,80.7,14.8,3.9,10.6
Insurance sales agents,624,,51.8,81.3,10.0,5.9,11.9
"Securities, commodities, and financial services sales agents",262,,34.0,85.8,6.0,5.1,10.3
Travel agents,89,,82.7,81.9,11.2,6.4,13.0
"Sales representatives, services, all other",525,,27.1,88.5,6.4,3.2,12.9
"Sales representatives, wholesale and manufacturing","1,264",,28.0,89.9,4.6,3.7,10.1
"Models, demonstrators, and product promoters",61,,78.4,82.4,6.0,8.7,12.8
Real estate brokers and sales agents,997,,57.1,85.7,7.2,4.8,11.5
Sales engineers,35,,–,–,–,–,–
Telemarketers,58,,69.4,61.3,24.7,7.0,25.8
"Door-to-door sales workers, news and street vendors, and related workers",166,,58.4,82.9,11.0,5.4,22.0
"Sales and related workers, all other",276,,50.3,84.2,9.5,4.9,8.1
Office and administrative support occupations,"17,751",,72.2,77.3,14.6,4.5,15.9
First-line supervisors of office and administrative support workers,"1,425",,70.1,80.3,13.4,4.0,11.6
"Switchboard operators, including answering service",23,,–,–,–,–,–
Telephone operators,47,,–,–,–,–,–
"Communications equipment operators, all other",9,,–,–,–,–,–
Bill and account collectors,139,,71.3,70.7,22.9,3.1,18.9
Billing and posting clerks,473,,85.9,79.4,13.6,3.8,13.1
"Bookkeeping, accounting, and auditing clerks","1,089",,88.7,87.4,6.9,3.7,11.3
Gaming cage workers,14,,–,–,–,–,–
Payroll and timekeeping clerks,129,,89.5,75.6,14.3,4.2,17.7
Procurement clerks,30,,–,–,–,–,–
Tellers,306,,85.2,79.9,12.6,5.0,16.4
"Financial clerks, all other",82,,60.8,78.3,16.0,3.9,17.8
Brokerage clerks,7,,–,–,–,–,–
Correspondence clerks,7,,–,–,–,–,–
"Court, municipal, and license clerks",90,,75.2,75.8,15.6,2.0,16.6
"Credit authorizers, checkers, and clerks",55,,63.8,90.5,3.2,5.7,17.3
Customer service representatives,"2,494",,65.1,73.2,17.2,5.4,17.4
"Eligibility interviewers, government programs",62,,76.7,58.8,26.8,10.0,21.9
File clerks,182,,81.4,77.2,13.6,6.9,17.8
"Hotel, motel, and resort desk clerks",125,,60.9,64.8,21.5,7.8,15.7
"Interviewers, except eligibility and loan",142,,85.0,71.9,18.0,2.8,21.2
"Library assistants, clerical",96,,80.1,81.3,8.6,5.1,10.4
Loan interviewers and clerks,120,,80.4,77.6,15.3,5.1,14.6
New accounts clerks,32,,–,–,–,–,–
Order clerks,107,,54.9,66.2,18.8,8.0,14.4
"Human resources assistants, except payroll and timekeeping",45,,–,–,–,–,–
Receptionists and information clerks,"1,267",,91.0,79.9,12.8,3.5,19.7
Reservation and transportation ticket agents and travel clerks,127,,58.0,60.8,25.3,5.9,15.1
"Information and record clerks, all other",110,,78.1,75.5,10.1,5.2,15.0
Cargo and freight agents,16,,–,–,–,–,–
Couriers and messengers,239,,19.4,67.3,25.5,5.5,18.1
Dispatchers,292,,57.4,81.7,11.6,2.0,16.9
"Meter readers, utilities",18,,–,–,–,–,–
Postal service clerks,111,,55.3,70.8,22.4,4.8,15.9
Postal service mail carriers,306,,40.8,67.4,22.2,5.6,14.4
"Postal service mail sorters, processors, and processing machine operators",50,,56.7,51.0,38.4,7.9,3.8
"Production, planning, and expediting clerks",270,,53.9,81.6,7.8,6.7,9.7
"Shipping, receiving, and traffic clerks",623,,31.3,72.2,20.4,3.7,27.0
Stock clerks and order fillers,"1,525",,37.9,74.0,18.4,4.2,20.6
"Weighers, measurers, checkers, and samplers, recordkeeping",52,,46.8,85.9,7.4,3.5,29.0
Secretaries and administrative assistants,"2,769",,95.0,83.7,9.3,3.6,12.4
Computer operators,73,,60.2,74.8,14.0,6.3,7.4
Data entry keyers,267,,79.6,72.4,16.5,8.5,15.2
Word processors and typists,94,,89.8,69.7,21.1,6.8,13.9
Desktop publishers,2,,–,–,–,–,–
Insurance claims and policy processing clerks,237,,84.3,70.8,20.3,4.2,14.9
"Mail clerks and mail machine operators, except postal service",61,,36.8,67.4,24.4,3.0,11.9
"Office clerks, general","1,271",,83.1,75.1,14.8,6.3,18.4
"Office machine operators, except computer",33,,–,–,–,–,–
Proofreaders and copy markers,10,,–,–,–,–,–
Statistical assistants,21,,–,–,–,–,–
"Office and administrative support workers, all other",576,,75.2,77.6,15.1,3.7,12.5
,,,,,,,
"Natural resources, construction, and maintenance occupations","14,193",,5.1,86.9,7.3,2.2,30.7
"Farming, fishing, and forestry occupations","1,184",,23.4,89.3,4.9,1.7,44.3
"First-line supervisors of farming, fishing, and forestry workers",62,,8.7,87.2,6.6,4.4,27.1
Agricultural inspectors,18,,–,–,–,–,–
Animal breeders,2,,–,–,–,–,–
"Graders and sorters, agricultural products",110,,67.1,80.4,12.4,4.2,48.8
Miscellaneous agricultural workers,854,,21.5,91.7,3.3,1.3,51.1
Fishers and related fishing workers,44,,–,–,–,–,–
Hunters and trappers,1,,–,–,–,–,–
Forest and conservation workers,27,,–,–,–,–,–
Logging workers,66,,2.0,82.9,10.3,0.0,9.1
Construction and extraction occupations,"8,031",,3.0,87.8,6.9,1.6,36.0
First-line supervisors of construction trades and extraction workers,639,,3.0,89.8,5.4,1.2,24.5
Boilermakers,15,,–,–,–,–,–
"Brickmasons, blockmasons, and stonemasons",166,,0.7,84.6,7.1,1.2,45.1
Carpenters,"1,351",,2.2,89.3,5.3,1.7,35.4
"Carpet, floor, and tile installers and finishers",183,,2.4,87.2,6.9,1.3,47.4
"Cement masons, concrete finishers, and terrazzo workers",54,,1.0,90.4,8.5,0.0,46.7
Construction laborers,"1,946",,3.3,85.9,8.6,1.7,46.9
"Paving, surfacing, and tamping equipment operators",15,,–,–,–,–,–
Pile-driver operators,2,,–,–,–,–,–
Operating engineers and other construction equipment operators,358,,1.5,90.4,5.2,0.8,19.3
"Drywall installers, ceiling tile installers, and tapers",156,,2.7,91.7,3.8,0.6,63.9
Electricians,857,,2.5,87.9,6.7,2.5,19.1
Glaziers,44,,–,–,–,–,–
Insulation workers,58,,3.1,82.1,9.6,0.0,42.6
"Painters, construction and maintenance",540,,6.6,89.7,5.9,1.5,53.4
Paperhangers,4,,–,–,–,–,–
"Pipelayers, plumbers, pipefitters, and steamfitters",600,,2.2,86.6,9.0,1.5,27.1
Plasterers and stucco masons,27,,–,–,–,–,–
Reinforcing iron and rebar workers,12,,–,–,–,–,–
Roofers,220,,0.6,86.6,6.9,2.5,56.1
Sheet metal workers,137,,2.6,91.4,4.3,1.6,18.7
Structural iron and steel workers,43,,–,–,–,–,–
Solar photovoltaic installers,11,,–,–,–,–,–
"Helpers, construction trades",69,,9.4,88.2,3.8,2.1,38.3
Construction and building inspectors,89,,10.2,85.5,9.8,2.2,11.2
Elevator installers and repairers,40,,–,–,–,–,–
Fence erectors,34,,–,–,–,–,–
Hazardous materials removal workers,30,,–,–,–,–,–
Highway maintenance workers,101,,2.7,79.4,13.7,0.1,15.5
Rail-track laying and maintenance equipment operators,17,,–,–,–,–,–
Septic tank servicers and sewer pipe cleaners,10,,–,–,–,–,–
Miscellaneous construction and related workers,24,,–,–,–,–,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",30,,–,–,–,–,–
"Earth drillers, except oil and gas",23,,–,–,–,–,–
"Explosives workers, ordnance handling experts, and blasters",10,,–,–,–,–,–
Mining machine operators,51,,1.1,85.8,7.8,2.7,23.9
"Roof bolters, mining",2,,–,–,–,–,–
"Roustabouts, oil and gas",4,,–,–,–,–,–
Helpers--extraction workers,4,,–,–,–,–,–
