Occupation,Total Employed (thou) 2015,% Men 2015,% Women 2015,% White 2015,% Black 2015,% Asian 2015,% Latinx 2015
"Buyers and purchasing agents, farm products",10,#VALUE!,–,,–,–,–
"Wholesale and retail buyers, except farm products",190,47.3,52.7,,6.3,7.5,11
"Purchasing agents, except wholesale, retail, and farm products",280,50.3,49.7,,6.7,5.8,11.5
"Claims adjusters, appraisers, examiners, and investigators",321,44.7,55.3,,14.6,3.1,10.4
Compliance officers,246,51,49,,11.4,4.2,9.5
Cost estimators,112,82.2,17.8,,0.4,3,8.1
Human resources workers,662,26,74,,15.4,4.9,10.7
"Compensation, benefits, and job analysis specialists",68,27,73,,14.1,6.9,8.4
Training and development specialists,118,37.9,62.1,,13.7,2,7
Logisticians,117,59.1,40.9,,14.4,4.2,20.2
Management analysts,848,60.3,39.7,,9.3,10.1,5.9
"Meeting, convention, and event planners",159,21.4,78.6,,11.1,5.6,12.3
Fundraisers,77,26.6,73.4,,7.2,1.1,1.9
Market research analysts and marketing specialists,261,41.2,58.8,,4.8,6.9,9.7
"Business operations specialists, all other",213,43.3,56.7,,9.2,7,9
Accountants and auditors,"1,732",40.3,59.7,,9.5,11.3,7.4
Appraisers and assessors of real estate,76,60.7,39.3,,5.9,0.9,3.9
Budget analysts,44,#VALUE!,–,,–,–,–
Credit analysts,21,#VALUE!,–,,–,–,–
Financial analysts,322,57,43,,11.1,16.2,6.4
Personal financial advisors,498,62.1,37.9,,7.6,7.4,9.4
Insurance underwriters,107,41.4,58.6,,8.9,5.8,5.3
Financial examiners,15,#VALUE!,–,,–,–,–
Credit counselors and loan officers,332,45.4,54.6,,14,6,10.6
"Tax examiners and collectors, and revenue agents",58,34.5,65.5,,17,9.4,13.5
Tax preparers,109,38.6,61.4,,14.4,4.7,18.8
"Financial specialists, all other",71,45.4,54.6,,6.7,8.5,7.6
Professional and related occupations,"33,852",42.8,57.2,,9.8,8.7,8.8
Computer and mathematical occupations,"4,369",75.3,24.7,,8.6,19.9,6.8
Computer and information research scientists,24,#VALUE!,–,,–,–,–
Computer systems analysts,552,65.8,34.2,,9.6,19.6,6.9
Information security analysts,70,80.3,19.7,,3,3.4,5.2
Computer programmers,480,79,21,,7,18.9,6.9
"Software developers, applications and systems software","1,353",82.1,17.9,,5,33.8,5.4
Web developers,204,65.7,34.3,,9.1,9.6,6.2
Computer support specialists,475,73.6,26.4,,12.5,9.6,8.4
Database administrators,93,62,38,,6.2,9.6,2.1
Network and computer systems administrators,218,84.1,15.9,,11.5,10.4,9.4
Computer network architects,114,87.9,12.1,,8.9,16.5,6.5
"Computer occupations, all other",547,75.7,24.3,,11.8,12,9.5
Actuaries,21,#VALUE!,–,,–,–,–
Mathematicians,6,#VALUE!,–,,–,–,–
Operations research analysts,123,49.3,50.7,,15.3,10.2,9.3
Statisticians,86,47.1,52.9,,12.4,11.4,3.7
Miscellaneous mathematical science occupations,4,#VALUE!,–,,–,–,–
Architecture and engineering occupations,"2,954",84.9,15.1,,6,11.4,8.2
"Architects, except naval",203,74.3,25.7,,5.8,7.6,5.7
"Surveyors, cartographers, and photogrammetrists",38,#VALUE!,–,,–,–,–
Aerospace engineers,138,88.7,11.3,,2.1,18.6,13.1
Agricultural engineers,6,#VALUE!,–,,–,–,–
Biomedical engineers,16,#VALUE!,–,,–,–,–
Chemical engineers,84,85.3,14.7,,2.8,16.3,6.5
Civil engineers,360,87.4,12.6,,3.6,10.2,9
Computer hardware engineers,72,87.2,12.8,,12.1,23.4,11
Electrical and electronics engineers,302,87.5,12.5,,6,14.3,7.2
Environmental engineers,40,#VALUE!,–,,–,–,–
"Industrial engineers, including health and safety",214,79.8,20.2,,4.2,8.9,7.3
Marine engineers and naval architects,11,#VALUE!,–,,–,–,–
Materials engineers,40,#VALUE!,–,,–,–,–
Mechanical engineers,323,91.7,8.3,,6.2,11.2,5.6
"Mining and geological engineers, including mining safety engineers",15,#VALUE!,–,,–,–,–
Nuclear engineers,6,#VALUE!,–,,–,–,–
Petroleum engineers,44,#VALUE!,–,,–,–,–
"Engineers, all other",440,86.4,13.6,,7.6,14.7,5.9
Drafters,133,78.8,21.2,,3.7,1.1,15
"Engineering technicians, except drafters",403,79.7,20.3,,10,10.7,9.7
Surveying and mapping technicians,65,94.8,5.2,,3.5,4.1,7.2
"Life, physical, and social science occupations","1,404",53.4,46.6,,6.1,14.5,7
Agricultural and food scientists,25,#VALUE!,–,,–,–,–
Biological scientists,86,57.4,42.6,,6.6,10.8,8.2
Conservation scientists and foresters,25,#VALUE!,–,,–,–,–
Medical scientists,157,45.1,54.9,,5.9,35.1,5.4
"Life scientists, all other",1,#VALUE!,–,,–,–,–
Astronomers and physicists,19,#VALUE!,–,,–,–,–
Atmospheric and space scientists,12,#VALUE!,–,,–,–,–
Chemists and materials scientists,99,63.9,36.1,,8.4,13.5,5.9
Environmental scientists and geoscientists,92,72.5,27.5,,1.3,6.2,7.3
"Physical scientists, all other",232,58.6,41.4,,4.4,23.9,6.2
Economists,34,#VALUE!,–,,–,–,–
Survey researchers,0,#VALUE!,–,,–,–,–
Psychologists,193,29.7,70.3,,4.1,2.5,5.8
Sociologists,1,#VALUE!,–,,–,–,–
Urban and regional planners,25,#VALUE!,–,,–,–,–
Miscellaneous social scientists and related workers,45,#VALUE!,–,,–,–,–
Agricultural and food science technicians,25,#VALUE!,–,,–,–,–
Biological technicians,18,#VALUE!,–,,–,–,–
Chemical technicians,82,60,40,,11.7,7.5,9.7
Geological and petroleum technicians,21,#VALUE!,–,,–,–,–
Nuclear technicians,3,#VALUE!,–,,–,–,–
Social science research assistants,4,#VALUE!,–,,–,–,–
"Miscellaneous life, physical, and social science technicians",203,46.1,53.9,,7.7,12.5,6.6
Community and social service occupations,"2,596",34.7,65.3,,17.4,3.6,10.7
Counselors,802,28.6,71.4,,18.4,2.5,9.5
Social workers,765,16.2,83.8,,22,3,12.5
Probation officers and correctional treatment specialists,99,44.6,55.4,,23.3,4,12.1
Social and human service assistants,194,17.4,82.6,,21.2,2.2,16
"Miscellaneous community and social service specialists, including health educators and community health workers",117,29.2,70.8,,14.2,5.2,16.5
Clergy,469,79.4,20.6,,10.2,6.6,7.3
"Directors, religious activities and education",78,42.2,57.8,,7.5,1.1,5.1
"Religious workers, all other",73,41,59,,2.3,5.2,6.2
Legal occupations,"1,803",49.8,50.2,,6.8,4.5,7.5
Lawyers,"1,160",65.5,34.5,,4.6,4.8,5.1
Judicial law clerks,13,#VALUE!,–,,–,–,–
"Judges, magistrates, and other judicial workers",58,61,39,,11.8,6.2,6.4
Paralegals and legal assistants,400,14.6,85.4,,10.3,3.9,13.4
Miscellaneous legal support workers,172,23.6,76.4,,10.9,4.1,10.8
"Education, training, and library occupations","8,908",26.6,73.4,,10.4,4.5,9.9
Postsecondary teachers,"1,341",53.5,46.5,,5.1,12.6,7.6
Preschool and kindergarten teachers,695,3.2,96.8,,16.1,3.4,12.2
Elementary and middle school teachers,"3,152",19.3,80.7,,10.8,2.5,8.5
Secondary school teachers,"1,144",40.8,59.2,,8.7,2.5,7.8
Special education teachers,330,12.5,87.5,,9.5,2.3,7.5
Other teachers and instructors,876,37.7,62.3,,12.1,6.1,11.2
"Archivists, curators, and museum technicians",53,39.9,60.1,,2.7,0,8.5
Librarians,166,17,83,,8.5,2.8,4.8
Library technicians,31,#VALUE!,–,,–,–,–
Teacher assistants,960,8.6,91.4,,13.8,3,18.7
"Other education, training, and library workers",161,26.3,73.7,,12.5,4.1,12
"Arts, design, entertainment, sports, and media occupations","3,051",52.4,47.6,,6.3,5.2,10.8
Artists and related workers,222,43.1,56.9,,2.7,4.1,9.4
Designers,899,45.1,54.9,,3.5,6.9,12.3
Actors,49,#VALUE!,–,,–,–,–
Producers and directors,169,63.1,36.9,,5.3,5.6,6.8
"Athletes, coaches, umpires, and related workers",296,63.9,36.1,,11.1,2.7,10.1
Dancers and choreographers,19,#VALUE!,–,,–,–,–
"Musicians, singers, and related workers",202,65.5,34.5,,10.5,2.6,8.8
"Entertainers and performers, sports and related workers, all other",41,#VALUE!,–,,–,–,–
Announcers,55,83.5,16.5,,14.8,5.6,19.1
"News analysts, reporters and correspondents",68,53.3,46.7,,6.5,1.7,13.7
Public relations specialists,147,38.7,61.3,,9.8,4.8,7.7
Editors,160,49,51,,2,7.7,7.9
Technical writers,68,41.8,58.2,,9.2,1.2,6
Writers and authors,208,40.6,59.4,,4.9,3.5,5.3
Miscellaneous media and communication workers,84,32.1,67.9,,5.8,13.4,35.8
Broadcast and sound engineering technicians and radio operators,119,90.8,9.2,,11.3,0.8,14.5
Photographers,180,50.1,49.9,,3.3,7.8,9.5
"Television, video, and motion picture camera operators and editors",64,85.2,14.8,,4.5,6,15.4
"Media and communication equipment workers, all other",2,#VALUE!,–,,–,–,–
Healthcare practitioners and technical occupations,"8,766",24.9,75.1,,11.5,9.2,8.1
Chiropractors,75,70.5,29.5,,3.2,3.2,8.7
Dentists,196,74.1,25.9,,2.9,16.8,8.6
Dietitians and nutritionists,108,5.4,94.6,,14.2,9.6,5.3
Optometrists,39,#VALUE!,–,,–,–,–
Pharmacists,282,43,57,,8.7,15.3,5.4
Physicians and surgeons,"1,007",62.1,37.9,,6.4,18.4,6.4
Physician assistants,74,27.4,72.6,,3.7,7.1,6.5
Podiatrists,15,#VALUE!,–,,–,–,–
Audiologists,16,#VALUE!,–,,–,–,–
Occupational therapists,116,12,88,,7.2,8.6,6.5
Physical therapists,274,27.9,72.1,,4.3,12.5,4.9
Radiation therapists,13,#VALUE!,–,,–,–,–
Recreational therapists,11,#VALUE!,–,,–,–,–
Respiratory therapists,108,33.2,66.8,,15.2,6,9.2
Speech-language pathologists,158,1.4,98.6,,4.9,2.9,7.1
Exercise physiologists,5,#VALUE!,–,,–,–,–
"Therapists, all other",189,19.1,80.9,,7.9,3.8,15.4
Veterinarians,90,39.5,60.5,,3.4,4.7,2.5
Registered nurses,"2,973",10.6,89.4,,12.2,8.7,6.6
Nurse anesthetists,27,#VALUE!,–,,–,–,–
Nurse midwives,7,#VALUE!,–,,–,–,–
Nurse practitioners,149,9.2,90.8,,8.2,3.5,2.5
"Health diagnosing and treating practitioners, all other",17,#VALUE!,–,,–,–,–
Clinical laboratory technologists and technicians,327,23.9,76.1,,17.3,13.5,12.4
Dental hygienists,177,3.6,96.4,,3.6,6.6,5.4
Diagnostic related technologists and technicians,322,26.3,73.7,,7.9,5.2,8.7
Emergency medical technicians and paramedics,220,67.1,32.9,,10.6,1.2,8.3
Health practitioner support technologists and technicians,626,18.5,81.5,,14.2,7.5,13
Licensed practical and licensed vocational nurses,670,9.9,90.1,,28.5,5.7,13.9
Medical records and health information technicians,200,10.4,89.6,,12.1,3.6,8.4
"Opticians, dispensing",52,39.6,60.4,,8.4,4,13.3
Miscellaneous health technologists and technicians,117,32.5,67.5,,14.2,7.8,11.4
Other healthcare practitioners and technical occupations,108,47.3,52.7,,8.8,3.3,9
,,,,,,,
Service occupations,"25,896",,56.7,,16.8,5.4,23.5
Healthcare support occupations,"3,514",,87.6,,27.1,5.7,16.5
"Nursing, psychiatric, and home health aides","2,032",,89.4,,37.7,5.6,14.8
Occupational therapy assistants and aides,23,,–,,–,–,–
Physical therapist assistants and aides,68,,67.7,,5.6,6,10.8
Massage therapists,189,,77.9,,4.8,9.1,9.1
Dental assistants,286,,94.1,,9.6,6.6,23.8
Medical assistants,524,,90.7,,13,5.6,27.5
Medical transcriptionists,42,,–,,–,–,–
Pharmacy aides,36,,–,,–,–,–
Veterinary assistants and laboratory animal caretakers,38,,–,,–,–,–
Phlebotomists,106,,84.1,,25.2,3.5,13.8
"Miscellaneous healthcare support occupations, including medical equipment preparers",170,,69.6,,25.1,4.1,8.5
Protective service occupations,"3,109",,21.3,,19.2,2.4,13.9
First-line supervisors of correctional officers,52,,31.4,,24.7,2.7,6.3
First-line supervisors of police and detectives,110,,12.8,,14,1.3,6.6
First-line supervisors of fire fighting and prevention workers,49,,–,,–,–,–
"First-line supervisors of protective service workers, all other",81,,23.2,,14.7,2,10.5
Firefighters,293,,5.9,,8.4,1.1,7.8
Fire inspectors,19,,–,,–,–,–
"Bailiffs, correctional officers, and jailers",443,,23.8,,26,1.2,11.8
Detectives and criminal investigators,144,,27.2,,8.5,0.8,11.9
Fish and game wardens,6,,–,,–,–,–
Parking enforcement workers,10,,–,,–,–,–
Police and sheriff's patrol officers,688,,13.6,,13.5,2,15.5
Transit and railroad police,1,,–,,–,–,–
Animal control workers,5,,–,,–,–,–
Private detectives and investigators,100,,38.4,,12.7,5,14.6
Security guards and gaming surveillance officers,869,,22,,28.8,4,18.6
Crossing guards,57,,59.8,,33.2,3.1,17.3
Transportation security screeners,38,,–,,–,–,–
"Lifeguards and other recreational, and all other protective service workers",144,,43.7,,9.1,1.5,12.6
Food preparation and serving related occupations,"8,142",,54.5,,13.8,6.1,25.3
Chefs and head cooks,415,,19.6,,15.2,16.8,19.3
First-line supervisors of food preparation and serving workers,527,,57.4,,14.9,3.8,16.5
Cooks,"2,091",,39.9,,18.5,5.3,35.7
Food preparation workers,858,,59.1,,15.1,5.6,27.4
Bartenders,451,,59.8,,4.4,3.3,13.2
"Combined food preparation and serving workers, including fast food",420,,63.4,,21.6,3.7,17.3
"Counter attendants, cafeteria, food concession, and coffee shop",233,,66.7,,10.7,6.2,18.2
Waiters and waitresses,"2,057",,70.1,,8.2,6.9,21.1
"Food servers, nonrestaurant",190,,70.9,,20.6,8.7,19.4
Dining room and cafeteria attendants and bartender helpers,321,,44.2,,13.9,6.1,29.1
Dishwashers,281,,21.3,,14.7,5.1,39.7
"Hosts and hostesses, restaurant, lounge, and coffee shop",293,,82.1,,11.2,3.6,19.2
"Food preparation and serving related workers, all other",5,,–,,–,–,–
Building and grounds cleaning and maintenance occupations,"5,716",,41.1,,14.5,2.9,38
First-line supervisors of housekeeping and janitorial workers,293,,40.6,,19.7,2.4,20.5
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",215,,6.6,,4,2,23.6
Janitors and building cleaners,"2,263",,34.3,,17.6,3.4,31.4
Maids and housekeeping cleaners,"1,510",,89.3,,16.1,4.4,48.9
Pest control workers,85,,4.7,,13,1.3,14
Grounds maintenance workers,"1,349",,6.4,,7.9,0.9,44.5
Personal care and service occupations,"5,415",,76.8,,15.6,8.5,15.5
First-line supervisors of gaming workers,168,,46.6,,4.8,5.1,8.7
First-line supervisors of personal service workers,185,,71,,11.9,16.2,8.9
Animal trainers,54,,50.9,,1.2,0,11.5
Nonfarm animal caretakers,252,,67.9,,5.4,1.8,13
Gaming services workers,89,,52.2,,8,22,8.2
Motion picture projectionists,6,,–,,–,–,–
"Ushers, lobby attendants, and ticket takers",44,,–,,–,–,–
Miscellaneous entertainment attendants and related workers,221,,39.2,,12.8,2.1,15.7
Embalmers and funeral attendants,9,,–,,–,–,–
"Morticians, undertakers, and funeral directors",35,,–,,–,–,–
Barbers,116,,22.1,,40.7,6.4,20.7
"Hairdressers, hairstylists, and cosmetologists",707,,94.2,,12.3,3.9,15.3
Miscellaneous personal appearance workers,324,,85.3,,7,56.5,8.5
"Baggage porters, bellhops, and concierges",76,,16.1,,21,10.5,32.9
Tour and travel guides,54,,54.3,,3.4,10.1,5.3
Childcare workers,"1,206",,94.9,,15.3,3.3,19.1
Personal care aides,"1,251",,85.1,,24.2,8.1,17.9
Recreation and fitness workers,429,,61.6,,10.7,2.1,10.4
Residential advisors,38,,–,,–,–,–
"Personal care and service workers, all other",149,,49.8,,15.6,4.9,20.8
,,,,,,,
Sales and office occupations,"33,598",,61.5,,12.3,5.2,15.3
Sales and related occupations,"15,700",,49.3,,10.6,5.7,15
First-line supervisors of retail sales workers,"3,245",,44,,9.5,6.1,13
First-line supervisors of non-retail sales workers,"1,242",,28.7,,6.2,5.9,12.8
Cashiers,"3,246",,72.5,,17.4,6.8,20.6
Counter and rental clerks,109,,50.9,,12.2,2.9,18.8
Parts salespersons,124,,12.4,,5,1.5,18.1
Retail salespersons,"3,346",,49.4,,12.8,6.3,17.3
Advertising sales agents,200,,49.7,,9.4,4.8,11.3
Insurance sales agents,615,,51.2,,7.3,3.5,12.7
"Securities, commodities, and financial services sales agents",258,,26.2,,4.8,5.8,7
Travel agents,89,,75.9,,3.3,17.7,8.7
"Sales representatives, services, all other",479,,34.8,,5.7,2.8,13.3
"Sales representatives, wholesale and manufacturing","1,281",,27.9,,4,3.3,10
"Models, demonstrators, and product promoters",68,,70.7,,5.6,6.5,15.1
Real estate brokers and sales agents,906,,55.5,,5.7,4.9,9.4
Sales engineers,42,,–,,–,–,–
Telemarketers,60,,64.3,,25.9,2.2,27.3
"Door-to-door sales workers, news and street vendors, and related workers",156,,67,,10.5,2.5,21.7
"Sales and related workers, all other",236,,46.8,,6.5,3.9,10.6
Office and administrative support occupations,"17,897",,72.2,,13.9,4.7,15.6
First-line supervisors of office and administrative support workers,"1,474",,68.3,,11.7,4.7,13.1
"Switchboard operators, including answering service",16,,–,,–,–,–
Telephone operators,34,,–,,–,–,–
"Communications equipment operators, all other",5,,–,,–,–,–
Bill and account collectors,168,,68.3,,20.6,3.9,18.4
Billing and posting clerks,473,,90.1,,13,3.3,13.5
"Bookkeeping, accounting, and auditing clerks","1,182",,89.8,,7.5,4.9,10.6
Gaming cage workers,14,,–,,–,–,–
Payroll and timekeeping clerks,138,,89.3,,7.3,4.8,15.5
Procurement clerks,40,,–,,–,–,–
Tellers,357,,87.3,,8.4,6.4,20.7
"Financial clerks, all other",69,,63.3,,24.6,7.6,7
Brokerage clerks,3,,–,,–,–,–
Correspondence clerks,3,,–,,–,–,–
"Court, municipal, and license clerks",71,,87,,11.9,3.3,16.6
"Credit authorizers, checkers, and clerks",52,,72.9,,10.4,2.5,15.8
Customer service representatives,"2,271",,65.1,,16.6,4.7,18
"Eligibility interviewers, government programs",74,,77.3,,25.1,2.3,33.3
File clerks,203,,82.2,,12.9,4.2,13.4
"Hotel, motel, and resort desk clerks",156,,59.5,,18,10.7,18.7
"Interviewers, except eligibility and loan",151,,83.2,,16.1,3.7,18.3
"Library assistants, clerical",98,,77.3,,8,7.5,10.6
Loan interviewers and clerks,139,,83.5,,12.8,4.1,16.5
New accounts clerks,26,,–,,–,–,–
Order clerks,84,,65.6,,14.5,4.4,16.6
"Human resources assistants, except payroll and timekeeping",59,,82.9,,18.9,3.5,7.1
Receptionists and information clerks,"1,232",,90.6,,13.4,3.7,17.7
Reservation and transportation ticket agents and travel clerks,111,,61.3,,16.4,6.4,18.6
"Information and record clerks, all other",127,,76.9,,17.7,7.5,13.4
Cargo and freight agents,21,,–,,–,–,–
Couriers and messengers,235,,14.3,,20.4,4,18.6
Dispatchers,277,,56.3,,13.4,2.3,12.8
"Meter readers, utilities",41,,–,,–,–,–
Postal service clerks,130,,46,,33.5,8.7,6.3
Postal service mail carriers,320,,41.2,,20.3,6.8,13.1
"Postal service mail sorters, processors, and processing machine operators",64,,50,,29.9,8.1,9.4
"Production, planning, and expediting clerks",286,,55,,10.3,4.6,12
"Shipping, receiving, and traffic clerks",575,,29.5,,14.7,3.5,27
Stock clerks and order fillers,"1,529",,35.8,,18.2,4.5,20.2
"Weighers, measurers, checkers, and samplers, recordkeeping",72,,57.8,,13.1,6.6,23.7
Secretaries and administrative assistants,"2,870",,94.5,,10.4,3.5,11.9
Computer operators,69,,46.8,,13.5,5.3,13.7
Data entry keyers,281,,74.3,,13.8,7.7,15.1
Word processors and typists,103,,92.1,,15,5,9.9
Desktop publishers,1,,–,,–,–,–
Insurance claims and policy processing clerks,287,,77.1,,17.7,5,7.7
"Mail clerks and mail machine operators, except postal service",81,,59.4,,25.1,10.9,18.4
"Office clerks, general","1,288",,82.3,,13.4,6.7,18.6
"Office machine operators, except computer",37,,–,,–,–,–
Proofreaders and copy markers,8,,–,,–,–,–
Statistical assistants,17,,–,,–,–,–
"Office and administrative support workers, all other",477,,77.4,,12.9,3.9,13.8
,,,,,,,
"Natural resources, construction, and maintenance occupations","13,733",,4.7,,7.3,1.9,29
"Farming, fishing, and forestry occupations","1,073",,24.2,,5.1,1.3,45.7
"First-line supervisors of farming, fishing, and forestry workers",54,,21.2,,1.4,0,41.6
Agricultural inspectors,18,,–,,–,–,–
Animal breeders,8,,–,,–,–,–
"Graders and sorters, agricultural products",97,,61.7,,18.6,3.8,54.3
Miscellaneous agricultural workers,789,,21.9,,3.5,1.1,50.7
Fishers and related fishing workers,39,,–,,–,–,–
Hunters and trappers,0,,–,,–,–,–
Forest and conservation workers,18,,–,,–,–,–
Logging workers,51,,2.8,,10.4,0,11
Construction and extraction occupations,"7,652",,2.7,,6.9,1.3,33.3
First-line supervisors of construction trades and extraction workers,712,,3.3,,6.2,1.2,16.7
Boilermakers,20,,–,,–,–,–
"Brickmasons, blockmasons, and stonemasons",172,,0.7,,5.3,0,43.3
Carpenters,"1,281",,1.8,,5.4,1.2,32.8
"Carpet, floor, and tile installers and finishers",156,,1.7,,6.2,2.1,47.1
"Cement masons, concrete finishers, and terrazzo workers",54,,0.2,,12.1,0,49.2
Construction laborers,"1,649",,2.9,,8.1,1.9,45.5
"Paving, surfacing, and tamping equipment operators",12,,–,,–,–,–
Pile-driver operators,2,,–,,–,–,–
Operating engineers and other construction equipment operators,357,,1.9,,7.5,0.1,21.1
"Drywall installers, ceiling tile installers, and tapers",151,,1.6,,5.5,0.2,61.8
Electricians,773,,2.3,,8.8,1.9,19.3
Glaziers,47,,–,,–,–,–
Insulation workers,49,,–,,–,–,–
"Painters, construction and maintenance",572,,5.7,,5.6,1.8,49.3
Paperhangers,1,,–,,–,–,–
"Pipelayers, plumbers, pipefitters, and steamfitters",573,,0.7,,6.8,1.1,25
Plasterers and stucco masons,28,,–,,–,–,–
Reinforcing iron and rebar workers,10,,–,,–,–,–
Roofers,221,,2.3,,6,1.4,51.2
Sheet metal workers,122,,4.5,,2.4,0.7,15.7
Structural iron and steel workers,58,,2.2,,6.4,2.8,19.8
Solar photovoltaic installers,11,,–,,–,–,–
"Helpers, construction trades",52,,1.3,,7,2.8,44.7
Construction and building inspectors,90,,9.9,,9.5,1,8.2
Elevator installers and repairers,30,,–,,–,–,–
Fence erectors,34,,–,,–,–,–
Hazardous materials removal workers,42,,–,,–,–,–
Highway maintenance workers,103,,2,,13.4,0.9,16.5
Rail-track laying and maintenance equipment operators,11,,–,,–,–,–
Septic tank servicers and sewer pipe cleaners,12,,–,,–,–,–
Miscellaneous construction and related workers,32,,–,,–,–,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",34,,–,,–,–,–
"Earth drillers, except oil and gas",29,,–,,–,–,–
"Explosives workers, ordnance handling experts, and blasters",9,,–,,–,–,–
Mining machine operators,67,,2.5,,4.1,0,16.3
"Roof bolters, mining",2,,–,,–,–,–
"Roustabouts, oil and gas",9,,–,,–,–,–
Helpers--extraction workers,4,,–,,–,–,–
Other extraction workers,64,,3.8,,3.1,0.5,26.8
"Installation, maintenance, and repair occupations","5,008",,3.5,,8.3,3.1,18.9
"First-line supervisors of mechanics, installers, and repairers",262,,6.1,,8.5,3.3,11.4
"Computer, automated teller, and office machine repairers",241,,13.2,,18.4,8.2,9.8
Radio and telecommunications equipment installers and repairers,158,,8.5,,11.7,8.2,11.8
Avionics technicians,5,,–,,–,–,–
"Electric motor, power tool, and related repairers",23,,–,,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",1,,–,,–,–,–
"Electrical and electronics repairers, industrial and utility",20,,–,,–,–,–
"Electronic equipment installers and repairers, motor vehicles",18,,–,,–,–,–
Electronic home entertainment equipment installers and repairers,38,,–,,–,–,–
Security and fire alarm systems installers,74,,3.8,,6,1,23.1
Aircraft mechanics and service technicians,140,,5.2,,8.3,3.1,13.6
Automotive body and related repairers,154,,0.6,,5.4,0.6,22.9
Automotive glass installers and repairers,22,,–,,–,–,–
Automotive service technicians and mechanics,924,,1.5,,8.2,4,25.7
Bus and truck mechanics and diesel engine specialists,345,,0.1,,7.5,2.6,15.8
Heavy vehicle and mobile equipment service technicians and mechanics,233,,0,,4.8,1.5,14.3
Small engine mechanics,54,,3.1,,0,1.3,10.4
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",81,,1.9,,4.5,1,24.4
Control and valve installers and repairers,29,,–,,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",408,,1.7,,7.6,2.2,21.6
Home appliance repairers,53,,3.8,,3.7,6,26.8
Industrial and refractory machinery mechanics,425,,3.6,,6.6,1.5,13.6
"Maintenance and repair workers, general",527,,3.2,,11.2,2.4,21.9
"Maintenance workers, machinery",29,,–,,–,–,–
Millwrights,57,,3.3,,5.6,0.5,8.4
Electrical power-line installers and repairers,119,,1.2,,5.2,1.7,11.1
Telecommunications line installers and repairers,177,,6,,12.9,3.1,19.7
Precision instrument and equipment repairers,66,,4.8,,6.3,3.3,10.5
Wind turbine service technicians,4,,–,,–,–,–
"Coin, vending, and amusement machine servicers and repairers",48,,–,,–,–,–
Commercial divers,1,,–,,–,–,–
Locksmiths and safe repairers,21,,–,,–,–,–
Manufactured building and mobile home installers,5,,–,,–,–,–
Riggers,10,,–,,–,–,–
Signal and track switch repairers,8,,–,,–,–,–
"Helpers--installation, maintenance, and repair workers",28,,–,,–,–,–
"Other installation, maintenance, and repair workers",200,,5.8,,5.1,2.1,25.3
,,,,,,,
