Occupation,Total Employed (thou) 2015,% Men 2015,% Women 2015,% White 2015,% Black 2015,% Asian 2015,% Latinx 2015
"Total, 16 years and over","148,834",53.2,46.8,,11.7,5.8,16.4
"Management, professional, and related occupations","57,960",48.5,51.5,,9.2,7.7,9.1
"Management, business, and financial operations occupations","24,108",56.4,43.6,,8.2,6.3,9.4
Management occupations,"16,994",60.8,39.2,,7.3,5.6,9.7
Chief executives,"1,517",72.1,27.9,,3.6,4.7,5.5
General and operations managers,899,72.4,27.6,,6.9,4.7,10.8
Legislators,13,#VALUE!,–,,–,–,–
Advertising and promotions managers,67,46.4,53.6,,0,5.5,6.6
Marketing and sales managers,"1,006",56.8,43.2,,6.2,5.8,9.7
Public relations and fundraising managers,61,40.8,59.2,,10.6,5.2,5.6
Administrative services managers,195,52.3,47.7,,9.9,3,7.2
Computer and information systems managers,652,72.8,27.2,,5.6,14.2,4.8
Financial managers,"1,197",50.4,49.6,,7.2,7.9,9.4
Compensation and benefits managers,23,#VALUE!,–,,–,–,–
Human resources managers,290,26.7,73.3,,11.9,2.2,10.8
Training and development managers,41,#VALUE!,–,,–,–,–
Industrial production managers,280,81.7,18.3,,5.1,4.3,6.7
Purchasing managers,198,55.2,44.8,,11.4,7.2,12.9
"Transportation, storage, and distribution managers",263,78.9,21.1,,8.2,3.4,19.2
"Farmers, ranchers, and other agricultural managers","1,052",76.1,23.9,,0.9,0.6,4.3
Construction managers,737,93.3,6.7,,3.3,3.2,12.9
Education administrators,928,34.3,65.7,,13.4,3.8,9.3
Architectural and engineering managers,110,92.6,7.4,,6.3,7.6,9
Food service managers,"1,192",52.9,47.1,,11.1,10.6,17
Funeral service managers,15,#VALUE!,–,,–,–,–
Gaming managers,23,#VALUE!,–,,–,–,–
Lodging managers,159,46.5,53.5,,7.2,10.9,16.8
Medical and health services managers,636,26.3,73.7,,13.1,5.2,8
Natural sciences managers,25,#VALUE!,–,,–,–,–
Postmasters and mail superintendents,24,#VALUE!,–,,–,–,–
"Property, real estate, and community association managers",685,49.1,50.9,,7.6,3.6,11.1
Social and community service managers,378,32.6,67.4,,12.1,5.3,9.9
Emergency management directors,10,#VALUE!,–,,–,–,–
"Managers, all other","4,315",65.7,34.3,,7.2,5.4,10.1
Business and financial operations occupations,"7,114",45.7,54.3,,10.3,7.9,8.8
"Agents and business managers of artists, performers, and athletes",46,#VALUE!,–,,–,–,–
