Occupation,Total Employed (thou) 2011,% Men 2011,% Women 2011,% White 2011,% Black 2011,% Asian 2011,% Latinx 2011
"Helpers--installation, maintenance, and repair workers",24,,-,,-,-,-
"Other installation, maintenance, and repair workers",215,,7.8,,9.2,3,23.3
,,,,,,,
"Production, transportation, and material moving occupations","16,461",,21.6,,13.7,4.3,21
Production occupations,"8,142",,28.4,,11,5.9,21.6
First-line supervisors of production and operating workers,727,,18.6,,7.7,5.6,12.7
"Aircraft structure, surfaces, rigging, and systems assemblers",20,,-,,-,-,-
"Electrical, electronics, and electromechanical assemblers",156,,51.9,,13.5,21.5,20.4
Engine and other machine assemblers,34,,-,,-,-,-
Structural metal fabricators and fitters,32,,-,,-,-,-
Miscellaneous assemblers and fabricators,860,,38.2,,16.3,7.5,20.3
Bakers,207,,55,,13.3,5,32.9
"Butchers and other meat, poultry, and fish processing workers",342,,26.6,,17.2,10.6,38
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,,-,,-,-,-
Food batchmakers,90,,53.3,,15.3,4.3,29.3
Food cooking machine operators and tenders,24,,-,,-,-,-
"Food processing workers, all other",115,,29.9,,14.2,2.5,39.8
Computer control programmers and operators,72,,5.5,,4.5,6,12.9
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,,-,,-,-,-
"Forging machine setters, operators, and tenders, metal and plastic",6,,-,,-,-,-
"Rolling machine setters, operators, and tenders, metal and plastic",8,,-,,-,-,-
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",100,,14.8,,10.7,3.3,18.2
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",5,,-,,-,-,-
"Grinding, lapping, polishing, and buffing machine tool setters, operators,",65,,6.7,,10,0.2,29.6
"and tenders, metal and plastic",,,,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",15,,-,,-,-,-
"Milling and planing machine setters, operators, and tenders, metal and plastic",4,,-,,-,-,-
Machinists,419,,4.4,,3.7,4.2,14.1
"Metal furnace operators, tenders, pourers, and casters",16,,-,,-,-,-
"Model makers and patternmakers, metal and plastic",7,,-,,-,-,-
"Molders and molding machine setters, operators, and tenders, metal and plastic",45,,-,,-,-,-
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,,-,,-,-,-
Tool and die makers,66,,2.3,,3.7,0.6,9.4
"Welding, soldering, and brazing workers",505,,7.8,,7.6,3.8,20.9
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,,-,,-,-,-
"Layout workers, metal and plastic",6,,-,,-,-,-
"Plating and coating machine setters, operators, and tenders, metal and plastic",15,,-,,-,-,-
"Tool grinders, filers, and sharpeners",7,,-,,-,-,-
"Metal workers and plastic workers, all other",368,,22,,10.3,7.2,24.3
Prepress technicians and workers,41,,-,,-,-,-
Printing press operators,217,,18.7,,12,2.2,16.9
Print binding and finishing workers,16,,-,,-,-,-
Laundry and dry-cleaning workers,174,,60.7,,15.2,10.4,33.8
"Pressers, textile, garment, and related materials",48,,-,,-,-,-
Sewing machine operators,169,,78.5,,9.7,12,36.9
Shoe and leather workers and repairers,11,,-,,-,-,-
Shoe machine operators and tenders,8,,-,,-,-,-
"Tailors, dressmakers, and sewers",94,,74.9,,4.2,10.7,27.5
Textile bleaching and dyeing machine operators and tenders,1,,-,,-,-,-
"Textile cutting machine setters, operators, and tenders",5,,-,,-,-,-
"Textile knitting and weaving machine setters, operators, and tenders",14,,-,,-,-,-
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",16,,-,,-,-,-
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,,-,,-,-,-
Fabric and apparel patternmakers,5,,-,,-,-,-
Upholsterers,47,,-,,-,-,-
"Textile, apparel, and furnishings workers, all other",22,,-,,-,-,-
Cabinetmakers and bench carpenters,66,,2.3,,0.3,1.5,8
Furniture finishers,17,,-,,-,-,-
"Model makers and patternmakers, wood",1,,-,,-,-,-
"Sawing machine setters, operators, and tenders, wood",32,,-,,-,-,-
"Woodworking machine setters, operators, and tenders, except sawing",20,,-,,-,-,-
"Woodworkers, all other",21,,-,,-,-,-
"Power plant operators, distributors, and dispatchers",50,,1.8,,5.9,2,6.5
Stationary engineers and boiler operators,95,,2.2,,13.5,3.4,17.4
Water and wastewater treatment plant and system operators,71,,5.2,,11.1,0.8,10.8
Miscellaneous plant and system operators,39,,-,,-,-,-
"Chemical processing machine setters, operators, and tenders",65,,16.4,,9.8,2.4,11.3
"Crushing, grinding, polishing, mixing, and blending workers",94,,13.5,,8.1,3.9,21
Cutting workers,84,,22.5,,9.8,1.2,28.5
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",34,,-,,-,-,-
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,,-,,-,-,-
"Inspectors, testers, sorters, samplers, and weighers",647,,34.9,,8.1,6,16.4
Jewelers and precious stone and metal workers,41,,-,,-,-,-
"Medical, dental, and ophthalmic laboratory technicians",87,,53.1,,7.3,9.8,13
Packaging and filling machine operators and tenders,288,,50.6,,13.3,5.6,40.9
Painting workers,120,,13.4,,10.8,3.1,23.1
Photographic process workers and processing machine operators,43,,-,,-,-,-
Semiconductor processors,3,,-,,-,-,-
Adhesive bonding machine operators and tenders,9,,-,,-,-,-
"Cleaning, washing, and metal pickling equipment operators and tenders",11,,-,,-,-,-
Cooling and freezing equipment operators and tenders,3,,-,,-,-,-
Etchers and engravers,10,,-,,-,-,-
"Molders, shapers, and casters, except metal and plastic",37,,-,,-,-,-
"Paper goods machine setters, operators, and tenders",37,,-,,-,-,-
Tire builders,20,,-,,-,-,-
Helpers--production workers,54,,25.6,,11.2,3.4,30.6
"Production workers, all other",777,,26.2,,14.7,5.3,21.5
Transportation and material moving occupations,"8,318",,14.9,,16.3,2.7,20.3
Supervisors of transportation and material moving workers,228,,22.1,,16.5,2.3,13.7
Aircraft pilots and flight engineers,121,,4.3,,2.9,2.4,3.9
Air traffic controllers and airfield operations specialists,43,,-,,-,-,-
Flight attendants,88,,77.4,,9.3,3.2,10.4
"Ambulance drivers and attendants, except emergency medical technicians",13,,-,,-,-,-
Bus drivers,573,,43.4,,24.6,1.6,12.7
Driver/sales workers and truck drivers,"3,059",,4.8,,13.7,1.6,17.6
Taxi drivers and chauffeurs,342,,12.5,,26.7,15.6,16
"Motor vehicle operators, all other",62,,5.6,,13.5,3.4,21.2
Locomotive engineers and operators,45,,-,,-,-,-
"Railroad brake, signal, and switch operators",5,,-,,-,-,-
Railroad conductors and yardmasters,52,,6.6,,27.2,2.7,4.7
"Subway, streetcar, and other rail transportation workers",11,,-,,-,-,-
Sailors and marine oilers,22,,-,,-,-,-
Ship and boat captains and operators,37,,-,,-,-,-
Ship engineers,8,,-,,-,-,-
Bridge and lock tenders,6,,-,,-,-,-
Parking lot attendants,73,,13.2,,26.6,4.1,28.7
Automotive and watercraft service attendants,76,,10.6,,7.1,2.3,17.1
Transportation inspectors,32,,-,,-,-,-
"Transportation attendants, except flight attendants",32,,-,,-,-,-
Other transportation workers,16,,-,,-,-,-
Conveyor operators and tenders,5,,-,,-,-,-
Crane and tower operators,63,,0.4,,13.7,1.9,21.8
"Dredge, excavating, and loading machine operators",51,,0.7,,0,0,17.2
Hoist and winch operators,4,,-,,-,-,-
Industrial truck and tractor operators,528,,6.7,,22.7,1.3,27.9
Cleaners of vehicles and equipment,331,,12,,14.2,1.3,33.4
"Laborers and freight, stock, and material movers, hand","1,787",,16.9,,17.4,3.1,21.8
Machine feeders and offbearers,36,,-,,-,-,-
"Packers and packagers, hand",393,,53.5,,14.1,3.6,45.8
Pumping station operators,21,,-,,-,-,-
Refuse and recyclable material collectors,92,,7.7,,17.1,0.7,30
Mine shuttle car operators,1,,-,,-,-,-
"Tank car, truck, and ship loaders",3,,-,,-,-,-
"Material moving workers, all other",62,,10.3,,16.4,0.4,24
