Occupation,Total Employed (thou) 2011,% Men 2011,% Women 2011,% White 2011,% Black 2011,% Asian 2011,% Latinx 2011
Drafters,147,79.2,20.8,,2.1,3.9,8.4
"Engineering technicians, except drafters",376,83.7,16.3,,11.3,6.7,9.4
Surveying and mapping technicians,62,87.8,12.2,,1.7,1.9,10
"Life, physical, and social science occupations",1303,52.7,47.3,,7.3,9.8,5.9
Agricultural and food scientists,39,#VALUE!,-,,-,-,-
Biological scientists,114,51.8,48.2,,7.7,13.5,6.8
Conservation scientists and foresters,28,#VALUE!,-,,-,-,-
Medical scientists,156,45.6,54.4,,5.2,25.1,7
"Life scientists, all other",0,#VALUE!,-,,-,-,-
Astronomers and physicists,20,#VALUE!,-,,-,-,-
Atmospheric and space scientists,7,#VALUE!,-,,-,-,-
Chemists and materials scientists,88,54.1,45.9,,9.5,11.5,4.6
Environmental scientists and geoscientists,98,71.1,28.9,,4.9,0.6,3
"Physical scientists, all other",152,60.2,39.8,,6.7,19.9,2.9
Economists,23,#VALUE!,-,,-,-,-
Survey researchers,3,#VALUE!,-,,-,-,-
Psychologists,197,28.8,71.2,,5.1,2.9,5.9
Sociologists,4,#VALUE!,-,,-,-,-
Urban and regional planners,26,#VALUE!,-,,-,-,-
Miscellaneous social scientists and related workers,60,44.6,55.4,,10.7,4.4,9.4
Agricultural and food science technicians,24,#VALUE!,-,,-,-,-
Biological technicians,21,#VALUE!,-,,-,-,-
Chemical technicians,77,59.7,40.3,,9.1,5.1,14.3
Geological and petroleum technicians,10,#VALUE!,-,,-,-,-
Nuclear technicians,3,#VALUE!,-,,-,-,-
Social science research assistants,3,#VALUE!,-,,-,-,-
"Miscellaneous life, physical, and social science technicians",151,58.1,41.9,,11.1,9.4,6.5
Community and social service occupations,2352,35.5,64.5,,18.1,2.8,10.7
Counselors,732,30.1,69.9,,18.7,2.8,11.2
Social workers,769,18.4,81.6,,22.8,2.4,11.2
Probation officers and correctional treatment specialists,94,43.2,56.8,,22.5,0.6,13.5
Social and human service assistants,131,17.6,82.4,,18,2.6,19
"Miscellaneous community and social service specialists, including",83,32.5,67.5,,17.6,2.9,10.9
health educators and community health workers,,100,,,,,
Clergy,414,82.3,17.7,,11.3,4.1,6.8
"Directors, religious activities and education",44,#VALUE!,-,,-,-,-
"Religious workers, all other",85,32.1,67.9,,8.5,3,8.6
Legal occupations,1770,50.2,49.8,,7.3,3.9,5.4
Lawyers,1085,68.1,31.9,,5.3,4.2,3.2
Judicial law clerks,5,#VALUE!,-,,-,-,-
"Judges, magistrates, and other judicial workers",67,55.6,44.4,,11.5,1.1,8.3
Paralegals and legal assistants,404,15.7,84.3,,11,3,8.3
Miscellaneous legal support workers,209,23.3,76.7,,9.3,4.3,10.5
"Education, training, and library occupations",8619,26.4,73.6,,9.7,3.5,8.3
Postsecondary teachers,1355,53.8,46.2,,7.3,10.1,4.8
Preschool and kindergarten teachers,707,2.3,97.7,,14.5,2.8,12.7
Elementary and middle school teachers,2848,18.3,81.7,,9.8,1.6,8
Secondary school teachers,1136,42,58,,7.4,2.1,6.9
Special education teachers,388,14.6,85.4,,8,1.8,6.8
Other teachers and instructors,812,37.4,62.6,,8,3.9,7.3
"Archivists, curators, and museum technicians",48,#VALUE!,-,,-,-,-
Librarians,198,13.8,86.2,,10.1,2.6,3.9
Library technicians,37,#VALUE!,-,,-,-,-
Teacher assistants,950,7.8,92.2,,14.3,2.6,14.9
"Other education, training, and library workers",140,28.8,71.2,,7.7,3.4,9.2
"Arts, design, entertainment, sports, and media occupations",2779,53.9,46.1,,6,3.6,9.1
Artists and related workers,180,52,48,,3.8,3.8,2.8
Designers,766,48.7,51.3,,3.6,3.2,10.5
Actors,28,#VALUE!,-,,-,-,-
Producers and directors,149,59.3,40.7,,8.2,3.2,7.3
"Athletes, coaches, umpires, and related workers",272,65.5,34.5,,5.4,2.6,9.7
Dancers and choreographers,20,#VALUE!,-,,-,-,-
"Musicians, singers, and related workers",191,70.2,29.8,,15.1,1.2,6.6
"Entertainers and performers, sports and related workers, all other",44,#VALUE!,-,,-,-,-
Announcers,53,73.1,26.9,,8.5,1.1,24.8
"News analysts, reporters and correspondents",70,65.9,34.1,,9.3,5,11.4
Public relations specialists,158,38.4,61.6,,6.3,2.7,9.8
Editors,166,45.8,54.2,,4.6,3.8,3.4
Technical writers,60,39.8,60.2,,4.2,4.6,4.1
Writers and authors,218,43,57,,4.5,3.1,3.7
Miscellaneous media and communication workers,89,35.1,64.9,,7.9,12.5,30.6
Broadcast and sound engineering technicians and radio operators,106,90.1,9.9,,9.1,6,10.2
Photographers,148,48.7,51.3,,3.5,2.8,9.6
"Television, video, and motion picture camera operators and editors",57,80.1,19.9,,8.6,5.7,4.5
"Media and communication equipment workers, all other",3,#VALUE!,-,,-,-,-
Healthcare practitioners and technical occupations,7740,25.6,74.4,,10,7.8,6.7
Chiropractors,56,75.5,24.5,,1.1,7.9,1.3
Dentists,181,77.8,22.2,,1,11,5.8
