Occupation,Total Employed (thou) 2014,% Men 2014,% Women 2014,% White 2014,% Black 2014,% Asian 2014,% Latinx 2014,,,,,,,,,,,,,,,,,,,,,,
Bartenders,416,,57.5,,6,1.9,15.5,,,,,,,,,,,,,,,,,,,,,,
"Combined food preparation and serving workers, including fast food",428,,61.9,,20.5,3.3,18.7,,,,,,,,,,,,,,,,,,,,,,
"Counter attendants, cafeteria, food concession, and coffee shop",254,,70.4,,13.9,4.3,21.6,,,,,,,,,,,,,,,,,,,,,,
Waiters and waitresses,"2,054",,71.8,,7.5,6.6,19.4,,,,,,,,,,,,,,,,,,,,,,
"Food servers, nonrestaurant",185,,61.9,,23.5,6.1,20.8,,,,,,,,,,,,,,,,,,,,,,
Dining room and cafeteria attendants and bartender helpers,375,,49.2,,7.6,5.5,34.1,,,,,,,,,,,,,,,,,,,,,,
Dishwashers,246,,21.2,,12.3,5.7,40.2,,,,,,,,,,,,,,,,,,,,,,
"Hosts and hostesses, restaurant, lounge, and coffee shop",297,,85.2,,10.9,6.5,18.2,,,,,,,,,,,,,,,,,,,,,,
"Food preparation and serving related workers, all other",6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Building and grounds cleaning and maintenance occupations,"5,803",,40.2,,14.6,3.4,36.7,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of housekeeping and janitorial workers,282,,42.3,,14.7,2.8,24.1,,,,,,,,,,,,,,,,,,,,,,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",210,,4.8,,8.3,1.4,22.7,,,,,,,,,,,,,,,,,,,,,,
Janitors and building cleaners,"2,328",,33.2,,17.5,3.4,31.5,,,,,,,,,,,,,,,,,,,,,,
Maids and housekeeping cleaners,"1,514",,88.6,,16.8,5.5,43.8,,,,,,,,,,,,,,,,,,,,,,
Pest control workers,80,,3.7,,10.9,0.5,17,,,,,,,,,,,,,,,,,,,,,,
Grounds maintenance workers,"1,389",,6.3,,8.3,1.7,43.6,,,,,,,,,,,,,,,,,,,,,,
Personal care and service occupations,"5,337",,77.4,,15,8.4,16.6,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of gaming workers,151,,45.2,,4.4,6.4,7.3,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of personal service workers,202,,71.3,,11.5,18.2,13.7,,,,,,,,,,,,,,,,,,,,,,
Animal trainers,41,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Nonfarm animal caretakers,201,,69.9,,2.8,0.9,12.2,,,,,,,,,,,,,,,,,,,,,,
Gaming services workers,99,,41.8,,8,19.4,12.5,,,,,,,,,,,,,,,,,,,,,,
Motion picture projectionists,4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Ushers, lobby attendants, and ticket takers",54,,48.9,,24.3,3.6,13.1,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous entertainment attendants and related workers,189,,41.5,,13.3,3.3,17.3,,,,,,,,,,,,,,,,,,,,,,
Embalmers and funeral attendants,13,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Morticians, undertakers, and funeral directors",29,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Barbers,110,,16.8,,36.3,5.4,23.7,,,,,,,,,,,,,,,,,,,,,,
"Hairdressers, hairstylists, and cosmetologists",760,,94.6,,12.4,4.8,15.3,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous personal appearance workers,296,,88.9,,5.9,55.3,10.3,,,,,,,,,,,,,,,,,,,,,,
"Baggage porters, bellhops, and concierges",85,,20.2,,17.2,6,24.8,,,,,,,,,,,,,,,,,,,,,,
Tour and travel guides,54,,46.9,,5.9,5.8,11.3,,,,,,,,,,,,,,,,,,,,,,
Childcare workers,"1,218",,95.5,,15.9,3.5,21.6,,,,,,,,,,,,,,,,,,,,,,
Personal care aides,"1,254",,83.9,,23,7.9,18.2,,,,,,,,,,,,,,,,,,,,,,
Recreation and fitness workers,404,,63,,9.2,2.9,11.6,,,,,,,,,,,,,,,,,,,,,,
Residential advisors,43,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Personal care and service workers, all other",131,,42.6,,8.2,3.1,15.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales and office occupations,"33,416",,61.8,,12,4.8,14.9,,,,,,,,,,,,,,,,,,,,,,
Sales and related occupations,"15,646",,49.2,,10.7,5.3,14.7,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of retail sales workers,"3,285",,44.3,,8.8,6.1,12.1,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of non-retail sales workers,"1,200",,26,,5.6,4.8,11.2,,,,,,,,,,,,,,,,,,,,,,
Cashiers,"3,242",,72.2,,18.3,6.9,22,,,,,,,,,,,,,,,,,,,,,,
Counter and rental clerks,113,,49.8,,11.8,4.5,22.5,,,,,,,,,,,,,,,,,,,,,,
Parts salespersons,93,,15.3,,4.8,0.5,12.2,,,,,,,,,,,,,,,,,,,,,,
Retail salespersons,"3,316",,49.8,,12.3,4.6,16.2,,,,,,,,,,,,,,,,,,,,,,
Advertising sales agents,227,,48.7,,7.9,4.5,12.7,,,,,,,,,,,,,,,,,,,,,,
Insurance sales agents,562,,47,,8.3,4.9,13.2,,,,,,,,,,,,,,,,,,,,,,
"Securities, commodities, and financial services sales agents",256,,32.5,,4.9,4.6,9.5,,,,,,,,,,,,,,,,,,,,,,
Travel agents,82,,81.4,,7.9,13.2,9.9,,,,,,,,,,,,,,,,,,,,,,
"Sales representatives, services, all other",480,,29.5,,6.6,4.3,11,,,,,,,,,,,,,,,,,,,,,,
"Sales representatives, wholesale and manufacturing","1,309",,29.3,,5.3,3.8,9.3,,,,,,,,,,,,,,,,,,,,,,
"Models, demonstrators, and product promoters",66,,68.4,,5.5,4,15.9,,,,,,,,,,,,,,,,,,,,,,
Real estate brokers and sales agents,868,,54.9,,5.4,4.2,10.5,,,,,,,,,,,,,,,,,,,,,,
Sales engineers,43,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Telemarketers,75,,67.4,,19.6,3.6,18.5,,,,,,,,,,,,,,,,,,,,,,
"Door-to-door sales workers, news and street vendors, and related workers",175,,64,,10.6,3.5,21.7,,,,,,,,,,,,,,,,,,,,,,
"Sales and related workers, all other",253,,52,,10.6,6.2,5.7,,,,,,,,,,,,,,,,,,,,,,
Office and administrative support occupations,"17,771",,72.9,,13.1,4.4,15.1,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of office and administrative support workers,"1,351",,67.4,,11.1,3.6,12.2,,,,,,,,,,,,,,,,,,,,,,
"Switchboard operators, including answering service",19,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Telephone operators,33,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Communications equipment operators, all other",9,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Bill and account collectors,165,,66.6,,20.3,1.5,13.9,,,,,,,,,,,,,,,,,,,,,,
Billing and posting clerks,507,,91.2,,13.3,5.2,12.2,,,,,,,,,,,,,,,,,,,,,,
"Bookkeeping, accounting, and auditing clerks","1,231",,90.2,,8,4.8,10.9,,,,,,,,,,,,,,,,,,,,,,
Gaming cage workers,14,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Payroll and timekeeping clerks,146,,89.4,,15.1,3.9,12.1,,,,,,,,,,,,,,,,,,,,,,
Procurement clerks,31,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Tellers,361,,81.6,,10.5,7.1,16.8,,,,,,,,,,,,,,,,,,,,,,
"Financial clerks, all other",65,,66.6,,11.8,6.4,7.8,,,,,,,,,,,,,,,,,,,,,,
Brokerage clerks,5,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Correspondence clerks,6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Court, municipal, and license clerks",69,,77.4,,12.7,0.8,14.1,,,,,,,,,,,,,,,,,,,,,,
"Credit authorizers, checkers, and clerks",44,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Customer service representatives,"2,086",,64.6,,17,4.5,16.5,,,,,,,,,,,,,,,,,,,,,,
"Eligibility interviewers, government programs",70,,82.1,,26.3,3.2,20.6,,,,,,,,,,,,,,,,,,,,,,
File clerks,226,,81.6,,15.6,3.8,18.3,,,,,,,,,,,,,,,,,,,,,,
"Hotel, motel, and resort desk clerks",120,,63.5,,12.4,9.3,25.1,,,,,,,,,,,,,,,,,,,,,,
"Interviewers, except eligibility and loan",160,,80.5,,23.9,4.8,11.3,,,,,,,,,,,,,,,,,,,,,,
"Library assistants, clerical",98,,84,,7.3,3.2,10.2,,,,,,,,,,,,,,,,,,,,,,
Loan interviewers and clerks,143,,78.1,,11.4,3.9,9.6,,,,,,,,,,,,,,,,,,,,,,
New accounts clerks,27,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Order clerks,104,,59.9,,9.5,5.8,19.1,,,,,,,,,,,,,,,,,,,,,,
"Human resources assistants, except payroll and timekeeping",101,,87.6,,17.1,1.9,15.1,,,,,,,,,,,,,,,,,,,,,,
Receptionists and information clerks,"1,301",,91.3,,10.5,4.1,18.7,,,,,,,,,,,,,,,,,,,,,,
Reservation and transportation ticket agents and travel clerks,94,,57.4,,16,9.9,18.5,,,,,,,,,,,,,,,,,,,,,,
"Information and record clerks, all other",95,,81.6,,9.7,6.5,15,,,,,,,,,,,,,,,,,,,,,,
Cargo and freight agents,23,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Couriers and messengers,233,,16,,14.4,3.2,20.4,,,,,,,,,,,,,,,,,,,,,,
Dispatchers,267,,60.9,,14,1.8,14.9,,,,,,,,,,,,,,,,,,,,,,
"Meter readers, utilities",23,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Postal service clerks,117,,52.3,,30.8,8.7,7.9,,,,,,,,,,,,,,,,,,,,,,
Postal service mail carriers,311,,38.7,,19.2,5.3,12.9,,,,,,,,,,,,,,,,,,,,,,
"Postal service mail sorters, processors, and processing machine operators",61,,59.1,,27.5,5.7,9.5,,,,,,,,,,,,,,,,,,,,,,
"Production, planning, and expediting clerks",244,,54.3,,11.4,4.5,13.5,,,,,,,,,,,,,,,,,,,,,,
"Shipping, receiving, and traffic clerks",606,,32.3,,13.3,3.2,23.2,,,,,,,,,,,,,,,,,,,,,,
Stock clerks and order fillers,"1,483",,35.9,,16,4.2,22.3,,,,,,,,,,,,,,,,,,,,,,
"Weighers, measurers, checkers, and samplers, recordkeeping",75,,41.8,,14.7,1.5,22.2,,,,,,,,,,,,,,,,,,,,,,
Secretaries and administrative assistants,"2,995",,94.2,,9.8,3.3,12.7,,,,,,,,,,,,,,,,,,,,,,
Computer operators,87,,55,,12.5,4.3,8.5,,,,,,,,,,,,,,,,,,,,,,
Data entry keyers,292,,78.7,,16.1,8.4,12.9,,,,,,,,,,,,,,,,,,,,,,
Word processors and typists,101,,88.4,,18.4,5.3,10.7,,,,,,,,,,,,,,,,,,,,,,
Desktop publishers,2,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Insurance claims and policy processing clerks,288,,82.8,,15.2,2.9,10.1,,,,,,,,,,,,,,,,,,,,,,
"Mail clerks and mail machine operators, except postal service",79,,53,,20,10.3,13.8,,,,,,,,,,,,,,,,,,,,,,
"Office clerks, general","1,230",,84.6,,13.3,6.1,15.5,,,,,,,,,,,,,,,,,,,,,,
"Office machine operators, except computer",39,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Proofreaders and copy markers,10,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Statistical assistants,23,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Office and administrative support workers, all other",497,,73.8,,12.9,3.9,12.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural resources, construction, and maintenance occupations","13,537",,4.4,,7.3,2.1,27.6,,,,,,,,,,,,,,,,,,,,,,
"Farming, fishing, and forestry occupations","1,022",,22.4,,6,1.6,43.4,,,,,,,,,,,,,,,,,,,,,,
"First-line supervisors of farming, fishing, and forestry workers",44,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Agricultural inspectors,17,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Animal breeders,6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Graders and sorters, agricultural products",93,,59.9,,13.4,2.1,54,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous agricultural workers,739,,20.2,,5.1,1.5,49.2,,,,,,,,,,,,,,,,,,,,,,
Fishers and related fishing workers,32,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Hunters and trappers,2,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Forest and conservation workers,18,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Logging workers,71,,5.4,,8.4,1.5,11.8,,,,,,,,,,,,,,,,,,,,,,
Construction and extraction occupations,"7,637",,2.6,,6.9,1.3,32.3,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of construction trades and extraction workers,696,,2.4,,5.7,1.1,18.9,,,,,,,,,,,,,,,,,,,,,,
Boilermakers,17,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Brickmasons, blockmasons, and stonemasons",142,,0.7,,8.1,0.3,43.9,,,,,,,,,,,,,,,,,,,,,,
Carpenters,"1,282",,1.7,,5,1.4,31.9,,,,,,,,,,,,,,,,,,,,,,
"Carpet, floor, and tile installers and finishers",170,,2.3,,4.8,3.6,44.2,,,,,,,,,,,,,,,,,,,,,,
"Cement masons, concrete finishers, and terrazzo workers",58,,0,,9.5,0,48.7,,,,,,,,,,,,,,,,,,,,,,
Construction laborers,"1,686",,2.5,,9.4,1.8,42.1,,,,,,,,,,,,,,,,,,,,,,
"Paving, surfacing, and tamping equipment operators",19,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Pile-driver operators,1,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Operating engineers and other construction equipment operators,336,,1.8,,6.8,0.1,16.9,,,,,,,,,,,,,,,,,,,,,,
"Drywall installers, ceiling tile installers, and tapers",162,,2.1,,1.8,0.3,61.5,,,,,,,,,,,,,,,,,,,,,,
Electricians,769,,2.4,,6.5,1.8,18.2,,,,,,,,,,,,,,,,,,,,,,
Glaziers,35,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Insulation workers,44,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Painters, construction and maintenance",561,,6,,7.3,1.4,48.2,,,,,,,,,,,,,,,,,,,,,,
Paperhangers,4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Pipelayers, plumbers, pipefitters, and steamfitters",564,,1.6,,6.9,1.6,21.4,,,,,,,,,,,,,,,,,,,,,,
Plasterers and stucco masons,31,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Reinforcing iron and rebar workers,9,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Roofers,206,,0.5,,4.3,0.5,58.1,,,,,,,,,,,,,,,,,,,,,,
Sheet metal workers,110,,5.2,,5.2,0.8,10.2,,,,,,,,,,,,,,,,,,,,,,
Structural iron and steel workers,52,,2,,10.8,0,23.4,,,,,,,,,,,,,,,,,,,,,,
Solar photovoltaic installers,14,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Helpers, construction trades",57,,4.7,,12.1,0,45.6,,,,,,,,,,,,,,,,,,,,,,
Construction and building inspectors,78,,12.2,,3.3,2.3,5.3,,,,,,,,,,,,,,,,,,,,,,
Elevator installers and repairers,22,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Fence erectors,33,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Hazardous materials removal workers,23,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Highway maintenance workers,123,,1.5,,9.3,0,17.1,,,,,,,,,,,,,,,,,,,,,,
Rail-track laying and maintenance equipment operators,17,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Septic tank servicers and sewer pipe cleaners,14,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous construction and related workers,33,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",54,,0,,3.9,0,32.1,,,,,,,,,,,,,,,,,,,,,,
"Earth drillers, except oil and gas",29,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Explosives workers, ordnance handling experts, and blasters",5,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Mining machine operators,68,,1.5,,2.3,0,22.4,,,,,,,,,,,,,,,,,,,,,,
"Roof bolters, mining",3,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Roustabouts, oil and gas",11,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Helpers--extraction workers,7,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Other extraction workers,92,,1.5,,5.7,0,29.1,,,,,,,,,,,,,,,,,,,,,,
"Installation, maintenance, and repair occupations","4,879",,3.5,,8.4,3.3,16.8,,,,,,,,,,,,,,,,,,,,,,
"First-line supervisors of mechanics, installers, and repairers",284,,4.8,,8.4,3.3,11.2,,,,,,,,,,,,,,,,,,,,,,
"Computer, automated teller, and office machine repairers",265,,13.3,,12.2,7.9,12.3,,,,,,,,,,,,,,,,,,,,,,
Radio and telecommunications equipment installers and repairers,134,,7.4,,12.5,6.3,8.7,,,,,,,,,,,,,,,,,,,,,,
Avionics technicians,8,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Electric motor, power tool, and related repairers",35,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Electrical and electronics installers and repairers, transportation equipment",5,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Electrical and electronics repairers, industrial and utility",15,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Electronic equipment installers and repairers, motor vehicles",17,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Electronic home entertainment equipment installers and repairers,34,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Security and fire alarm systems installers,58,,7.5,,9,1.7,26.2,,,,,,,,,,,,,,,,,,,,,,
Aircraft mechanics and service technicians,127,,3.3,,9,6.9,12.5,,,,,,,,,,,,,,,,,,,,,,
Automotive body and related repairers,133,,1.6,,5.9,1.7,18.3,,,,,,,,,,,,,,,,,,,,,,
Automotive glass installers and repairers,21,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Automotive service technicians and mechanics,883,,1.4,,9,4.5,24.1,,,,,,,,,,,,,,,,,,,,,,
Bus and truck mechanics and diesel engine specialists,323,,0.3,,7.8,0.6,15.6,,,,,,,,,,,,,,,,,,,,,,
Heavy vehicle and mobile equipment service technicians and mechanics,211,,0.5,,3.8,0.6,15.5,,,,,,,,,,,,,,,,,,,,,,
Small engine mechanics,50,,2.1,,5.3,3.2,9.5,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",93,,0.3,,10.1,2.4,28,,,,,,,,,,,,,,,,,,,,,,
Control and valve installers and repairers,19,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Heating, air conditioning, and refrigeration mechanics and installers",378,,1.2,,8.5,2.4,16.4,,,,,,,,,,,,,,,,,,,,,,
Home appliance repairers,51,,5.6,,13.4,1.9,19.2,,,,,,,,,,,,,,,,,,,,,,
Industrial and refractory machinery mechanics,454,,2.8,,6.3,1.7,13.3,,,,,,,,,,,,,,,,,,,,,,
"Maintenance and repair workers, general",471,,3.2,,9.9,3.6,17.2,,,,,,,,,,,,,,,,,,,,,,
"Maintenance workers, machinery",37,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Millwrights,48,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Electrical power-line installers and repairers,115,,3,,5.2,0.9,7.8,,,,,,,,,,,,,,,,,,,,,,
Telecommunications line installers and repairers,184,,4.4,,12.1,4.7,17.3,,,,,,,,,,,,,,,,,,,,,,
Precision instrument and equipment repairers,85,,14.2,,7.2,4.7,11.6,,,,,,,,,,,,,,,,,,,,,,
Wind turbine service technicians,4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Coin, vending, and amusement machine servicers and repairers",43,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Commercial divers,3,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Locksmiths and safe repairers,30,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Manufactured building and mobile home installers,4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Riggers,13,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Signal and track switch repairers,7,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Helpers--installation, maintenance, and repair workers",14,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Other installation, maintenance, and repair workers",224,,5.2,,5.1,2.7,23.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Production, transportation, and material moving occupations","17,448",,21.7,,15,4.7,22,,,,,,,,,,,,,,,,,,,,,,
Production occupations,"8,438",,28,,12.5,6.2,21.9,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of production and operating workers,789,,18.6,,11,3.4,17,,,,,,,,,,,,,,,,,,,,,,
"Aircraft structure, surfaces, rigging, and systems assemblers",15,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Electrical, electronics, and electromechanical assemblers",164,,46.7,,15.3,16.8,22.9,,,,,,,,,,,,,,,,,,,,,,
Engine and other machine assemblers,10,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Structural metal fabricators and fitters,24,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous assemblers and fabricators,"1,002",,37.5,,17,8.7,21,,,,,,,,,,,,,,,,,,,,,,
Bakers,224,,62.8,,10.1,7.5,22.9,,,,,,,,,,,,,,,,,,,,,,
"Butchers and other meat, poultry, and fish processing workers",331,,23.5,,20.2,8,35.4,,,,,,,,,,,,,,,,,,,,,,
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Food batchmakers,95,,61.5,,13.1,6.1,25.3,,,,,,,,,,,,,,,,,,,,,,
Food cooking machine operators and tenders,16,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Food processing workers, all other",128,,32,,18.1,7.6,31.7,,,,,,,,,,,,,,,,,,,,,,
Computer control programmers and operators,71,,8.1,,2.3,2.2,14.7,,,,,,,,,,,,,,,,,,,,,,
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",14,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Forging machine setters, operators, and tenders, metal and plastic",5,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Rolling machine setters, operators, and tenders, metal and plastic",10,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",85,,24.2,,14,0.9,15.9,,,,,,,,,,,,,,,,,,,,,,
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",2,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Grinding, lapping, polishing, and buffing machine tool setters, operators,",45,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"and tenders, metal and plastic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",9,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Machinists,391,,4.5,,3.9,4.1,15.4,,,,,,,,,,,,,,,,,,,,,,
"Metal furnace operators, tenders, pourers, and casters",27,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Model makers and patternmakers, metal and plastic",5,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Molders and molding machine setters, operators, and tenders, metal and plastic",38,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Tool and die makers,67,,1.3,,0.7,0,3.8,,,,,,,,,,,,,,,,,,,,,,
"Welding, soldering, and brazing workers",615,,4.8,,8.8,2,22.4,,,,,,,,,,,,,,,,,,,,,,
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Layout workers, metal and plastic",9,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Plating and coating machine setters, operators, and tenders, metal and plastic",29,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Tool grinders, filers, and sharpeners",10,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Metal workers and plastic workers, all other",342,,20.4,,13.5,5.9,23,,,,,,,,,,,,,,,,,,,,,,
Prepress technicians and workers,25,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Printing press operators,187,,19.6,,13.2,5.7,21.7,,,,,,,,,,,,,,,,,,,,,,
Print binding and finishing workers,21,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Laundry and dry-cleaning workers,156,,59.7,,16.1,11.5,38,,,,,,,,,,,,,,,,,,,,,,
"Pressers, textile, garment, and related materials",48,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Sewing machine operators,158,,81.9,,15,21.1,34.6,,,,,,,,,,,,,,,,,,,,,,
Shoe and leather workers and repairers,4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Shoe machine operators and tenders,3,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Tailors, dressmakers, and sewers",92,,80.6,,9.5,16.7,30.4,,,,,,,,,,,,,,,,,,,,,,
Textile bleaching and dyeing machine operators and tenders,3,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Textile cutting machine setters, operators, and tenders",6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Textile knitting and weaving machine setters, operators, and tenders",12,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",12,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Fabric and apparel patternmakers,1,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Upholsterers,40,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Textile, apparel, and furnishings workers, all other",14,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Cabinetmakers and bench carpenters,51,,9.9,,5.6,2.4,27.8,,,,,,,,,,,,,,,,,,,,,,
Furniture finishers,7,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Model makers and patternmakers, wood",1,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Sawing machine setters, operators, and tenders, wood",32,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Woodworking machine setters, operators, and tenders, except sawing",19,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Woodworkers, all other",28,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Power plant operators, distributors, and dispatchers",45,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
