Occupation,Total Employed (thou) 2014,% Men 2014,% Women 2014,% White 2014,% Black 2014,% Asian 2014,% Latinx 2014,,,,,,,,,,,,,,,,,,,,,,
Personal financial advisors,434,64.5,35.5,,8.1,5.7,7.1,,,,,,,,,,,,,,,,,,,,,,
Insurance underwriters,113,39.5,60.5,,12.3,2.4,7.6,,,,,,,,,,,,,,,,,,,,,,
Financial examiners,16,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Credit counselors and loan officers,288,40.6,59.4,,10.3,6.3,11,,,,,,,,,,,,,,,,,,,,,,
"Tax examiners and collectors, and revenue agents",70,39.8,60.2,,18.3,7.3,6.4,,,,,,,,,,,,,,,,,,,,,,
Tax preparers,103,32.2,67.8,,16.5,5.7,13.1,,,,,,,,,,,,,,,,,,,,,,
"Financial specialists, all other",93,39.9,60.1,,11.1,8.1,11.2,,,,,,,,,,,,,,,,,,,,,,
Professional and related occupations,"32,879",42.8,57.2,,9.7,8.6,8.6,,,,,,,,,,,,,,,,,,,,,,
Computer and mathematical occupations,"4,303",74.4,25.6,,8.3,19.2,6.6,,,,,,,,,,,,,,,,,,,,,,
Computer and information research scientists,29,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Computer systems analysts,511,65.8,34.2,,9.7,20.9,4.8,,,,,,,,,,,,,,,,,,,,,,
Information security analysts,68,81.9,18.1,,9.7,5.7,6.1,,,,,,,,,,,,,,,,,,,,,,
Computer programmers,509,78.6,21.4,,5.7,19.7,6.4,,,,,,,,,,,,,,,,,,,,,,
"Software developers, applications and systems software","1,235",80.2,19.8,,5.3,31.9,5.2,,,,,,,,,,,,,,,,,,,,,,
Web developers,220,64.8,35.2,,6.3,5.7,8.6,,,,,,,,,,,,,,,,,,,,,,
Computer support specialists,524,73.4,26.6,,14.3,8.1,9.4,,,,,,,,,,,,,,,,,,,,,,
Database administrators,108,72,28,,11.7,13.3,4.6,,,,,,,,,,,,,,,,,,,,,,
Network and computer systems administrators,205,80.9,19.1,,9.5,8.4,7.9,,,,,,,,,,,,,,,,,,,,,,
Computer network architects,123,87.6,12.4,,7.4,17.3,6.3,,,,,,,,,,,,,,,,,,,,,,
"Computer occupations, all other",512,76.9,23.1,,9.7,12.5,8.5,,,,,,,,,,,,,,,,,,,,,,
Actuaries,28,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Mathematicians,3,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Operations research analysts,138,44.6,55.4,,11,11.9,10.5,,,,,,,,,,,,,,,,,,,,,,
Statisticians,85,50.1,49.9,,5.8,24.5,4.1,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous mathematical science occupations,5,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Architecture and engineering occupations,"2,798",84.6,15.4,,5.2,11.7,8.2,,,,,,,,,,,,,,,,,,,,,,
"Architects, except naval",178,74.7,25.3,,4.1,10,7.2,,,,,,,,,,,,,,,,,,,,,,
"Surveyors, cartographers, and photogrammetrists",41,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Aerospace engineers,147,84.4,15.6,,6.2,10.7,11.4,,,,,,,,,,,,,,,,,,,,,,
Agricultural engineers,4,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Biomedical engineers,14,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Chemical engineers,79,87,13,,3,12.6,3.6,,,,,,,,,,,,,,,,,,,,,,
Civil engineers,349,83.5,16.5,,6.1,9.7,8.8,,,,,,,,,,,,,,,,,,,,,,
Computer hardware engineers,84,84.7,15.3,,7.4,22.8,9.5,,,,,,,,,,,,,,,,,,,,,,
Electrical and electronics engineers,271,87.7,12.3,,3.9,21.4,5.3,,,,,,,,,,,,,,,,,,,,,,
Environmental engineers,42,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Industrial engineers, including health and safety",194,84,16,,5.5,9.7,8.6,,,,,,,,,,,,,,,,,,,,,,
Marine engineers and naval architects,9,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Materials engineers,35,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Mechanical engineers,303,91.2,8.8,,3.3,9.9,5.6,,,,,,,,,,,,,,,,,,,,,,
"Mining and geological engineers, including mining safety engineers",15,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Nuclear engineers,5,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Petroleum engineers,37,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Engineers, all other",406,88.3,11.7,,4.4,18.2,8,,,,,,,,,,,,,,,,,,,,,,
Drafters,138,81.9,18.1,,5.3,4.3,6.5,,,,,,,,,,,,,,,,,,,,,,
"Engineering technicians, except drafters",369,79.5,20.5,,8.2,8.7,13.2,,,,,,,,,,,,,,,,,,,,,,
Surveying and mapping technicians,77,90.3,9.7,,6.8,0.8,9.4,,,,,,,,,,,,,,,,,,,,,,
"Life, physical, and social science occupations","1,355",54.4,45.6,,6.4,12.3,7.5,,,,,,,,,,,,,,,,,,,,,,
Agricultural and food scientists,31,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Biological scientists,110,54.1,45.9,,5.3,10.5,6,,,,,,,,,,,,,,,,,,,,,,
Conservation scientists and foresters,27,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Medical scientists,143,47.5,52.5,,5.1,33.8,7.9,,,,,,,,,,,,,,,,,,,,,,
"Life scientists, all other",0,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Astronomers and physicists,12,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Atmospheric and space scientists,7,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Chemists and materials scientists,102,70.2,29.8,,8.1,12.7,6,,,,,,,,,,,,,,,,,,,,,,
Environmental scientists and geoscientists,91,75.5,24.5,,1.3,3.9,6.6,,,,,,,,,,,,,,,,,,,,,,
"Physical scientists, all other",183,62.4,37.6,,3,25.4,5.7,,,,,,,,,,,,,,,,,,,,,,
Economists,33,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Survey researchers,4,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Psychologists,232,28.1,71.9,,5.7,1.3,8,,,,,,,,,,,,,,,,,,,,,,
Sociologists,3,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Urban and regional planners,24,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous social scientists and related workers,42,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Agricultural and food science technicians,39,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Biological technicians,25,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Chemical technicians,71,67.7,32.3,,16.4,4.6,8.9,,,,,,,,,,,,,,,,,,,,,,
Geological and petroleum technicians,20,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Nuclear technicians,6,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Social science research assistants,2,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous life, physical, and social science technicians",149,48.6,51.4,,7.4,11.6,7.7,,,,,,,,,,,,,,,,,,,,,,
Community and social service occupations,"2,495",35.7,64.3,,17.5,3.4,11.6,,,,,,,,,,,,,,,,,,,,,,
Counselors,737,28.9,71.1,,18.7,2.8,10.6,,,,,,,,,,,,,,,,,,,,,,
Social workers,799,18.1,81.9,,21.3,2.4,13.2,,,,,,,,,,,,,,,,,,,,,,
Probation officers and correctional treatment specialists,100,47.5,52.5,,21,3.2,16.4,,,,,,,,,,,,,,,,,,,,,,
Social and human service assistants,180,22.1,77.9,,25.5,2.2,16.5,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous community and social service specialists, including",114,30.7,69.3,,14.6,1.7,17.4,,,,,,,,,,,,,,,,,,,,,,
health educators and community health workers,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clergy,433,81.4,18.6,,8.3,6.9,7.5,,,,,,,,,,,,,,,,,,,,,,
"Directors, religious activities and education",64,47,53,,4.1,1.1,7.1,,,,,,,,,,,,,,,,,,,,,,
"Religious workers, all other",68,41.2,58.8,,7.3,6.3,6.1,,,,,,,,,,,,,,,,,,,,,,
Legal occupations,"1,814",49.2,50.8,,7.5,4.5,7.9,,,,,,,,,,,,,,,,,,,,,,
Lawyers,"1,132",67.1,32.9,,5.7,4.4,5.6,,,,,,,,,,,,,,,,,,,,,,
Judicial law clerks,12,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Judges, magistrates, and other judicial workers",53,48.3,51.7,,10.9,3.2,4.8,,,,,,,,,,,,,,,,,,,,,,
Paralegals and legal assistants,417,12.7,87.3,,9.5,4.3,14.2,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous legal support workers,200,24.2,75.8,,12.8,5.1,8.9,,,,,,,,,,,,,,,,,,,,,,
"Education, training, and library occupations","8,686",25.9,74.1,,10.3,4.4,9.5,,,,,,,,,,,,,,,,,,,,,,
Postsecondary teachers,"1,259",49.8,50.2,,6.1,12.2,6.1,,,,,,,,,,,,,,,,,,,,,,
Preschool and kindergarten teachers,664,2.8,97.2,,15.8,3.4,13.9,,,,,,,,,,,,,,,,,,,,,,
Elementary and middle school teachers,"3,102",19.1,80.9,,10.2,2.5,8.7,,,,,,,,,,,,,,,,,,,,,,
Secondary school teachers,"1,099",43,57,,10,2.2,7.6,,,,,,,,,,,,,,,,,,,,,,
Special education teachers,336,16.3,83.7,,8.9,1.5,6.8,,,,,,,,,,,,,,,,,,,,,,
Other teachers and instructors,836,34.6,65.4,,11.5,6,11.1,,,,,,,,,,,,,,,,,,,,,,
"Archivists, curators, and museum technicians",47,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Librarians,198,15.2,84.8,,3.6,4,5.7,,,,,,,,,,,,,,,,,,,,,,
Library technicians,36,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Teacher assistants,904,9.7,90.3,,14.4,3,17.1,,,,,,,,,,,,,,,,,,,,,,
"Other education, training, and library workers",206,26,74,,10.9,2.9,8.7,,,,,,,,,,,,,,,,,,,,,,
"Arts, design, entertainment, sports, and media occupations","2,935",52.6,47.4,,6.3,5,9.8,,,,,,,,,,,,,,,,,,,,,,
Artists and related workers,203,51.2,48.8,,2.1,5.7,9.1,,,,,,,,,,,,,,,,,,,,,,
Designers,830,43.7,56.3,,4.1,7.1,11.1,,,,,,,,,,,,,,,,,,,,,,
Actors,43,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Producers and directors,161,63.5,36.5,,4.6,4,11.7,,,,,,,,,,,,,,,,,,,,,,
"Athletes, coaches, umpires, and related workers",294,65.7,34.3,,6.5,2.5,8.8,,,,,,,,,,,,,,,,,,,,,,
Dancers and choreographers,18,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Musicians, singers, and related workers",194,66,34,,12.6,3,6.1,,,,,,,,,,,,,,,,,,,,,,
"Entertainers and performers, sports and related workers, all other",38,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Announcers,60,74.3,25.7,,17.1,5.1,10.5,,,,,,,,,,,,,,,,,,,,,,
"News analysts, reporters and correspondents",80,56.1,43.9,,7.5,6.3,13.8,,,,,,,,,,,,,,,,,,,,,,
Public relations specialists,136,39.5,60.5,,9,4,9.2,,,,,,,,,,,,,,,,,,,,,,
Editors,163,51.8,48.2,,2.8,5.5,7.1,,,,,,,,,,,,,,,,,,,,,,
Technical writers,61,51.1,48.9,,5.7,3.6,2.6,,,,,,,,,,,,,,,,,,,,,,
Writers and authors,221,40.9,59.1,,6.2,3.2,5.6,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous media and communication workers,78,26.4,73.6,,4.8,11.6,33.3,,,,,,,,,,,,,,,,,,,,,,
Broadcast and sound engineering technicians and radio operators,108,87,13,,15.2,4.8,10.5,,,,,,,,,,,,,,,,,,,,,,
Photographers,174,49,51,,4.3,3.7,10.1,,,,,,,,,,,,,,,,,,,,,,
"Television, video, and motion picture camera operators and editors",72,81.9,18.1,,4.4,0,5.7,,,,,,,,,,,,,,,,,,,,,,
"Media and communication equipment workers, all other",0,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Healthcare practitioners and technical occupations,"8,493",25.8,74.2,,11.2,9.4,7.7,,,,,,,,,,,,,,,,,,,,,,
Chiropractors,66,77.6,22.4,,0,7,2.9,,,,,,,,,,,,,,,,,,,,,,
Dentists,192,70.9,29.1,,5.6,15.5,6.8,,,,,,,,,,,,,,,,,,,,,,
Dietitians and nutritionists,123,7.6,92.4,,10.6,10.2,5.1,,,,,,,,,,,,,,,,,,,,,,
Optometrists,48,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Pharmacists,293,43.7,56.3,,8.1,18.9,5.6,,,,,,,,,,,,,,,,,,,,,,
Physicians and surgeons,"1,014",63.3,36.7,,5.5,21,6.3,,,,,,,,,,,,,,,,,,,,,,
Physician assistants,84,25.5,74.5,,6.4,11.3,5.9,,,,,,,,,,,,,,,,,,,,,,
Podiatrists,8,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Audiologists,20,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
