Occupation,Total Employed (thou) 2010,% Men 2010,% Women 2010,% White 2010,% Black 2010,% Asian 2010,% Latinx 2010
Computer software engineers..........................................,"1,026",79.1,20.9,,5.1,28,3.9
Computer support specialists.........................................,388,72.4,27.6,,11.3,7.9,6.9
Database administrators..............................................,101,63.6,36.4,,9,11.8,8.6
Network and computer systems administrators..........................,229,83.5,16.5,,5.6,9.4,6
Network systems and data communications analysts.....................,366,73.8,26.2,,6.6,7.4,6.7
Actuaries............................................................,25,100,,,,,
Mathematicians.......................................................,5,100,,,,,
Operations research analysts.........................................,107,53.8,46.2,,10.7,5.8,8.4
Statisticians........................................................,28,100,,,,,
Miscellaneous mathematical science occupations.......................,3,100,,,,,
Architecture and engineering occupations...............................,"2,619",87.1,12.9,,5.2,9,6.8
"Architects, except naval.............................................",184,75.6,24.4,,2.1,1.9,7.8
"Surveyors, cartographers, and photogrammetrists......................",43,100,,,,,
Aerospace engineers..................................................,126,89.2,10.8,,6.7,3.7,3.8
Agricultural engineers...............................................,1,100,,,,,
Biomedical engineers.................................................,17,100,,,,,
Chemical engineers...................................................,63,82.6,17.4,,3.1,11.5,1
Civil engineers......................................................,318,90.3,9.7,,4.9,8.9,6.9
Computer hardware engineers..........................................,70,89.7,10.3,,3.1,26.7,7.3
Electrical and electronics engineers.................................,307,92.8,7.2,,5.3,16.7,7
Environmental engineers..............................................,35,100,,,,,
"Industrial engineers, including health and safety....................",159,80,20,,5,10.2,7.8
Marine engineers and naval architects................................,11,100,,,,,
Materials engineers..................................................,36,100,,,,,
Mechanical engineers.................................................,293,93.3,6.7,,3.2,11,3.7
"Mining and geological engineers, including mining safety engineers...",14,100,,,,,
Nuclear engineers....................................................,12,100,,,,,
Petroleum engineers..................................................,20,100,,,,,
"Engineers, all other.................................................",334,87.1,12.9,,7.1,12.5,5.2
Drafters.............................................................,143,78.6,21.4,,3.6,4.1,11.3
"Engineering technicians, except drafters.............................",374,86.8,13.2,,8.2,4.6,8.9
Surveying and mapping technicians....................................,61,89.1,10.9,,1.6,0.3,10.9
"Life, physical, and social science occupations.........................","1,409",53.5,46.5,,6.3,10.8,6
Agricultural and food scientists.....................................,35,100,,,,,
Biological scientists................................................,113,54.2,45.8,,8,9.8,6.2
Conservation scientists and foresters................................,25,100,,,,,
Medical scientists...................................................,143,46.3,53.7,,7,28.4,7.5
Astronomers and physicists...........................................,12,100,,,,,
Atmospheric and space scientists.....................................,7,100,,,,,
Chemists and materials scientists....................................,103,66.5,33.5,,9.9,18.2,4.3
Environmental scientists and geoscientists...........................,108,73.8,26.2,,5.4,3,2.9
"Physical scientists, all other.......................................",144,60.5,39.5,,4,21.1,3.2
Economists...........................................................,28,100,,,,,
Market and survey researchers........................................,150,44.3,55.7,,5.1,7.7,2.8
Psychologists........................................................,179,33.3,66.7,,3.9,3.3,7.3
Sociologists.........................................................,5,100,,,,,
Urban and regional planners..........................................,26,100,,,,,
Miscellaneous social scientists and related workers..................,48,100,,,,,
Agricultural and food science technicians............................,20,100,,,,,
Biological technicians...............................................,16,100,,,,,
Chemical technicians.................................................,62,67.6,32.4,,12.8,8.4,13.8
Geological and petroleum technicians.................................,21,100,,,,,
Nuclear technicians..................................................,3,100,,,,,
"Other life, physical, and social science technicians.................",162,45.4,54.6,,7.4,6.9,8.4
Community and social services occupations..............................,"2,337",35.8,64.2,,19.3,3.3,9.8
Counselors...........................................................,702,28.8,71.2,,21.4,3.8,9.5
Social workers.......................................................,771,19.2,80.8,,22.8,3.3,11.3
Miscellaneous community and social service specialists...............,297,32,68,,21.6,1.7,13
Clergy...............................................................,429,82.5,17.5,,12.6,2.9,6.3
"Directors, religious activities and education........................",53,20.8,79.2,,2,4.3,4
"Religious workers, all other.........................................",84,30.7,69.3,,6,6.2,9
Legal occupations......................................................,"1,716",51.2,48.8,,6.5,3.4,5.5
Lawyers..............................................................,"1,040",68.5,31.5,,4.3,3.4,3.4
"Judges, magistrates, and other judicial workers......................",71,63.6,36.4,,12.5,3.9,7.8
Paralegals and legal assistants......................................,345,14.2,85.8,,8.8,2.4,9.6
Miscellaneous legal support workers..................................,259,27.4,72.6,,10.4,4.4,7.7
"Education, training, and library occupations...........................","8,628",26.2,73.8,,9.4,3.8,8
Postsecondary teachers...............................................,"1,300",54.1,45.9,,6.3,11,5
Preschool and kindergarten teachers..................................,712,3,97,,13.4,2.7,9.6
Elementary and middle school teachers................................,"2,813",18.2,81.8,,9.3,2.4,7.3
Secondary school teachers............................................,"1,221",43,57,,8,1.6,6.7
Special education teachers...........................................,387,14.9,85.1,,6.8,2,6.2
Other teachers and instructors.......................................,806,33.5,66.5,,9.6,4.8,8
"Archivists, curators, and museum technicians.........................",50,43.6,56.4,,3.3,0.6,2.5
Librarians...........................................................,216,17.2,82.8,,9.2,1.7,5.2
Library technicians..................................................,43,100,,,,,
Teacher assistants...................................................,966,7.6,92.4,,12.7,2.9,15.1
"Other education, training, and library workers.......................",114,24.1,75.9,,16.1,1.7,11.2
"Arts, design, entertainment, sports, and media occupations.............","2,759",53.8,46.2,,5.5,4.3,8.8
Artists and related workers..........................................,195,52.9,47.1,,2.7,3.6,6.6
Designers............................................................,793,46.3,53.7,,3.3,5.2,9
Actors...............................................................,25,100,,,,,
Producers and directors..............................................,152,62.3,37.7,,9.1,5.5,10.9
"Athletes, coaches, umpires, and related workers......................",260,65.4,34.6,,7.3,4.1,10.6
Dancers and choreographers...........................................,15,100,,,,,
"Musicians, singers, and related workers..............................",182,68.1,31.9,,13.9,2.1,8.7
"Entertainers and performers, sports and related workers, all other...",40,100,,,,,
Announcers...........................................................,52,82,18,,12.9,2,18
"News analysts, reporters and correspondents..........................",81,53.1,46.9,,3,6,7.2
Public relations specialists.........................................,148,41.2,58.8,,2.8,2.6,8.7
Editors..............................................................,162,46.8,53.2,,4.9,5,3.9
Technical writers....................................................,56,45.7,54.3,,5.4,3.8,2
Writers and authors..................................................,199,36.5,63.5,,3.8,2.3,1.5
Miscellaneous media and communication workers........................,83,32.1,67.9,,6.6,10.6,32.5
Broadcast and sound engineering technicians and radio operators......,102,90.1,9.9,,5.7,4.1,10.8
Photographers........................................................,161,60.6,39.4,,6.5,3.3,8.1
"Television, video, and motion picture camera operators and editors...",54,92.8,7.2,,5.5,4,7.1
"Media and communication equipment workers, all other.................",2,100,,,,,
Healthcare practitioner and technical occupations......................,"7,805",25.7,74.3,,10.8,7.8,6.2
Chiropractors........................................................,57,79.8,20.2,,-,5.3,2
Dentists.............................................................,175,74.5,25.5,,0.3,13.7,5.7
Dietitians and nutritionists.........................................,105,7.7,92.3,,14.9,9.1,5.2
Optometrists.........................................................,38,100,,,,,
Pharmacists..........................................................,255,47,53,,5.2,15.1,4.3
Physicians and surgeons..............................................,872,67.7,32.3,,5.8,15.7,6.8
Physician assistants.................................................,99,31.3,68.7,,5,5.8,9.2
Podiatrists..........................................................,12,100,,,,,
Registered nurses....................................................,"2,843",8.9,91.1,,12,7.5,4.9
Audiologists.........................................................,18,100,,,,,
Occupational therapists..............................................,109,12.2,87.8,,2.5,2.6,6.1
Physical therapists..................................................,187,31.5,68.5,,5.8,7.6,5.4
Radiation therapists.................................................,18,100,,,,,
Recreational therapists..............................................,14,100,,,,,
Respiratory therapists...............................................,131,36.4,63.6,,11.9,4.8,6.6
Speech-language pathologists.........................................,132,3.7,96.3,,2.9,0.7,6.1
"Therapists, all other................................................",138,23.1,76.9,,6.6,4,10.4
Veterinarians........................................................,73,44,56,,2.6,1.8,3.9
"Health diagnosing and treating practitioners, all other..............",27,100,,,,,
Clinical laboratory technologists and technicians....................,342,23.2,76.8,,15.1,10.3,7.4
Dental hygienists....................................................,141,4.9,95.1,,4.3,5.9,3
Diagnostic related technologists and technicians.....................,349,26.7,73.3,,7.2,4.8,7.7
Emergency medical technicians and paramedics.........................,179,65.9,34.1,,4.4,0.9,3.7
Health diagnosing and treating practitioner support technicians......,505,24.1,75.9,,13.6,6.8,10.8
Licensed practical and licensed vocational nurses....................,573,8.3,91.7,,24.4,3.8,6.2
Medical records and health information technicians...................,118,12.4,87.6,,19.9,6.5,12.7
"Opticians, dispensing................................................",55,33.5,66.5,,15.3,4.5,8.1
Miscellaneous health technologists and technicians...................,167,28.9,71.1,,17.6,6.5,8.5
Other healthcare practitioners and technical occupations.............,70,56.9,43.1,,8.7,3,9.6
,,100,,,,,
Service occupations........................................................,"24,634",43.2,56.8,,15.3,4.9,21.3
Healthcare support occupations...........................................,"3,332",11.1,88.9,,25.5,4.1,15.2
"Nursing, psychiatric, and home health aides............................","1,928",11.8,88.2,,34.6,4,14.7
Occupational therapist assistants and aides............................,10,100,,,,,
Physical therapist assistants and aides................................,86,28.5,71.5,,6.2,6.6,14.5
Massage therapists.....................................................,162,12.9,87.1,,5.3,4.9,6
Dental assistants......................................................,296,2.5,97.5,,5.7,5.6,20
Medical assistants and other healthcare support occupations............,850,10.3,89.7,,17.8,3.5,16.4
Protective service occupations...........................................,"3,289",78.6,21.4,,17.8,2.4,13.3
First-line supervisors/managers of correctional officers...............,44,100,,,,,
First-line supervisors/managers of police and detectives...............,103,84.6,15.4,,8.7,2.5,7.4
First-line supervisors/managers of fire fighting and prevention workers,41,100,,,,,
"Supervisors, protective service workers, all other.....................",105,69.3,30.7,,19.9,2.3,8.2
Fire fighters..........................................................,301,96.4,3.6,,6.4,0.5,9.6
Fire inspectors........................................................,18,100,,,,,
"Bailiffs, correctional officers, and jailers...........................",465,73.9,26.1,,22,1.2,13.3
Detectives and criminal investigators..................................,159,77.2,22.8,,10.6,3.7,13.3
Fish and game wardens..................................................,6,100,,,,,
Parking enforcement workers............................................,12,100,,,,,
Police and sheriff's patrol officers...................................,714,87,13,,12.1,2.7,15.2
Transit and railroad police............................................,5,100,,,,,
Animal control workers.................................................,9,100,,,,,
Private detectives and investigators...................................,89,62.4,37.6,,5.7,3.2,12.1
Security guards and gaming surveillance officers.......................,993,79.2,20.8,,28.8,3.4,15.9
Crossing guards........................................................,59,33.6,66.4,,26.4,1.8,9.4
Lifeguards and other protective service workers........................,166,45.6,54.4,,4.2,2.2,6.7
Food preparation and serving related occupations.........................,"7,660",44.9,55.1,,11.3,5.6,22.2
Chefs and head cooks...................................................,337,81,19,,12,16.5,17.9
First-line supervisors/managers of food preparation and serving workers,551,43.4,56.6,,15.4,3,14.9
Cooks..................................................................,"1,951",59.5,40.5,,15,5,32.5
Food preparation workers...............................................,717,40.8,59.2,,13.4,5.3,23.7
Bartenders.............................................................,393,44.8,55.2,,3.8,2.1,10.7
"Combined food preparation and serving workers, including fast food.....",294,38.7,61.3,,12.8,4.6,16.6
"Counter attendants, cafeteria, food concession, and coffee shop........",269,34.3,65.7,,11.3,5.7,18.5
Waiters and waitresses.................................................,"2,067",28.9,71.1,,7.1,6.1,16.6
"Food servers, nonrestaurant............................................",174,35.1,64.9,,18.6,6.5,16.3
Dining room and cafeteria attendants and bartender helpers.............,371,52.1,47.9,,10.7,7,29
Dishwashers............................................................,246,78.9,21.1,,10.5,4.2,38.5
"Hosts and hostesses, restaurant, lounge, and coffee shop...............",284,15.3,84.7,,8.1,4,14.3
"Food preparation and serving related workers, all other................",5,100,,,,,
Building and grounds cleaning and maintenance occupations................,"5,328",59.4,40.6,,13.6,3.1,35.2
First-line supervisors/managers of housekeeping and janitorial workers,234,58.3,41.7,,13.3,2.8,19.8
"First-line supervisors/managers of landscaping, lawn service, and",,100,,,,,
grounds keeping workers...............................................,229,92.7,7.3,,3.8,1.1,20.5
Janitors and building cleaners.........................................,"2,186",66.8,33.2,,17.1,3.2,30.9
Maids and housekeeping cleaners........................................,"1,407",11,89,,16.3,5,40.8
Pest control workers...................................................,76,96.7,3.3,,5.3,1.7,15.9
Grounds maintenance workers............................................,"1,195",94.2,5.8,,6.3,1.3,43.8
Personal care and service occupations....................................,"5,024",21.7,78.3,,14.8,7.8,14.6
First-line supervisors/managers of gaming workers......................,136,47.8,52.2,,5.4,8.3,8.9
First-line supervisors/managers of personal service workers............,185,28.4,71.6,,7.7,14.5,9
Animal trainers........................................................,44,100,,,,,
Nonfarm animal caretakers..............................................,169,28.3,71.7,,2.7,2,12.7
Gaming services workers................................................,121,61.9,38.1,,5,29.6,10.5
Motion picture projectionists..........................................,13,100,,,,,
"Ushers, lobby attendants, and ticket takers............................",51,57.3,42.7,,24,7.9,16.4
Miscellaneous entertainment attendants and related workers.............,173,57.2,42.8,,12.8,3.1,14.4
Funeral service workers................................................,18,100,,,,,
Barbers................................................................,96,82.1,17.9,,37.2,1.2,12.1
"Hairdressers, hairstylists, and cosmetologists.........................",770,8.1,91.9,,10.6,4.7,12.7
Miscellaneous personal appearance workers..............................,273,13.4,86.6,,7.5,51.4,10.9
"Baggage porters, bellhops, and concierges..............................",77,82.1,17.9,,29.8,6.9,25.8
Tour and travel guides.................................................,35,100,,,,,
Transportation attendants..............................................,110,28.4,71.6,,12.2,4.9,16.6
Child care workers.....................................................,"1,247",5.3,94.7,,16,3.4,19.1
Personal and home care aides...........................................,973,13.9,86.1,,23.8,6.4,17.6
Recreation and fitness workers.........................................,379,32.8,67.2,,11.3,1.8,6.9
Residential advisors...................................................,60,35.9,64.1,,25.4,2,5.1
"Personal care and service workers, all other...........................",91,51.1,48.9,,5.9,3.6,9.5
,,100,,,,,
Sales and office occupations...............................................,"33,433",37.1,62.9,,11.3,4.2,12.6
Sales and related occupations............................................,"15,386",50.1,49.9,,9.8,5,11.8
First-line supervisors/managers of retail sales workers................,"3,132",56.1,43.9,,7.9,5.4,10.3
First-line supervisors/managers of non-retail sales workers............,"1,131",72,28,,5.9,5.6,9.6
Cashiers...............................................................,"3,109",26.3,73.7,,16.1,6.8,16.3
Counter and rental clerks..............................................,150,51,49,,7.9,6.9,12.7
Parts salespersons.....................................................,129,87.5,12.5,,3.7,0.5,12.9
Retail salespersons....................................................,"3,286",48.1,51.9,,11.3,4.1,13.7
Advertising sales agents...............................................,214,52.4,47.6,,6.3,2.7,4.9
Insurance sales agents.................................................,513,50.6,49.4,,6.6,3.2,10.1
"Securities, commodities, and financial services sales agents...........",308,69.2,30.8,,6.4,8,4.8
Travel agents..........................................................,76,16,84,,9.9,6.5,8.7
"Sales representatives, services, all other.............................",524,65.6,34.4,,9.6,4.9,9.9
"Sales representatives, wholesale and manufacturing.....................","1,284",75,25,,4,3.3,9.3
"Models, demonstrators, and product promoters...........................",61,12.3,87.7,,8,2.7,9.5
Real estate brokers and sales agents...................................,854,46,54,,5.3,3.8,7.1
Sales engineers........................................................,24,100,,,,,
Telemarketers..........................................................,118,31.7,68.3,,25,1.2,11.9
"Door-to-door sales workers, news and street vendors, and related",,100,,,,,
workers...............................................................,203,35.7,64.3,,12.9,3.6,15.7
"Sales and related workers, all other...................................",268,40.6,59.4,,7,4.1,8.1
Office and administrative support occupations............................,"18,047",26.1,73.9,,12.5,3.6,13.4
First-line supervisors/managers of office and administrative support,,100,,,,,
workers...............................................................,"1,507",31.3,68.7,,9.7,3.8,11.1
"Switchboard operators, including answering service.....................",37,100,,,,,
Telephone operators....................................................,36,100,,,,,
"Communications equipment operators, all other..........................",6,100,,,,,
Bill and account collectors............................................,216,34.6,65.4,,17.5,2.9,18.9
Billing and posting clerks and machine operators.......................,472,7.8,92.2,,13.7,4.1,14
"Bookkeeping, accounting, and auditing clerks...........................","1,297",9.1,90.9,,6.5,3.4,8.8
Gaming cage workers....................................................,6,100,,,,,
Payroll and timekeeping clerks.........................................,167,9.2,90.8,,10.4,1.9,10.7
Procurement clerks.....................................................,30,100,,,,,
Tellers................................................................,453,12,88,,11.3,5.2,14
Brokerage clerks.......................................................,9,100,,,,,
Correspondence clerks..................................................,11,100,,,,,
"Court, municipal, and license clerks...................................",95,24.1,75.9,,17.9,3.1,12.1
"Credit authorizers, checkers, and clerks...............................",45,100,,,,,
Customer service representatives.......................................,"1,896",33.4,66.6,,17.5,3.9,15.2
"Eligibility interviewers, government programs..........................",89,16.2,83.8,,20.2,6.2,23
File clerks............................................................,334,18,82,,16,3.9,14.3
"Hotel, motel, and resort desk clerks...................................",129,30.9,69.1,,15.3,4.4,11.6
"Interviewers, except eligibility and loan..............................",210,24,76,,17.3,5.8,12
"Library assistants, clerical...........................................",115,22.9,77.1,,5.9,3.2,12.3
Loan interviewers and clerks...........................................,127,21.7,78.3,,11.5,4.7,11
New accounts clerks....................................................,32,100,,,,,
Order clerks...........................................................,117,32,68,,8,6.4,16.2
"Human resources assistants, except payroll and timekeeping.............",44,100,,,,,
Receptionists and information clerks...................................,"1,281",7.3,92.7,,9.8,3.3,16.8
Reservation and transportation ticket agents and travel clerks.........,100,41.8,58.2,,24,3.9,14.9
"Information and record clerks, all other...............................",116,13.2,86.8,,16.7,2.8,10
Cargo and freight agents...............................................,21,100,,,,,
Couriers and messengers................................................,270,84.6,15.4,,16.4,2.4,15.6
Dispatchers............................................................,293,39.1,60.9,,13.5,1.6,14.4
"Meter readers, utilities...............................................",36,100,,,,,
Postal service clerks..................................................,124,54.7,45.3,,29.5,8.3,11.1
Postal service mail carriers...........................................,321,62.3,37.7,,11.7,6.6,11.1
"Postal service mail sorters, processors, and processing machine",,100,,,,,
operators.............................................................,76,51.2,48.8,,30.5,16.2,7.5
"Production, planning, and expediting clerks............................",259,45.1,54.9,,9.5,3.4,7.2
"Shipping, receiving, and traffic clerks................................",558,72.5,27.5,,12.5,3.6,21.9
Stock clerks and order fillers.........................................,"1,456",64,36,,16.7,3.4,19.3
"Weighers, measurers, checkers, and samplers, recordkeeping.............",70,61.7,38.3,,10.8,3.1,22.3
Secretaries and administrative assistants..............................,"3,082",3.9,96.1,,8.6,1.9,9.4
Computer operators.....................................................,122,51.5,48.5,,10.8,9.1,11.8
Data entry keyers......................................................,338,19.5,80.5,,13.2,4.2,11.4
Word processors and typists............................................,144,7.5,92.5,,12.3,2.5,13.9
Desktop publishers.....................................................,5,100,,,,,
Insurance claims and policy processing clerks..........................,231,17.4,82.6,,16.5,2.3,11.5
"Mail clerks and mail machine operators, except postal service..........",94,48.7,51.3,,21.4,3.5,18.1
"Office clerks, general.................................................",994,15.8,84.2,,13,5.2,15.6
"Office machine operators, except computer..............................",45,100,,,,,
Proofreaders and copy markers..........................................,10,100,,,,,
Statistical assistants.................................................,19,100,,,,,
"Office and administrative support workers, all other...................",501,21,79,,12.7,3.2,12.6
,,100,,,,,
"Natural resources, construction, and maintenance occupations...............","13,073",95.4,4.6,,6.7,2,25
"Farming, fishing, and forestry occupations...............................",987,76.5,23.5,,5.2,1.9,41.8
"First-line supervisors/managers of farming, fishing, and forestry",,100,,,,,
workers...............................................................,44,100,,,,,
Agricultural inspectors................................................,28,100,,,,,
Animal breeders........................................................,11,100,,,,,
"Graders and sorters, agricultural products.............................",103,32.2,67.8,,9.2,7.3,50.3
Miscellaneous agricultural workers.....................................,691,81.2,18.8,,3.9,1.3,47.9
Fishers and related fishing workers....................................,32,100,,,,,
Hunters and trappers...................................................,1,100,,,,,
Forest and conservation workers........................................,14,100,,,,,
Logging workers........................................................,63,98.9,1.1,,13.6,0.7,6.2
Construction and extraction occupations..................................,"7,175",97.4,2.6,,6.1,1.4,29.1
First-line supervisors/managers of construction trades and extraction,,100,,,,,
workers...............................................................,659,96.1,3.9,,4.9,1,16.5
Boilermakers...........................................................,22,100,,,,,
"Brickmasons, blockmasons, and stonemasons..............................",162,99.9,0.1,,6.7,0.8,35.5
Carpenters.............................................................,"1,242",98.6,1.4,,4,1.4,25.7
"Carpet, floor, and tile installers and finishers.......................",209,99.5,0.5,,3.8,3.3,39.5
"Cement masons, concrete finishers, and terrazzo workers................",88,99.7,0.3,,12,-,51.5
Construction laborers..................................................,"1,267",97.3,2.7,,9,2.2,43.1
"Paving, surfacing, and tamping equipment operators.....................",19,100,,,,,
Pile-driver operators..................................................,2,100,,,,,
Operating engineers and other construction equipment operators.........,363,98.5,1.5,,4.7,1.1,13.7
"Drywall installers, ceiling tile installers, and tapers................",171,97.5,2.5,,2.5,0.3,58.6
Electricians...........................................................,691,98.5,1.5,,7,1.6,14
Glaziers...............................................................,42,100,,,,,
Insulation workers.....................................................,40,100,,,,,
"Painters, construction and maintenance.................................",578,92.8,7.2,,4.8,1.3,41
Paperhangers...........................................................,7,100,,,,,
"Pipelayers, plumbers, pipefitters, and steamfitters....................",526,98.5,1.5,,7.2,1.3,20.8
Plasterers and stucco masons...........................................,39,100,,,,,
Reinforcing iron and rebar workers.....................................,3,100,,,,,
Roofers................................................................,214,99,1,,4,1.3,46.4
Sheet metal workers....................................................,108,96,4,,5.8,0.4,18.8
Structural iron and steel workers......................................,59,99.4,0.6,,0.6,-,11.5
"Helpers, construction trades...........................................",60,96.7,3.3,,4.5,0.2,41.6
Construction and building inspectors...................................,104,91.3,8.7,,8.3,2.3,9
Elevator installers and repairers......................................,34,100,,,,,
Fence erectors.........................................................,44,100,,,,,
Hazardous materials removal workers....................................,38,100,,,,,
Highway maintenance workers............................................,110,97.5,2.5,,14.2,2.6,11
Rail-track laying and maintenance equipment operators..................,11,100,,,,,
Septic tank servicers and sewer pipe cleaners..........................,16,100,,,,,
Miscellaneous construction and related workers.........................,38,100,,,,,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",38,100,,,,,
"Earth drillers, except oil and gas.....................................",21,100,,,,,
"Explosives workers, ordnance handling experts, and blasters............",11,100,,,,,
Mining machine operators...............................................,60,97,3,,2.4,-,20.8
"Roof bolters, mining...................................................",5,100,,,,,
"Roustabouts, oil and gas...............................................",9,100,,,,,
Helpers—extraction workers.............................................,7,100,,,,,
Other extraction workers...............................................,55,98.6,1.4,,10,-,24.6
"Installation, maintenance, and repair occupations........................","4,911",96.1,3.9,,7.8,2.9,15.7
"First-line supervisors/managers of mechanics, installers, and repairers",381,93.7,6.3,,7.5,1.9,9.9
"Computer, automated teller, and office machine repairers...............",305,89,11,,10,8,10.1
Radio and telecommunications equipment installers and repairers........,166,90.9,9.1,,9.3,6.2,10.4
Avionics technicians...................................................,13,100,,,,,
"Electric motor, power tool, and related repairers......................",29,100,,,,,
"Electrical and electronics installers and repairers, transportation",,100,,,,,
equipment.............................................................,3,100,,,,,
"Electrical and electronics repairers, industrial and utility...........",19,100,,,,,
"Electronic equipment installers and repairers, motor vehicles..........",12,100,,,,,
Electronic home entertainment equipment installers and repairers.......,52,94,6,,12.1,6,11.3
Security and fire alarm systems installers.............................,60,95.6,4.4,,6,1.9,16.7
Aircraft mechanics and service technicians.............................,136,97.7,2.3,,7.1,7.1,15.3
Automotive body and related repairers..................................,168,98.8,1.2,,6.3,0.8,22.6
Automotive glass installers and repairers..............................,24,100,,,,,
Automotive service technicians and mechanics...........................,802,98.4,1.6,,6.8,3.5,20.3
Bus and truck mechanics and diesel engine specialists..................,339,99.3,0.7,,7.6,1.6,13.2
Heavy vehicle and mobile equipment service technicians and mechanics...,235,98.8,1.2,,4.6,1.1,14.1
Small engine mechanics.................................................,57,98,2,,6.4,2.7,14
"Miscellaneous vehicle and mobile equipment mechanics, installers, and",,100,,,,,
repairers.............................................................,99,99.2,0.8,,7.3,0.7,25.7
Control and valve installers and repairers.............................,23,100,,,,,
"Heating, air conditioning, and refrigeration mechanics and installers..",392,99.4,0.6,,8,2.2,17.2
Home appliance repairers...............................................,53,91.9,8.1,,7.7,6.1,17.5
Industrial and refractory machinery mechanics..........................,447,96.5,3.5,,8.1,2.2,14.4
"Maintenance and repair workers, general................................",347,96.2,3.8,,11.1,2.7,18
"Maintenance workers, machinery.........................................",31,100,,,,,
