Occupation,Total Employed (thou) 2010,% Men 2010,% Women 2010,% White 2010,% Black 2010,% Asian 2010,% Latinx 2010
"Total, 16 years and over...............................................","139,064",52.8,47.2,,10.8,4.8,14.3
"Management, professional, and related occupations..........................","51,743",48.5,51.5,,8.4,6.1,7.3
"Management, business, and financial operations occupations...............","20,938",57,43,,7.3,4.8,7.5
Management occupations.................................................,"15,001",61.8,38.2,,6.4,4.4,7.6
Chief executives.....................................................,"1,505",74.5,25.5,,2.8,3.2,4.8
General and operations managers......................................,"1,007",70.1,29.9,,5.8,3.3,5.9
Legislators..........................................................,13,100,,,,,
Advertising and promotions managers..................................,78,38.9,61.1,,0.8,2.3,9.6
Marketing and sales managers.........................................,959,54.8,45.2,,5.9,5,5.1
Public relations managers............................................,85,40,60,,4.4,4.8,5.2
Administrative services managers.....................................,104,65.6,34.4,,9,5.5,9.5
Computer and information systems managers............................,537,70.1,29.9,,6.8,9,7.2
Financial managers...................................................,"1,141",46.8,53.2,,6.7,6.9,8.1
Human resources managers.............................................,268,30.7,69.3,,9.1,3,7.9
Industrial production managers.......................................,254,82.1,17.9,,3,4.4,9.4
Purchasing managers..................................................,203,53.9,46.1,,7.6,2.8,7.8
"Transportation, storage, and distribution managers...................",278,82.6,17.4,,9.5,2.8,11.7
"Farm, ranch, and other agricultural managers.........................",237,81.9,18.1,,0.6,0.8,9.8
Farmers and ranchers.................................................,713,75.4,24.6,,0.6,0.7,1.5
Construction managers................................................,"1,083",93.2,6.8,,3.5,2,8.5
Education administrators.............................................,830,37,63,,11.1,2,6.4
Engineering managers.................................................,113,92.3,7.7,,5.4,13.3,3.5
Food service managers................................................,960,52.6,47.4,,8.5,10.8,14.6
Funeral directors....................................................,41,100,,,,,
Gaming managers......................................................,19,100,,,,,
Lodging managers.....................................................,143,51.6,48.4,,5.1,11.3,5.8
Medical and health services managers.................................,549,27.5,72.5,,12.4,3.2,7.2
Natural sciences managers............................................,22,100,,,,,
Postmasters and mail superintendents.................................,31,100,,,,,
"Property, real estate, and community association managers............",604,50.8,49.2,,7.7,2.6,11.4
Social and community service managers................................,326,29.8,70.2,,13.1,1.6,7
"Managers, all other..................................................","2,898",65,35,,6.8,4.8,8.5
Business and financial operations occupations..........................,"5,937",45.1,54.9,,9.8,5.7,7.1
"Agents and business managers of artists, performers, and athletes....",47,100,,,,,
"Purchasing agents and buyers, farm products..........................",15,100,,,,,
"Wholesale and retail buyers, except farm products....................",180,47.9,52.1,,4.4,2.2,9.7
"Purchasing agents, except wholesale, retail, and farm products.......",235,45.1,54.9,,8,3.2,5.7
"Claims adjusters, appraisers, examiners, and investigators...........",282,42.6,57.4,,13.8,3.3,7.4
"Compliance officers, except agriculture, construction, health and",,100,,,,,
"safety, and transportation..........................................",188,53,47,,11.5,2.2,7.8
Cost estimators......................................................,115,88.4,11.6,,1.5,0.6,7.5
"Human resources, training, and labor relations specialists...........",824,29.7,70.3,,14,2.6,10.2
Logisticians.........................................................,68,57.2,42.8,,10.6,8.7,7.9
Management analysts..................................................,658,56.3,43.7,,7.2,7.6,6.7
Meeting and convention planners......................................,63,21.2,78.8,,9.4,3,6.8
Other business operations specialists................................,243,37,63,,10.3,4.4,7.1
Accountants and auditors.............................................,"1,646",39.9,60.1,,8.6,9.1,5.8
Appraisers and assessors of real estate..............................,79,66,34,,3,1.8,2.5
Budget analysts......................................................,48,100,,,,,
Credit analysts......................................................,24,100,,,,,
Financial analysts...................................................,97,64.3,35.7,,11.6,6.9,3
Personal financial advisors..........................................,369,69.2,30.8,,5.2,4.9,3.5
Insurance underwriters...............................................,125,40.7,59.3,,13.2,4.2,4.7
Financial examiners..................................................,8,100,,,,,
Loan counselors and officers.........................................,363,48.2,51.8,,9.9,4.6,10.6
"Tax examiners, collectors, and revenue agents........................",71,33.9,66.1,,25.6,3.5,7.1
Tax preparers........................................................,106,28.9,71.1,,13,6.1,11.1
"Financial specialists, all other.....................................",84,35.9,64.1,,13.7,5.3,12.1
Professional and related occupations.....................................,"30,805",42.6,57.4,,9.2,7,7.1
Computer and mathematical occupations..................................,"3,531",74.2,25.8,,6.7,16.1,5.5
Computer scientists and systems analysts.............................,784,69.5,30.5,,7.3,14.9,5.1
Computer programmers.................................................,470,78,22,,5.1,12.4,6.5
