Occupation,Total Employed (thou) 2016,% Men 2016,% Women 2016,% White 2016,% Black 2016,% Asian 2016,% Latinx 2016
Social and community service managers,421,29.5,70.5,,15.4,4.8,11
Emergency management directors,10,#VALUE!,–,,–,–,–
"Managers, all other","4,420",65.6,34.4,,7.2,6.3,10.2
Business and financial operations occupations,"7,523",45.3,54.7,,9.7,7.8,9.8
"Agents and business managers of artists, performers, and athletes",38,#VALUE!,–,,–,–,–
"Buyers and purchasing agents, farm products",11,#VALUE!,–,,–,–,–
"Wholesale and retail buyers, except farm products",207,46.9,53.1,,6.4,4.4,11.8
"Purchasing agents, except wholesale, retail, and farm products",272,52,48,,9.9,6.2,11.6
"Claims adjusters, appraisers, examiners, and investigators",349,37.8,62.2,,15.1,1.6,12.7
Compliance officers,270,42.9,57.1,,12.4,7.9,10
Cost estimators,113,88,12,,2.9,3.2,8.3
Human resources workers,693,25.4,74.6,,12.8,5.2,11.3
"Compensation, benefits, and job analysis specialists",77,27.9,72.1,,17.8,7.2,8.5
Training and development specialists,156,39.3,60.7,,12,3,10.3
Logisticians,115,67.7,32.3,,17,6.9,12
Management analysts,902,58.3,41.7,,9,10.7,7.9
"Meeting, convention, and event planners",162,22.4,77.6,,8.6,4.5,11.1
Fundraisers,86,33.5,66.5,,4.3,1.9,4.8
Market research analysts and marketing specialists,302,45,55,,5,8.8,8.3
"Business operations specialists, all other",290,39.1,60.9,,13.7,4.7,13.5
Accountants and auditors,"1,777",38.7,61.3,,8.5,10.9,9
Appraisers and assessors of real estate,73,64.4,35.6,,5.5,2.2,9.5
Budget analysts,53,48.7,51.3,,16.8,8.6,5.6
Credit analysts,27,#VALUE!,–,,–,–,–
Financial analysts,307,63.1,36.9,,6.5,12.8,10.9
Personal financial advisors,513,68.4,31.6,,6,7.7,7.1
Insurance underwriters,104,37.5,62.5,,9.6,6.3,4.9
Financial examiners,14,#VALUE!,–,,–,–,–
Credit counselors and loan officers,367,42.3,57.7,,11.5,5.6,10.9
"Tax examiners and collectors, and revenue agents",68,36.2,63.8,,15.8,8.1,13.3
Tax preparers,108,36.8,63.2,,8.5,5.3,14.9
"Financial specialists, all other",68,44.3,55.7,,16.8,5.4,13.6
Professional and related occupations,"34,498",43,57,,9.8,9.2,9
Computer and mathematical occupations,"4,601",74.5,25.5,,7.9,21.3,6.8
Computer and information research scientists,20,#VALUE!,–,,–,–,–
Computer systems analysts,526,64.3,35.7,,10.8,17.6,6.7
Information security analysts,89,78.2,21.8,,9.2,7.7,8.9
Computer programmers,466,77.4,22.6,,7.6,19.8,6.7
"Software developers, applications and systems software","1,483",80,20,,4.1,35.7,4.8
Web developers,205,66.4,33.6,,8.4,9.3,5.8
Computer support specialists,570,74.5,25.5,,9.8,12.6,7.8
Database administrators,90,53.8,46.2,,4.4,16.2,2.9
Network and computer systems administrators,218,82.9,17.1,,9.6,10.8,9.4
Computer network architects,115,90.3,9.7,,13,11.8,9.3
"Computer occupations, all other",596,76.6,23.4,,11,12.7,10.6
Actuaries,14,#VALUE!,–,,–,–,–
Mathematicians,4,#VALUE!,–,,–,–,–
Operations research analysts,129,44.6,55.4,,11.2,12.9,10.4
Statisticians,74,47.5,52.5,,8.4,19.8,3.9
Miscellaneous mathematical science occupations,2,#VALUE!,–,,–,–,–
Architecture and engineering occupations,"3,106",85.8,14.2,,5.6,11.6,8.8
"Architects, except naval",246,74,26,,3,11.1,8
"Surveyors, cartographers, and photogrammetrists",34,#VALUE!,–,,–,–,–
Aerospace engineers,130,92.2,7.8,,2.6,9.3,7.3
Agricultural engineers,2,#VALUE!,–,,–,–,–
Biomedical engineers,13,#VALUE!,–,,–,–,–
Chemical engineers,79,79.9,20.1,,4.1,10.3,6.6
Civil engineers,425,89.2,10.8,,3.6,7.7,10.4
Computer hardware engineers,69,75.3,24.7,,5.3,29.2,12
Electrical and electronics engineers,293,89.2,10.8,,7.5,15.1,9.3
Environmental engineers,33,#VALUE!,–,,–,–,–
"Industrial engineers, including health and safety",220,79.7,20.3,,2.7,6.6,11.2
Marine engineers and naval architects,13,#VALUE!,–,,–,–,–
Materials engineers,31,#VALUE!,–,,–,–,–
Mechanical engineers,350,93.6,6.4,,4.2,10.5,5.5
"Mining and geological engineers, including mining safety engineers",9,#VALUE!,–,,–,–,–
Nuclear engineers,7,#VALUE!,–,,–,–,–
Petroleum engineers,36,#VALUE!,–,,–,–,–
"Engineers, all other",539,87.8,12.2,,7.2,18.2,6.1
Drafters,109,85,15,,4.9,4.9,22.7
"Engineering technicians, except drafters",385,80.2,19.8,,11.2,8.8,10.6
Surveying and mapping technicians,83,92.1,7.9,,3.7,3.2,7.4
"Life, physical, and social science occupations","1,367",56,44,,6.4,16,8.2
Agricultural and food scientists,35,#VALUE!,–,,–,–,–
Biological scientists,96,56.6,43.4,,6.5,17.2,7
Conservation scientists and foresters,31,#VALUE!,–,,–,–,–
Medical scientists,154,53.1,46.9,,3.7,37.3,4.6
"Life scientists, all other",3,#VALUE!,–,,–,–,–
Astronomers and physicists,19,#VALUE!,–,,–,–,–
Atmospheric and space scientists,6,#VALUE!,–,,–,–,–
Chemists and materials scientists,95,65.4,34.6,,10.6,18.4,2.7
Environmental scientists and geoscientists,89,70,30,,3.4,8,5.6
"Physical scientists, all other",261,55,45,,4.9,26.9,9.7
Economists,26,#VALUE!,–,,–,–,–
Survey researchers,3,#VALUE!,–,,–,–,–
Psychologists,161,32.5,67.5,,5.8,4.2,6.9
Sociologists,3,#VALUE!,–,,–,–,–
Urban and regional planners,38,#VALUE!,–,,–,–,–
Miscellaneous social scientists and related workers,39,#VALUE!,–,,–,–,–
Agricultural and food science technicians,35,#VALUE!,–,,–,–,–
Biological technicians,17,#VALUE!,–,,–,–,–
Chemical technicians,76,65.4,34.6,,14.9,8.2,12.9
Geological and petroleum technicians,18,#VALUE!,–,,–,–,–
Nuclear technicians,5,#VALUE!,–,,–,–,–
Social science research assistants,2,#VALUE!,–,,–,–,–
"Miscellaneous life, physical, and social science technicians",155,49,51,,8,13,11.6
Community and social service occupations,"2,612",34.5,65.5,,18.6,3.4,12.1
Counselors,869,27,73,,19.6,2.7,11.6
Social workers,781,18.5,81.5,,22.7,3,13.8
Probation officers and correctional treatment specialists,102,42.6,57.4,,21,1.3,14.3
Social and human service assistants,184,19.5,80.5,,21.6,2.6,14.1
"Miscellaneous community and social service specialists, including health educators and community health workers",89,25.1,74.9,,20.4,2.5,16.1
Clergy,436,82.4,17.6,,11.8,5.9,9.1
"Directors, religious activities and education",78,45,55,,3.1,4.2,9.9
"Religious workers, all other",73,35.6,64.4,,7.4,7.9,8
Legal occupations,"1,808",48.2,51.8,,6.3,4.1,8.4
Lawyers,"1,133",64.3,35.7,,4.4,4.7,5.6
Judicial law clerks,15,#VALUE!,–,,–,–,–
"Judges, magistrates, and other judicial workers",59,65.8,34.2,,11,1.2,3.5
Paralegals and legal assistants,433,13.3,86.7,,10.2,3.5,16.2
Miscellaneous legal support workers,168,23,77,,8.4,1.9,8.7
"Education, training, and library occupations","8,948",26.9,73.1,,10,4.7,10
Postsecondary teachers,"1,420",51.7,48.3,,7,12.3,6.9
Preschool and kindergarten teachers,692,2.5,97.5,,12.5,3.4,13.3
Elementary and middle school teachers,"3,186",21.5,78.5,,10.3,2.4,9.8
Secondary school teachers,"1,078",39.5,60.5,,8,2,7.9
Special education teachers,353,14.8,85.2,,8.6,2.2,6.5
Other teachers and instructors,868,34.7,65.3,,10.3,7.2,10.6
"Archivists, curators, and museum technicians",43,#VALUE!,–,,–,–,–
Librarians,190,16.2,83.8,,7.5,5.8,7.1
Library technicians,37,#VALUE!,–,,–,–,–
Teacher assistants,950,10.7,89.3,,14.8,3.4,17.3
"Other education, training, and library workers",132,28.6,71.4,,12.2,6.3,9.7
"Arts, design, entertainment, sports, and media occupations","3,097",51.5,48.5,,6.6,5.5,10.6
Artists and related workers,232,43.4,56.6,,3.6,3.6,9.9
Designers,878,45.2,54.8,,5.1,8.4,10.6
Actors,47,#VALUE!,–,,–,–,–
Producers and directors,173,61.5,38.5,,3.6,4.6,6.3
"Athletes, coaches, umpires, and related workers",312,65.8,34.2,,8.4,2.2,11.7
Dancers and choreographers,17,#VALUE!,–,,–,–,–
"Musicians, singers, and related workers",192,59.6,40.4,,14.6,3.7,9.3
"Entertainers and performers, sports and related workers, all other",49,#VALUE!,–,,–,–,–
Announcers,59,79.1,20.9,,16.6,4,20.7
"News analysts, reporters and correspondents",73,51.2,48.8,,3.6,9.6,10.5
Public relations specialists,121,41.1,58.9,,8.2,1.7,7.3
Editors,167,47.6,52.4,,1.9,6.6,6
Technical writers,61,44.3,55.7,,7.8,4.1,7.8
Writers and authors,229,37.2,62.8,,3.4,2.5,5.6
Miscellaneous media and communication workers,116,31.3,68.7,,11.3,13,37.8
Broadcast and sound engineering technicians and radio operators,111,84.8,15.2,,13.1,2.4,12.1
Photographers,205,52.3,47.7,,5.7,5.7,8.4
"Television, video, and motion picture camera operators and editors",54,78.6,21.4,,3.1,3.8,11.4
"Media and communication equipment workers, all other",1,#VALUE!,–,,–,–,–
Healthcare practitioners and technical occupations,"8,960",24.4,75.6,,11.8,9.6,7.8
Chiropractors,51,72.6,27.4,,1.7,4.6,9.8
Dentists,163,65.6,34.4,,3.2,20.2,9.5
Dietitians and nutritionists,120,10.6,89.4,,15.9,6.1,4.9
Optometrists,36,#VALUE!,–,,–,–,–
Pharmacists,306,40.1,59.9,,10.1,18.1,4.6
Physicians and surgeons,"1,061",61.8,38.2,,7.5,19.3,5.9
Physician assistants,92,30,70,,3.2,11.5,6
Podiatrists,12,#VALUE!,–,,–,–,–
Audiologists,15,#VALUE!,–,,–,–,–
Occupational therapists,118,10.8,89.2,,7.5,8.2,6.3
Physical therapists,290,30.7,69.3,,5.2,9.5,5.3
Radiation therapists,13,#VALUE!,–,,–,–,–
Recreational therapists,11,#VALUE!,–,,–,–,–
Respiratory therapists,84,26.5,73.5,,8.5,5.2,8.7
Speech-language pathologists,162,2.5,97.5,,2.9,3.2,9
Exercise physiologists,2,#VALUE!,–,,–,–,–
"Therapists, all other",205,17.4,82.6,,9.2,6.1,15.7
Veterinarians,101,36.8,63.2,,2.1,3.7,0.3
Registered nurses,"3,102",10,90,,11.9,9,6.6
Nurse anesthetists,23,#VALUE!,–,,–,–,–
Nurse midwives,6,#VALUE!,–,,–,–,–
Nurse practitioners,176,6,94,,8.5,6.2,3.5
"Health diagnosing and treating practitioners, all other",32,#VALUE!,–,,–,–,–
Clinical laboratory technologists and technicians,361,31.5,68.5,,16.5,10.6,13
Dental hygienists,169,2.9,97.1,,5.2,2.7,9.2
Diagnostic related technologists and technicians,311,27,73,,9.8,5.4,8.8
Emergency medical technicians and paramedics,194,64.3,35.7,,12.4,2.3,12.1
Health practitioner support technologists and technicians,610,20.5,79.5,,12.7,8.8,12.2
Licensed practical and licensed vocational nurses,653,10,90,,30.3,4.2,10.1
Medical records and health information technicians,184,7.9,92.1,,10.7,5.3,6.4
"Opticians, dispensing",55,30.3,69.7,,7.3,2.2,11.6
Miscellaneous health technologists and technicians,130,34.4,65.6,,24.3,11.9,9.7
Other healthcare practitioners and technical occupations,114,48.3,51.7,,13.5,3.4,11.9
,,,,,,,
Service occupations,"26,811",,56.6,,16.8,5.5,23.9
Healthcare support occupations,"3,554",,87.7,,27.3,5.5,16.9
"Nursing, psychiatric, and home health aides","2,058",,88.1,,37.5,5.8,14.6
Occupational therapy assistants and aides,20,,–,,–,–,–
Physical therapist assistants and aides,70,,69.4,,6.4,6.3,10.4
Massage therapists,170,,80.7,,6.8,7.7,9.6
Dental assistants,294,,93.3,,11.4,6.5,24.1
Medical assistants,570,,92.9,,14.3,4.1,28.6
Medical transcriptionists,39,,–,,–,–,–
Pharmacy aides,36,,–,,–,–,–
Veterinary assistants and laboratory animal caretakers,39,,–,,–,–,–
Phlebotomists,101,,86.5,,22,3.6,16.2
"Miscellaneous healthcare support occupations, including medical equipment preparers",156,,73.9,,26,4,7.9
Protective service occupations,"3,117",,22.3,,19,2.8,14.1
First-line supervisors of correctional officers,61,,34,,23.3,2.6,17.3
First-line supervisors of police and detectives,114,,18.3,,12.3,0.2,10.6
First-line supervisors of fire fighting and prevention workers,44,,–,,–,–,–
"First-line supervisors of protective service workers, all other",88,,23.5,,16.9,3,11.7
Firefighters,252,,3.5,,6.8,1.4,7.7
Fire inspectors,27,,–,,–,–,–
"Bailiffs, correctional officers, and jailers",383,,28.2,,25.5,1.9,12.9
Detectives and criminal investigators,130,,23.6,,6.9,4,7.6
Fish and game wardens,9,,–,,–,–,–
Parking enforcement workers,8,,–,,–,–,–
Police and sheriff's patrol officers,708,,14.1,,12,2.7,16
Transit and railroad police,2,,–,,–,–,–
Animal control workers,9,,–,,–,–,–
Private detectives and investigators,94,,44,,11.5,4.5,6.7
Security guards and gaming surveillance officers,923,,22,,30.4,4,17.6
Crossing guards,72,,60.4,,26.4,1.5,15.5
Transportation security screeners,44,,–,,–,–,–
"Lifeguards and other recreational, and all other protective service workers",149,,44.2,,8.7,1.2,11.4
Food preparation and serving related occupations,"8,542",,53.5,,13.8,5.8,25.8
Chefs and head cooks,460,,21.4,,14.7,11.6,23
First-line supervisors of food preparation and serving workers,543,,57.7,,15.5,5.3,17.6
Cooks,"2,179",,38.7,,17.3,4.8,35
Food preparation workers,"1,000",,58.2,,14.9,6.7,29.3
Bartenders,454,,56.1,,7.4,2.5,17
"Combined food preparation and serving workers, including fast food",420,,63.5,,18,3.3,20.2
"Counter attendants, cafeteria, food concession, and coffee shop",214,,67.2,,11.4,5.7,18
Waiters and waitresses,"2,085",,70,,9.4,6.6,20.9
"Food servers, nonrestaurant",213,,71.3,,16.3,5.7,22.5
Dining room and cafeteria attendants and bartender helpers,331,,42.9,,15.3,6.4,27.8
Dishwashers,319,,18,,16.3,5.9,35.4
"Hosts and hostesses, restaurant, lounge, and coffee shop",319,,80.8,,8.8,3.8,16.3
"Food preparation and serving related workers, all other",3,,–,,–,–,–
Building and grounds cleaning and maintenance occupations,"5,804",,40.1,,14.6,2.9,38.2
First-line supervisors of housekeeping and janitorial workers,323,,39.9,,16,1.2,28.4
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",231,,4.6,,5.1,1,24.6
Janitors and building cleaners,"2,276",,34.2,,17.9,3.4,32.8
Maids and housekeeping cleaners,"1,485",,89.6,,17.3,4.2,47.3
Pest control workers,79,,2.6,,6.2,0.2,14.6
Grounds maintenance workers,"1,411",,5.4,,8.1,1.4,43.1
Personal care and service occupations,"5,795",,77.3,,15.9,9.3,16.3
First-line supervisors of gaming workers,206,,46.4,,4.8,4.1,11.6
First-line supervisors of personal service workers,191,,70.5,,9.2,15.5,10.6
Animal trainers,61,,47.3,,1.2,1.3,11.7
Nonfarm animal caretakers,233,,76.9,,4.7,2.4,11.7
Gaming services workers,92,,47.9,,8,28.2,9.8
Motion picture projectionists,6,,–,,–,–,–
"Ushers, lobby attendants, and ticket takers",40,,–,,–,–,–
Miscellaneous entertainment attendants and related workers,199,,41,,15.7,6.4,9.8
Embalmers and funeral attendants,12,,–,,–,–,–
"Morticians, undertakers, and funeral directors",40,,–,,–,–,–
Barbers,126,,11.7,,39.9,3.3,19.6
"Hairdressers, hairstylists, and cosmetologists",806,,92.4,,12.4,5.2,16.5
Miscellaneous personal appearance workers,364,,86.1,,9.5,57.8,9.2
"Baggage porters, bellhops, and concierges",66,,17.5,,18.4,8.1,31.8
Tour and travel guides,53,,40.2,,13,5.7,11.4
Childcare workers,"1,280",,94.4,,17.1,2.8,20.9
Personal care aides,"1,396",,84.9,,24.4,10.2,20.6
Recreation and fitness workers,440,,62.2,,10,1,7.8
Residential advisors,42,,–,,–,–,–
"Personal care and service workers, all other",142,,56.5,,14.4,4.4,12.6
,,,,,,,
Sales and office occupations,"33,539",,61.2,,12.6,5.2,15.6
Sales and related occupations,"15,848",,49,,11,5.7,15.7
First-line supervisors of retail sales workers,"3,282",,44.1,,8.9,6.1,14.7
First-line supervisors of non-retail sales workers,"1,180",,26.8,,6.8,6.7,13.6
Cashiers,"3,260",,73.2,,17.8,7.2,20.7
Counter and rental clerks,105,,46.6,,14,3.2,22.6
Parts salespersons,117,,13.8,,7.5,3.1,17.9
Retail salespersons,"3,312",,48.4,,12.3,5.3,18.2
Advertising sales agents,222,,45.5,,12,4,11.7
Insurance sales agents,630,,46.5,,11,4.6,11.7
"Securities, commodities, and financial services sales agents",263,,30.4,,7.1,7.2,8.9
Travel agents,83,,84.7,,2.6,10.3,11.3
"Sales representatives, services, all other",512,,31.8,,8.5,3.9,11.3
"Sales representatives, wholesale and manufacturing","1,308",,29.1,,4.8,4.3,10.7
"Models, demonstrators, and product promoters",59,,67.4,,9.6,3,9.3
Real estate brokers and sales agents,977,,55.5,,6.9,4.6,10.2
Sales engineers,43,,–,,–,–,–
Telemarketers,61,,64,,34.9,4.8,19.7
"Door-to-door sales workers, news and street vendors, and related workers",160,,62.5,,9.1,3.4,22.3
"Sales and related workers, all other",274,,47.2,,9.7,3.2,12.1
Office and administrative support occupations,"17,691",,72.1,,14.1,4.7,15.6
First-line supervisors of office and administrative support workers,"1,352",,68.5,,11.1,4.6,13.6
"Switchboard operators, including answering service",25,,–,,–,–,–
Telephone operators,41,,–,,–,–,–
"Communications equipment operators, all other",5,,–,,–,–,–
Bill and account collectors,152,,67.4,,25.1,2,19.3
Billing and posting clerks,452,,89,,14,4.6,15.8
"Bookkeeping, accounting, and auditing clerks","1,137",,88.5,,7.7,4.9,11.9
Gaming cage workers,12,,–,,–,–,–
Payroll and timekeeping clerks,129,,90.7,,10.4,8.1,13.2
Procurement clerks,27,,–,,–,–,–
Tellers,342,,81.7,,12.5,5.3,17.5
"Financial clerks, all other",69,,63.9,,14.6,9.1,14.2
Brokerage clerks,3,,–,,–,–,–
Correspondence clerks,7,,–,,–,–,–
"Court, municipal, and license clerks",80,,71.1,,18.9,2.4,19.6
"Credit authorizers, checkers, and clerks",44,,–,,–,–,–
Customer service representatives,"2,388",,65,,16.9,4.5,18.3
"Eligibility interviewers, government programs",77,,75.2,,27.6,6.6,19.4
File clerks,183,,82.7,,21.2,5.7,11.6
"Hotel, motel, and resort desk clerks",138,,66.1,,17.2,9.7,21.5
"Interviewers, except eligibility and loan",152,,88.1,,20.7,5.2,11.6
"Library assistants, clerical",87,,86.2,,12.5,1.4,10.5
Loan interviewers and clerks,132,,79,,10.8,5.4,13.8
New accounts clerks,24,,–,,–,–,–
Order clerks,105,,57.3,,8.1,4.1,21.5
"Human resources assistants, except payroll and timekeeping",42,,–,,–,–,–
Receptionists and information clerks,"1,331",,90.1,,13,3.7,18.4
Reservation and transportation ticket agents and travel clerks,144,,55.1,,24.8,8.2,20
"Information and record clerks, all other",118,,71.9,,19.8,3.6,7.9
Cargo and freight agents,27,,–,,–,–,–
Couriers and messengers,227,,18.4,,22.1,6,19.3
Dispatchers,292,,55.7,,12.8,3.1,16.6
"Meter readers, utilities",31,,–,,–,–,–
Postal service clerks,121,,53.7,,23.9,12.1,8.7
Postal service mail carriers,320,,38.9,,18.6,8.3,12.3
"Postal service mail sorters, processors, and processing machine operators",60,,42.4,,34.3,7.5,9.7
"Production, planning, and expediting clerks",245,,51.5,,8.6,4.2,9.1
"Shipping, receiving, and traffic clerks",546,,33.9,,16.1,2.2,21.7
Stock clerks and order fillers,"1,530",,37,,18.8,4.8,19.5
"Weighers, measurers, checkers, and samplers, recordkeeping",51,,52,,17.8,1.7,19.2
Secretaries and administrative assistants,"2,744",,94.6,,8.6,3.2,11.8
Computer operators,91,,50.8,,13.8,4.1,14.3
Data entry keyers,272,,77.6,,13.4,9.1,20.9
Word processors and typists,82,,88.9,,14.3,4.1,11.2
Desktop publishers,0,,–,,–,–,–
Insurance claims and policy processing clerks,273,,85.2,,17.9,6.7,11.4
"Mail clerks and mail machine operators, except postal service",77,,43.5,,21.7,1,21.2
"Office clerks, general","1,295",,82.8,,14.6,6.9,16.9
"Office machine operators, except computer",35,,–,,–,–,–
Proofreaders and copy markers,12,,–,,–,–,–
Statistical assistants,9,,–,,–,–,–
"Office and administrative support workers, all other",551,,75.8,,13.6,4.3,11.6
,,,,,,,
"Natural resources, construction, and maintenance occupations","13,904",,4.7,,7.3,2.2,29.6
"Farming, fishing, and forestry occupations","1,096",,22.3,,4.9,1.8,45
"First-line supervisors of farming, fishing, and forestry workers",48,,–,,–,–,–
Agricultural inspectors,19,,–,,–,–,–
Animal breeders,7,,–,,–,–,–
"Graders and sorters, agricultural products",85,,65.5,,20.4,6.3,40.7
Miscellaneous agricultural workers,818,,21,,2.7,1.3,52.5
Fishers and related fishing workers,29,,–,,–,–,–
Hunters and trappers,1,,–,,–,–,–
Forest and conservation workers,21,,–,,–,–,–
Logging workers,68,,0.9,,11.2,0,5.1
Construction and extraction occupations,"7,929",,3,,6.8,1.7,34
First-line supervisors of construction trades and extraction workers,680,,2.6,,5.5,1.5,22.5
Boilermakers,23,,–,,–,–,–
"Brickmasons, blockmasons, and stonemasons",160,,0.5,,6.4,0.5,45.5
Carpenters,"1,359",,2.1,,5.4,1.2,33.9
"Carpet, floor, and tile installers and finishers",168,,1.9,,3.5,0.9,50.8
"Cement masons, concrete finishers, and terrazzo workers",56,,2.2,,10.5,1.6,48.8
Construction laborers,"1,801",,3.5,,8.1,2.2,45.5
"Paving, surfacing, and tamping equipment operators",13,,–,,–,–,–
Pile-driver operators,2,,–,,–,–,–
Operating engineers and other construction equipment operators,351,,2.3,,8.7,0.2,19.3
"Drywall installers, ceiling tile installers, and tapers",180,,1.1,,6.7,0.5,62.7
Electricians,774,,3,,5.9,3.1,16.8
Glaziers,54,,1.4,,5,0,21.2
Insulation workers,50,,5.2,,7.7,0.5,33.8
"Painters, construction and maintenance",612,,6.2,,5.7,3.6,50.7
Paperhangers,4,,–,,–,–,–
"Pipelayers, plumbers, pipefitters, and steamfitters",583,,1.4,,7.5,0.9,21.2
Plasterers and stucco masons,34,,–,,–,–,–
Reinforcing iron and rebar workers,12,,–,,–,–,–
Roofers,230,,1.7,,4.9,1.1,51.7
Sheet metal workers,126,,2.9,,6.7,2.1,16.7
Structural iron and steel workers,60,,2,,10.7,1.9,10.8
Solar photovoltaic installers,10,,–,,–,–,–
"Helpers, construction trades",57,,6.2,,9.2,0.9,42.5
Construction and building inspectors,93,,6.4,,11.8,2.4,9.9
Elevator installers and repairers,44,,–,,–,–,–
Fence erectors,43,,–,,–,–,–
Hazardous materials removal workers,34,,–,,–,–,–
Highway maintenance workers,92,,3.2,,9.6,0.2,15.1
Rail-track laying and maintenance equipment operators,10,,–,,–,–,–
Septic tank servicers and sewer pipe cleaners,10,,–,,–,–,–
Miscellaneous construction and related workers,34,,–,,–,–,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",25,,–,,–,–,–
"Earth drillers, except oil and gas",33,,–,,–,–,–
"Explosives workers, ordnance handling experts, and blasters",11,,–,,–,–,–
Mining machine operators,55,,1.5,,7.1,0,11.6
"Roof bolters, mining",4,,–,,–,–,–
"Roustabouts, oil and gas",6,,–,,–,–,–
Helpers--extraction workers,4,,–,,–,–,–
Other extraction workers,32,,–,,–,–,–
"Installation, maintenance, and repair occupations","4,879",,3.6,,8.8,3.2,19
"First-line supervisors of mechanics, installers, and repairers",264,,10.1,,10.2,2,10.4
"Computer, automated teller, and office machine repairers",212,,9.6,,13,10,12
Radio and telecommunications equipment installers and repairers,143,,16.1,,16.3,5.3,15.8
Avionics technicians,7,,–,,–,–,–
"Electric motor, power tool, and related repairers",25,,–,,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",2,,–,,–,–,–
"Electrical and electronics repairers, industrial and utility",13,,–,,–,–,–
"Electronic equipment installers and repairers, motor vehicles",10,,–,,–,–,–
Electronic home entertainment equipment installers and repairers,44,,–,,–,–,–
Security and fire alarm systems installers,79,,1.8,,5.6,4.2,24.2
Aircraft mechanics and service technicians,140,,1.7,,3.3,6,18.5
Automotive body and related repairers,147,,3.6,,5.2,3,24.1
Automotive glass installers and repairers,22,,–,,–,–,–
Automotive service technicians and mechanics,879,,1.7,,9.6,4.3,23.3
Bus and truck mechanics and diesel engine specialists,342,,0.8,,7,1.9,16.1
Heavy vehicle and mobile equipment service technicians and mechanics,203,,0.5,,3.8,1.9,16.9
Small engine mechanics,51,,3.5,,11,0,6.6
"Miscellaneous vehicle and mobile equipment mechanics, installers, and   repairers",87,,1.7,,10.8,2,31.6
Control and valve installers and repairers,33,,–,,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",427,,1.4,,7,1.3,21.9
Home appliance repairers,49,,–,,–,–,–
Industrial and refractory machinery mechanics,393,,3.3,,8.5,1.9,15
"Maintenance and repair workers, general",552,,3,,10.6,2.2,19.8
"Maintenance workers, machinery",21,,–,,–,–,–
Millwrights,40,,–,,–,–,–
Electrical power-line installers and repairers,136,,0.6,,7.7,0.9,10.5
Telecommunications line installers and repairers,171,,2.5,,16.1,5.2,20.9
Precision instrument and equipment repairers,66,,14.9,,4.5,3.9,13.9
Wind turbine service technicians,5,,–,,–,–,–
"Coin, vending, and amusement machine servicers and repairers",38,,–,,–,–,–
Commercial divers,1,,–,,–,–,–
Locksmiths and safe repairers,30,,–,,–,–,–
Manufactured building and mobile home installers,10,,–,,–,–,–
Riggers,13,,–,,–,–,–
Signal and track switch repairers,7,,–,,–,–,–
"Helpers--installation, maintenance, and repair workers",19,,–,,–,–,–
"Other installation, maintenance, and repair workers",198,,6.1,,5.8,3.9,22.9
,,,,,,,
"Production, transportation, and material moving occupations","17,743",,22.1,,15.8,4.8,22.2
Production occupations,"8,459",,28.2,,12.9,5.9,22.3
