Occupation,Total Employed (thou) 2016,% Men 2016,% Women 2016,% White 2016,% Black 2016,% Asian 2016,% Latinx 2016
"Total, 16 years and over","151,436",53.2,46.8,,11.9,6.1,16.7
"Management, professional, and related occupations","59,438",48.5,51.5,,9.1,8.1,9.3
"Management, business, and financial operations occupations","24,941",56.2,43.8,,8.2,6.6,9.8
Management occupations,"17,418",60.9,39.1,,7.5,6.1,9.9
Chief executives,"1,649",72.7,27.3,,3.4,6,5.6
General and operations managers,949,70.2,29.8,,7.1,5.6,11.3
Legislators,20,#VALUE!,–,,–,–,–
Advertising and promotions managers,67,43.5,56.5,,7.1,1.3,4.8
Marketing and sales managers,"1,066",54.7,45.3,,5.3,6,9.9
Public relations and fundraising managers,62,29.1,70.9,,10.3,5.4,3.3
Administrative services managers,181,57.4,42.6,,13.2,3.4,10
Computer and information systems managers,597,74.5,25.5,,6.2,15.2,6.7
Financial managers,"1,197",47.5,52.5,,6.9,8.3,10.3
Compensation and benefits managers,20,#VALUE!,–,,–,–,–
Human resources managers,287,25.8,74.2,,13.5,4.9,11.2
Training and development managers,58,41.5,58.5,,8.3,2.1,8.5
Industrial production managers,275,76.8,23.2,,4.9,9.2,7.4
Purchasing managers,203,52.6,47.4,,9.1,2.9,10.6
"Transportation, storage, and distribution managers",299,82.9,17.1,,11.4,4.8,18.4
"Farmers, ranchers, and other agricultural managers","1,042",75.2,24.8,,1,1,4.7
Construction managers,812,92.6,7.4,,3.8,2,11
Education administrators,954,34.9,65.1,,14.3,2.2,8.8
Architectural and engineering managers,136,94.7,5.3,,4.2,10.6,3.8
Food service managers,"1,157",54.1,45.9,,10.2,12,17.7
Funeral service managers,15,#VALUE!,–,,–,–,–
Gaming managers,16,#VALUE!,–,,–,–,–
Lodging managers,166,47.8,52.2,,9.7,15.8,9
Medical and health services managers,593,27.7,72.3,,13.2,5.4,10.2
Natural sciences managers,14,#VALUE!,–,,–,–,–
Postmasters and mail superintendents,25,#VALUE!,–,,–,–,–
"Property, real estate, and community association managers",709,53.5,46.5,,9,3.6,11.3
