Occupation,Total Employed (thou) 2012,% Men 2012,% Women 2012,% White 2012,% Black 2012,% Asian 2012,% Latinx 2012
"Sales representatives, wholesale and manufacturing","1,277",,27,,3.7,3.7,9.4
"Models, demonstrators, and product promoters",65,,83.4,,19.4,4,10.6
Real estate brokers and sales agents,761,,57.1,,4,4.7,8.7
Sales engineers,27,,-,,-,-,-
Telemarketers,97,,50.3,,23,1.1,14.7
"Door-to-door sales workers, news and street vendors, and related workers",198,,62.2,,10.2,3.8,13.5
"Sales and related workers, all other",204,,47.9,,7.7,4.7,10.3
Office and administrative support occupations,"17,695",,73.3,,12.9,4.2,14.5
First-line supervisors of office and administrative support workers,"1,416",,68.5,,11.3,3.5,11.9
"Switchboard operators, including answering service",35,,-,,-,-,-
Telephone operators,42,,-,,-,-,-
"Communications equipment operators, all other",9,,-,,-,-,-
Bill and account collectors,206,,69.1,,15.3,3.6,17.6
Billing and posting clerks,475,,90.1,,11.8,4,16.2
"Bookkeeping, accounting, and auditing clerks","1,268",,89.1,,7.6,5,9
Gaming cage workers,8,,-,,-,-,-
Payroll and timekeeping clerks,155,,92.6,,9.5,4.6,15.1
Procurement clerks,27,,-,,-,-,-
Tellers,380,,87.3,,11.6,5.7,18.6
"Financial clerks, all other",52,,68.4,,17.1,4.1,16.6
Brokerage clerks,5,,-,,-,-,-
Correspondence clerks,6,,-,,-,-,-
"Court, municipal, and license clerks",85,,77.2,,23,1.2,13.4
"Credit authorizers, checkers, and clerks",43,,-,,-,-,-
Customer service representatives,"1,956",,67.8,,16.2,4.2,18
"Eligibility interviewers, government programs",92,,81.4,,19.8,2.1,23.1
File clerks,292,,81.3,,14.1,4.6,16.4
"Hotel, motel, and resort desk clerks",110,,64.6,,18.4,6.3,18.6
"Interviewers, except eligibility and loan",135,,83.7,,20,6,12.1
"Library assistants, clerical",97,,84,,7,3.2,5.8
Loan interviewers and clerks,144,,81.2,,10.9,4,10.4
New accounts clerks,26,,-,,-,-,-
Order clerks,104,,58.2,,5.8,4.1,21.3
"Human resources assistants, except payroll and timekeeping",132,,82.7,,18.3,1.9,7.9
Receptionists and information clerks,"1,237",,91.5,,12.1,4.3,17.9
Reservation and transportation ticket agents and travel clerks,117,,58.6,,21.8,10.9,21.5
"Information and record clerks, all other",104,,80.2,,17,2.5,13.4
Cargo and freight agents,25,,-,,-,-,-
Couriers and messengers,213,,15.5,,13,2.4,16.9
Dispatchers,277,,61.5,,13.5,2.3,16.7
"Meter readers, utilities",29,,-,,-,-,-
Postal service clerks,148,,50,,21.3,9.5,12
Postal service mail carriers,318,,37.7,,16.5,6.7,8.8
"Postal service mail sorters, processors, and processing machine operators",66,,47.6,,28.6,12.7,9.8
"Production, planning, and expediting clerks",272,,55,,11,3.2,12.5
"Shipping, receiving, and traffic clerks",527,,27.8,,15.6,3.6,23.7
Stock clerks and order fillers,"1,453",,35.5,,16.7,4.5,18.1
"Weighers, measurers, checkers, and samplers, recordkeeping",74,,49.1,,19.9,2.8,21.9
Secretaries and administrative assistants,"2,904",,95.3,,8.6,3.2,10.3
Computer operators,102,,50.7,,12.2,6.5,10.7
Data entry keyers,337,,77,,14,5.1,13.8
Word processors and typists,119,,88.7,,12.4,2.8,12.9
Desktop publishers,3,,-,,-,-,-
Insurance claims and policy processing clerks,230,,81.9,,12.7,3.6,13.7
"Mail clerks and mail machine operators, except postal service",81,,41.2,,18.1,10.6,10.1
"Office clerks, general","1,103",,83.4,,12.4,5,16.9
"Office machine operators, except computer",46,,-,,-,-,-
Proofreaders and copy markers,10,,-,,-,-,-
Statistical assistants,32,,-,,-,-,-
"Office and administrative support workers, all other",570,,77.3,,14.1,3.9,11
,,,,,,,
"Natural resources, construction, and maintenance occupations","12,821",,4.3,,7,2.1,25.5
"Farming, fishing, and forestry occupations",994,,22.7,,5.3,1.8,44.2
"First-line supervisors of farming, fishing, and forestry workers",50,,14.1,,7.8,4.2,23.9
Agricultural inspectors,16,,-,,-,-,-
Animal breeders,6,,-,,-,-,-
"Graders and sorters, agricultural products",118,,59.8,,16.6,2.1,58
Miscellaneous agricultural workers,711,,18.9,,3.2,1.5,48.9
Fishers and related fishing workers,33,,-,,-,-,-
Hunters and trappers,2,,-,,-,-,-
Forest and conservation workers,9,,-,,-,-,-
Logging workers,49,,-,,-,-,-
Construction and extraction occupations,"7,005",,2.5,,6.2,1.6,28.9
First-line supervisors of construction trades and extraction workers,634,,2.8,,4.5,1.3,14
Boilermakers,23,,-,,-,-,-
"Brickmasons, blockmasons, and stonemasons",122,,0.1,,5.8,0.3,43.2
Carpenters,"1,223",,1.6,,4.2,1.9,29
"Carpet, floor, and tile installers and finishers",150,,2.2,,8.8,0.4,37.8
"Cement masons, concrete finishers, and terrazzo workers",68,,2.7,,5.8,3.1,53.3
Construction laborers,"1,387",,2.9,,8.4,2,41.2
"Paving, surfacing, and tamping equipment operators",23,,-,,-,-,-
Pile-driver operators,4,,-,,-,-,-
Operating engineers and other construction equipment operators,348,,1.3,,6,0.2,17.1
"Drywall installers, ceiling tile installers, and tapers",129,,0.3,,2.7,0,62
Electricians,692,,1.8,,6,2.3,14.8
Glaziers,46,,-,,-,-,-
Insulation workers,44,,-,,-,-,-
"Painters, construction and maintenance",485,,5.5,,5.5,2,42.6
Paperhangers,7,,-,,-,-,-
"Pipelayers, plumbers, pipefitters, and steamfitters",534,,1.3,,6.6,1.5,20.9
Plasterers and stucco masons,18,,-,,-,-,-
Reinforcing iron and rebar workers,8,,-,,-,-,-
Roofers,196,,1.5,,7,0.5,45.1
Sheet metal workers,123,,4.6,,3.2,1.7,12.1
Structural iron and steel workers,65,,2.8,,6.5,0,15.8
Solar photovoltaic installers,7,,-,,-,-,-
"Helpers, construction trades",53,,4.5,,12.1,1.3,38.4
Construction and building inspectors,118,,7.8,,5.5,2.1,7.7
Elevator installers and repairers,29,,-,,-,-,-
Fence erectors,33,,-,,-,-,-
Hazardous materials removal workers,38,,-,,-,-,-
Highway maintenance workers,108,,1.5,,11,0.1,12.4
Rail-track laying and maintenance equipment operators,10,,-,,-,-,-
Septic tank servicers and sewer pipe cleaners,8,,-,,-,-,-
Miscellaneous construction and related workers,32,,-,,-,-,-
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",37,,-,,-,-,-
"Earth drillers, except oil and gas",35,,-,,-,-,-
"Explosives workers, ordnance handling experts, and blasters",8,,-,,-,-,-
Mining machine operators,65,,0.3,,3.8,0,17.2
"Roof bolters, mining",3,,-,,-,-,-
"Roustabouts, oil and gas",14,,-,,-,-,-
Helpers--extraction workers,5,,-,,-,-,-
Other extraction workers,75,,4.5,,5.6,1,26.2
"Installation, maintenance, and repair occupations","4,821",,3.2,,8.4,3,16.6
"First-line supervisors of mechanics, installers, and repairers",292,,5.9,,11.3,1,10.4
"Computer, automated teller, and office machine repairers",296,,10.7,,10.8,7.2,9.9
Radio and telecommunications equipment installers and repairers,158,,5.8,,11.2,3.2,13.8
Avionics technicians,14,,-,,-,-,-
"Electric motor, power tool, and related repairers",37,,-,,-,-,-
"Electrical and electronics installers and repairers, transportation equipment",5,,-,,-,-,-
"Electrical and electronics repairers, industrial and utility",12,,-,,-,-,-
"Electronic equipment installers and repairers, motor vehicles",18,,-,,-,-,-
Electronic home entertainment equipment installers and repairers,50,,0.5,,11.6,4.3,13.2
Security and fire alarm systems installers,41,,-,,-,-,-
Aircraft mechanics and service technicians,153,,1.6,,7.5,5.4,14.3
Automotive body and related repairers,140,,1.8,,5.7,2.3,25.3
Automotive glass installers and repairers,22,,-,,-,-,-
Automotive service technicians and mechanics,867,,1.2,,9.6,4.7,21.3
Bus and truck mechanics and diesel engine specialists,316,,0.5,,8.6,1.3,13.4
Heavy vehicle and mobile equipment service technicians and mechanics,194,,1,,5.4,2,17.3
Small engine mechanics,56,,1.4,,4.9,0.2,12.2
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",87,,1.8,,8,0,31.4
Control and valve installers and repairers,27,,-,,-,-,-
"Heating, air conditioning, and refrigeration mechanics and installers",340,,1.6,,7.1,3.2,16.2
Home appliance repairers,47,,-,,-,-,-
Industrial and refractory machinery mechanics,454,,1.9,,4.5,2.9,13.3
"Maintenance and repair workers, general",442,,2.2,,8.4,3.2,19.4
"Maintenance workers, machinery",28,,-,,-,-,-
Millwrights,53,,6.4,,2.1,1.4,6.7
Electrical power-line installers and repairers,110,,2.4,,7.8,0.3,7.9
Telecommunications line installers and repairers,177,,4.8,,11.2,1.9,15.7
Precision instrument and equipment repairers,60,,16,,9.1,1.1,13.3
Wind turbine service technicians,3,,-,,-,-,-
"Coin, vending, and amusement machine servicers and repairers",33,,-,,-,-,-
Commercial divers,3,,-,,-,-,-
Locksmiths and safe repairers,31,,-,,-,-,-
Manufactured building and mobile home installers,5,,-,,-,-,-
Riggers,13,,-,,-,-,-
Signal and track switch repairers,5,,-,,-,-,-
"Helpers--installation, maintenance, and repair workers",30,,-,,-,-,-
"Other installation, maintenance, and repair workers",205,,3.6,,5.9,1.4,21.2
,,,,,,,
"Production, transportation, and material moving occupations","16,994",,21.8,,13.8,4.2,21.7
