Occupation,Total Employed (thou) 2012,% Men 2012,% Women 2012,% White 2012,% Black 2012,% Asian 2012,% Latinx 2012
"Total, 16 years and over","142,469",53.0,47.0,,11.1,5.4,15.4
"Management, professional, and related occupations","54,043",48.5,51.5,,8.7,6.9,8.4
"Management, business, and financial operations occupations","22,678",56.4,43.6,,7.8,5.8,8.6
Management occupations,"16,042",61.4,38.6,,6.9,5.1,8.8
Chief executives,"1,513",72.6,27.4,,3.7,4.2,4.7
General and operations managers,"1,064",70.9,29.1,,6.2,4.7,9.3
Legislators,11,#VALUE!,-,,-,-,-
Advertising and promotions managers,77,50.6,49.4,,6.7,4.3,10
Marketing and sales managers,967,54.8,45.2,,4.2,6,6.1
Public relations and fundraising managers,58,30.7,69.3,,5.8,3.4,8
Administrative services managers,144,55.9,44.1,,6.4,4.4,9.5
Computer and information systems managers,605,73.2,26.8,,5.6,14.5,5.8
Financial managers,"1,228",46.5,53.5,,8.6,5.7,10.3
Compensation and benefits managers,15,#VALUE!,-,,-,-,-
Human resources managers,224,27.3,72.7,,11.3,2.4,9.5
Training and development managers,36,#VALUE!,-,,-,-,-
Industrial production managers,261,82.4,17.6,,3.4,5.1,11.4
Purchasing managers,218,49.1,50.9,,8.4,4.6,10.4
"Transportation, storage, and distribution managers",287,84.4,15.6,,11.1,3.3,11.3
"Farmers, ranchers, and other agricultural managers",944,75.5,24.5,,0.8,1.2,4
Construction managers,983,93.6,6.4,,3.7,2.2,9.4
Education administrators,811,35.6,64.4,,13.8,2.2,7.9
Architectural and engineering managers,120,89.1,10.9,,2.8,7.7,2.9
Food service managers,"1,085",52.8,47.2,,8.8,9.5,16.5
Funeral service managers,13,#VALUE!,-,,-,-,-
Gaming managers,26,#VALUE!,-,,-,-,-
Lodging managers,154,55.0,45,,8,13.9,11.5
Medical and health services managers,585,30.3,69.7,,10.9,5.1,8.1
Natural sciences managers,18,#VALUE!,-,,-,-,-
Postmasters and mail superintendents,39,#VALUE!,-,,-,-,-
"Property, real estate, and community association managers",644,49.3,50.7,,8.5,3.4,11.4
Social and community service managers,315,29.5,70.5,,14.6,3.7,8.5
Emergency management directors,6,#VALUE!,-,,-,-,-
"Managers, all other","3,594",65.0,35,,7.3,5,9.3
Business and financial operations occupations,"6,636",44.2,55.8,,9.8,7.4,8
"Agents and business managers of artists, performers, and athletes",47,#VALUE!,-,,-,-,-
"Buyers and purchasing agents, farm products",13,#VALUE!,-,,-,-,-
"Wholesale and retail buyers, except farm products",198,44.8,55.2,,7.1,7.7,10.9
"Purchasing agents, except wholesale, retail, and farm products",261,44.9,55.1,,6.1,4.4,9.8
"Claims adjusters, appraisers, examiners, and investigators",323,36.6,63.4,,17.5,3.1,10.3
Compliance officers,199,49.4,50.6,,9.1,3.3,8.2
Cost estimators,114,88.3,11.7,,1.5,2,6.8
Human resources workers,603,28.2,71.8,,15.4,4.4,11.8
"Compensation, benefits, and job analysis specialists",71,18.9,81.1,,6.9,4.2,11.8
Training and development specialists,126,43.6,56.4,,15.9,0.8,10.8
Logisticians,94,63.2,36.8,,12.3,2.2,11.9
Management analysts,773,60.2,39.8,,6.8,8.8,4.4
"Meeting, convention, and event planners",127,26.7,73.3,,8.1,4.2,10.3
Fundraisers,86,24.7,75.3,,5.1,4.6,3.4
Market research analysts and marketing specialists,219,45.8,54.2,,5.4,9.1,4.7
"Business operations specialists, all other",251,32.7,67.3,,14.2,5.6,9.2
Accountants and auditors,"1,765",39.1,60.9,,9.7,12,6.8
Appraisers and assessors of real estate,93,59.4,40.6,,9.8,2.7,1
Budget analysts,55,47.5,52.5,,11.5,8.7,8.2
Credit analysts,30,#VALUE!,-,,-,-,-
Financial analysts,89,63.2,36.8,,3.7,9,6.3
Personal financial advisors,378,68.8,31.2,,4.8,6.2,4.5
Insurance underwriters,103,29.6,70.4,,10.7,0.7,10.2
Financial examiners,14,#VALUE!,-,,-,-,-
Credit counselors and loan officers,333,40.8,59.2,,13.2,6,9.3
"Tax examiners and collectors, and revenue agents",82,37.6,62.4,,13.9,11.5,13.9
Tax preparers,107,40.4,59.6,,10.4,7.1,15.9
"Financial specialists, all other",82,33.5,66.5,,10.9,8.4,11.5
Professional and related occupations,"31,365",42.8,57.2,,9.3,7.8,8.2
Computer and mathematical occupations,"3,816",74.4,25.6,,7.4,17.5,6.1
Computer and information research scientists,29,#VALUE!,-,,-,-,-
Computer systems analysts,499,69.1,30.9,,8.8,15.8,4.5
Information security analysts,52,84.9,15.1,,11.8,14.2,4
Computer programmers,480,77.5,22.5,,5.9,17.3,5.3
"Software developers, applications and systems software","1,084",80.3,19.7,,4,29.4,5.2
Web developers,190,66.3,33.7,,4.1,8,5.6
Computer support specialists,476,72.9,27.1,,12,7.7,9.7
Database administrators,101,63.4,36.6,,4.1,10,9.8
Network and computer systems administrators,226,75.0,25,,10,11,10.7
Computer network architects,127,91.9,8.1,,10,14.6,4.6
"Computer occupations, all other",341,75.6,24.4,,11.4,11.7,5.9
Actuaries,26,#VALUE!,-,,-,-,-
Mathematicians,4,#VALUE!,-,,-,-,-
Operations research analysts,130,45.1,54.9,,8.3,9.3,6.5
Statisticians,47,#VALUE!,-,,-,-,-
Miscellaneous mathematical science occupations,3,#VALUE!,-,,-,-,-
Architecture and engineering occupations,"2,846",86.3,13.7,,5.6,10.8,7.4
"Architects, except naval",195,76.5,23.5,,1.3,6.2,8.2
"Surveyors, cartographers, and photogrammetrists",51,72.2,27.8,,4.3,5.4,8.1
Aerospace engineers,119,91.0,9,,1.8,13.4,4.6
Agricultural engineers,4,#VALUE!,-,,-,-,-
Biomedical engineers,10,#VALUE!,-,,-,-,-
Chemical engineers,71,82.3,17.7,,5.9,9.3,6.7
Civil engineers,358,86.3,13.7,,5.4,9,3.7
Computer hardware engineers,91,84.9,15.1,,8.5,20.8,6.5
Electrical and electronics engineers,335,91.0,9,,3.5,16.6,6.7
Environmental engineers,43,#VALUE!,-,,-,-,-
"Industrial engineers, including health and safety",197,81.2,18.8,,6.2,9.6,10.5
Marine engineers and naval architects,8,#VALUE!,-,,-,-,-
Materials engineers,40,#VALUE!,-,,-,-,-
Mechanical engineers,288,95.5,4.5,,6.3,12.3,4.9
"Mining and geological engineers, including mining safety engineers",9,#VALUE!,-,,-,-,-
Nuclear engineers,11,#VALUE!,-,,-,-,-
Petroleum engineers,38,#VALUE!,-,,-,-,-
"Engineers, all other",359,86.8,13.2,,3.9,15.4,5.9
Drafters,149,83.4,16.6,,3,7.7,9.9
"Engineering technicians, except drafters",395,83.7,16.3,,10.8,5,12.3
Surveying and mapping technicians,77,95.7,4.3,,5.3,2.5,13.5
"Life, physical, and social science occupations","1,316",54.7,45.3,,6.5,9.9,6.7
Agricultural and food scientists,42,#VALUE!,-,,-,-,-
Biological scientists,101,49.9,50.1,,3.7,11.7,7.2
Conservation scientists and foresters,25,#VALUE!,-,,-,-,-
Medical scientists,136,47.2,52.8,,5.3,22.4,5.8
"Life scientists, all other",0,#VALUE!,-,,-,-,-
Astronomers and physicists,25,#VALUE!,-,,-,-,-
Atmospheric and space scientists,15,#VALUE!,-,,-,-,-
Chemists and materials scientists,105,55.8,44.2,,4,9.2,9.4
Environmental scientists and geoscientists,105,74.3,25.7,,7,1.3,1.7
"Physical scientists, all other",154,64.9,35.1,,2.7,20.4,3.8
Economists,26,#VALUE!,-,,-,-,-
Survey researchers,2,#VALUE!,-,,-,-,-
Psychologists,178,27.3,72.7,,6,3.9,6.3
Sociologists,7,#VALUE!,-,,-,-,-
Urban and regional planners,28,#VALUE!,-,,-,-,-
Miscellaneous social scientists and related workers,57,45.7,54.3,,10.8,5.5,7
Agricultural and food science technicians,32,#VALUE!,-,,-,-,-
Biological technicians,19,#VALUE!,-,,-,-,-
Chemical technicians,70,70.1,29.9,,15.4,4.8,7.4
Geological and petroleum technicians,21,#VALUE!,-,,-,-,-
Nuclear technicians,3,#VALUE!,-,,-,-,-
Social science research assistants,3,#VALUE!,-,,-,-,-
"Miscellaneous life, physical, and social science technicians",160,47.2,52.8,,12.8,14.4,10.4
Community and social service occupations,"2,265",36.2,63.8,,18.8,3.2,11.1
Counselors,661,30.7,69.3,,19.4,2.9,10.7
Social workers,734,19.4,80.6,,23,3.1,12.6
Probation officers and correctional treatment specialists,88,52.5,47.5,,20.7,1.3,15
Social and human service assistants,151,22.9,77.1,,24.4,3.8,15.5
"Miscellaneous community and social service specialists, including",94,24.3,75.7,,16.9,2.4,18.4
health educators and community health workers,,100.0,,,,,
Clergy,408,79.5,20.5,,11.2,4.2,6.1
"Directors, religious activities and education",61,33.7,66.3,,7.4,2.1,5.9
"Religious workers, all other",69,37.6,62.4,,10,2.8,8.9
Legal occupations,"1,786",49.6,50.4,,7.1,3.9,7.4
Lawyers,"1,061",68.9,31.1,,4.4,4.3,4
Judicial law clerks,17,#VALUE!,-,,-,-,-
"Judges, magistrates, and other judicial workers",67,61.0,39,,12.8,0.7,4.5
Paralegals and legal assistants,418,14.1,85.9,,10.7,4.6,17
Miscellaneous legal support workers,223,21.0,79,,11.9,1.4,7
"Education, training, and library occupations","8,543",26.4,73.6,,9.5,4.3,9.7
Postsecondary teachers,"1,350",51.8,48.2,,7.9,11.3,6.2
Preschool and kindergarten teachers,678,1.9,98.1,,11.8,4.2,12
Elementary and middle school teachers,"2,838",18.6,81.4,,9.8,2.1,10.3
Secondary school teachers,"1,127",42.7,57.3,,6,3.1,7.6
Special education teachers,366,13.8,86.2,,6.9,1.1,9.4
Other teachers and instructors,860,34.4,65.6,,10.7,5.9,9.5
"Archivists, curators, and museum technicians",46,#VALUE!,-,,-,-,-
Librarians,181,13.2,86.8,,7.9,2.5,2.8
Library technicians,45,#VALUE!,-,,-,-,-
Teacher assistants,898,8.9,91.1,,14.5,2.7,15.7
"Other education, training, and library workers",153,32.7,67.3,,11.7,2.5,11.8
"Arts, design, entertainment, sports, and media occupations","2,814",51.7,48.3,,6,5.2,8.9
Artists and related workers,212,48.4,51.6,,4,9.3,6.6
Designers,756,44.7,55.3,,3.9,5.9,8.9
Actors,37,#VALUE!,-,,-,-,-
Producers and directors,121,59.2,40.8,,8.2,3.3,4.9
"Athletes, coaches, umpires, and related workers",267,63.5,36.5,,6.4,1.4,9
Dancers and choreographers,21,#VALUE!,-,,-,-,-
"Musicians, singers, and related workers",203,64.5,35.5,,10.9,2.8,6.7
"Entertainers and performers, sports and related workers, all other",41,#VALUE!,-,,-,-,-
Announcers,50,76.4,23.6,,12,8.3,15.3
"News analysts, reporters and correspondents",82,54.3,45.7,,9.2,6.1,5.9
Public relations specialists,155,41.8,58.2,,7.3,5.8,8
Editors,159,49.3,50.7,,4.8,3.2,6.5
Technical writers,58,44.5,55.5,,2.7,6.7,3.7
Writers and authors,208,44.4,55.6,,5.4,4.2,2.9
Miscellaneous media and communication workers,98,20.8,79.2,,5.6,15,35
Broadcast and sound engineering technicians and radio operators,108,91.6,8.4,,4.1,1.6,12.6
Photographers,178,47.8,52.2,,6.2,4.3,10.7
"Television, video, and motion picture camera operators and editors",57,78.6,21.4,,4.4,5.6,10.7
"Media and communication equipment workers, all other",2,#VALUE!,-,,-,-,-
Healthcare practitioners and technical occupations,"7,977",25.0,75,,10.6,8.4,7.3
Chiropractors,58,77.7,22.3,,0,3.5,4
Dentists,167,75.8,24.2,,1.7,10.6,2.5
Dietitians and nutritionists,116,6.7,93.3,,13.7,5.1,7.2
Optometrists,33,#VALUE!,-,,-,-,-
Pharmacists,286,46.3,53.7,,6.8,18.5,5.1
Physicians and surgeons,911,65.7,34.3,,7.2,18.1,5.2
Physician assistants,108,30.6,69.4,,8.2,9,8.8
Podiatrists,9,#VALUE!,-,,-,-,-
Audiologists,14,#VALUE!,-,,-,-,-
Occupational therapists,118,6.0,94,,2.5,4,5.8
Physical therapists,211,29.3,70.7,,4.4,9.1,9.4
Radiation therapists,14,#VALUE!,-,,-,-,-
Recreational therapists,13,#VALUE!,-,,-,-,-
Respiratory therapists,111,39.6,60.4,,12.1,5.6,10.6
Speech-language pathologists,146,4.8,95.2,,3.1,1.7,8.3
Exercise physiologists,2,#VALUE!,-,,-,-,-
"Therapists, all other",148,16.4,83.6,,10.3,2.9,8.7
Veterinarians,85,45.3,54.7,,1.9,1.3,6.1
Registered nurses,"2,875",9.4,90.6,,11.5,7.3,6.2
Nurse anesthetists,27,#VALUE!,-,,-,-,-
Nurse midwives,3,#VALUE!,-,,-,-,-
Nurse practitioners,103,13.9,86.1,,4.5,4.6,2.9
"Health diagnosing and treating practitioners, all other",23,#VALUE!,-,,-,-,-
Clinical laboratory technologists and technicians,319,27.2,72.8,,13.5,14,10.7
Dental hygienists,163,0.7,99.3,,3.3,5.6,8.1
Diagnostic related technologists and technicians,308,25.5,74.5,,9,4.1,7.8
Emergency medical technicians and paramedics,172,68.8,31.2,,5,1.6,8.1
Health practitioner support technologists and technicians,544,16.4,83.6,,15.8,5.9,12.2
Licensed practical and licensed vocational nurses,531,5.8,94.2,,23.3,5.1,9.4
Medical records and health information technicians,90,10.7,89.3,,17.1,4.3,15.6
"Opticians, dispensing",54,40.4,59.6,,8.2,3.8,4.1
Miscellaneous health technologists and technicians,140,39.8,60.2,,18.7,11,10
Other healthcare practitioners and technical occupations,75,49.7,50.3,,8.8,3.1,5.6
,,,,,,,
Service occupations,"25,459",,56.3,,15.9,5.6,22.6
Healthcare support occupations,"3,496",,87.6,,26.5,4.5,15.3
"Nursing, psychiatric, and home health aides","2,119",,87.9,,34.5,4.6,14.2
Occupational therapy assistants and aides,18,,-,,-,-,-
Physical therapist assistants and aides,66,,66.4,,14.7,3.6,5.6
Massage therapists,158,,81.5,,5.4,7.7,12
Dental assistants,274,,97.9,,9.6,3.6,21.2
Medical assistants,429,,93.8,,15,3.8,22.9
Medical transcriptionists,55,,98.2,,7,0.3,4
Pharmacy aides,45,,-,,-,-,-
Veterinary assistants and laboratory animal caretakers,47,,-,,-,-,-
Phlebotomists,119,,80.2,,26.5,4.8,15.7
"Miscellaneous healthcare support occupations, including medical equipment preparers",166,,69,,21.9,4,9.9
Protective service occupations,"3,096",,20.9,,17.2,2.7,13.7
First-line supervisors of correctional officers,46,,-,,-,-,-
First-line supervisors of police and detectives,112,,15.2,,9.2,4.4,10.6
First-line supervisors of fire fighting and prevention workers,64,,0.5,,10.7,0,6.6
"First-line supervisors of protective service workers, all other",93,,29.9,,17.4,0.4,12.5
Firefighters,295,,3.4,,7.7,1.1,9.9
Fire inspectors,18,,-,,-,-,-
"Bailiffs, correctional officers, and jailers",371,,28,,22.7,1.1,18.3
Detectives and criminal investigators,160,,24.8,,9.8,3.5,10.4
Fish and game wardens,7,,-,,-,-,-
Parking enforcement workers,4,,-,,-,-,-
Police and sheriff's patrol officers,657,,12.6,,12.8,3.1,13.8
Transit and railroad police,3,,-,,-,-,-
Animal control workers,11,,-,,-,-,-
Private detectives and investigators,103,,44,,8,2.2,11.1
Security guards and gaming surveillance officers,903,,18.5,,26.6,4.1,15.8
Crossing guards,61,,55.3,,19.7,1.8,16.1
Transportation security screeners,25,,-,,-,-,-
"Lifeguards and other recreational, and all other protective service workers",162,,52.6,,7.8,1.2,9.2
Food preparation and serving related occupations,"8,018",,54.5,,12.1,6.2,23.8
Chefs and head cooks,403,,21.5,,11.9,14.2,18.6
First-line supervisors of food preparation and serving workers,552,,59.3,,13.9,4,17.2
Cooks,"1,970",,37.7,,16.6,6,31.7
Food preparation workers,868,,58,,12.1,5.7,27.5
Bartenders,412,,59.9,,5.2,3.5,13.2
"Combined food preparation and serving workers, including fast food",343,,64.9,,14.1,3.1,18
"Counter attendants, cafeteria, food concession, and coffee shop",233,,70.8,,10.9,4.8,16.6
Waiters and waitresses,"2,124",,71.2,,7.9,7.1,19.6
"Food servers, nonrestaurant",217,,64.9,,22.2,6.4,20.1
Dining room and cafeteria attendants and bartender helpers,359,,43.4,,10,5.5,31.7
Dishwashers,271,,18.7,,12.9,5.5,40.5
"Hosts and hostesses, restaurant, lounge, and coffee shop",260,,81.5,,10.2,5.4,14.8
"Food preparation and serving related workers, all other",6,,-,,-,-,-
Building and grounds cleaning and maintenance occupations,"5,591",,38.6,,15,3.3,36.1
First-line supervisors of housekeeping and janitorial workers,277,,47.1,,16.9,3.3,21.7
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",281,,7.6,,6.6,1.1,19.8
Janitors and building cleaners,"2,205",,29.7,,18.4,3.6,30.9
Maids and housekeeping cleaners,"1,457",,88.1,,17.2,4.8,43.3
Pest control workers,73,,4.7,,7.7,0.1,20.4
Grounds maintenance workers,"1,298",,5.1,,8.7,1.7,44.4
Personal care and service occupations,"5,258",,77.7,,14.7,9.5,16.4
First-line supervisors of gaming workers,146,,43,,5.2,9.2,10.1
First-line supervisors of personal service workers,246,,70.3,,10.7,19.8,9.3
Animal trainers,44,,-,,-,-,-
Nonfarm animal caretakers,179,,74.2,,4.3,1.8,12.2
Gaming services workers,106,,51,,9.4,24.3,13.5
Motion picture projectionists,2,,-,,-,-,-
"Ushers, lobby attendants, and ticket takers",43,,-,,-,-,-
Miscellaneous entertainment attendants and related workers,180,,45.4,,14,5.1,17.6
Embalmers and funeral attendants,16,,-,,-,-,-
"Morticians, undertakers, and funeral directors",38,,-,,-,-,-
Barbers,109,,21.9,,38.2,2.5,24.1
"Hairdressers, hairstylists, and cosmetologists",785,,92.8,,13.2,6.5,15
Miscellaneous personal appearance workers,300,,81.5,,5.3,59.6,9.5
"Baggage porters, bellhops, and concierges",68,,25,,20.8,13.1,18
Tour and travel guides,51,,36.9,,3.6,7.1,15.1
Childcare workers,"1,314",,94.1,,15.3,3.3,20.3
Personal care aides,"1,071",,84.7,,21.8,7.9,21.2
Recreation and fitness workers,406,,66.5,,10,4.5,9.7
Residential advisors,58,,61.4,,29.1,1.4,5.4
"Personal care and service workers, all other",95,,45.7,,5.5,3.3,17.5
,,,,,,,
Sales and office occupations,"33,152",,61.8,,11.8,4.7,14
Sales and related occupations,"15,457",,48.7,,10.5,5.3,13.5
First-line supervisors of retail sales workers,"3,237",,43.4,,8.6,5.9,11.3
First-line supervisors of non-retail sales workers,"1,151",,24.7,,7.2,5,10.4
Cashiers,"3,275",,71.8,,17.2,7.3,19.9
Counter and rental clerks,139,,53.4,,8.9,5.2,19.6
Parts salespersons,106,,13.3,,8.3,4.1,12.3
Retail salespersons,"3,341",,50.2,,12.5,4.4,15.3
Advertising sales agents,230,,47.4,,9.9,2.3,7.6
Insurance sales agents,540,,44.1,,8.1,1.8,10.3
"Securities, commodities, and financial services sales agents",280,,27.9,,3.4,8.3,8.9
Travel agents,73,,79,,2.5,9.3,4.8
"Sales representatives, services, all other",457,,31,,7.9,3.7,10.1
